Species,Variable,flag,detail
Piliocolobus badius,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Varecia variegata,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Alouatta caraya,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebus albifrons,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Colobus angolensis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates lar,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Indri indri,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Loris tardigradus,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Macaca maura,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Perodicticus potto,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Varecia variegata,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Alouatta caraya,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebus albifrons,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Colobus angolensis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates lar,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Indri indri,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Loris tardigradus,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Macaca maura,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Perodicticus potto,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Varecia variegata,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Alouatta caraya,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cebus albifrons,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Colobus angolensis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Hylobates lar,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Indri indri,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Loris tardigradus,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Macaca maura,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Perodicticus potto,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Varecia variegata,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Avahi occidentalis,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Callithrix pygmaea,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Cebus albifrons,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Cercopithecus ascanius,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Cheirogaleus major,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Crocidura flavescens,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Crocidura russula,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Echinops telfairi,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Erinaceus europaeus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Eulemur fulvus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Galagoides demidoff,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Gorilla sp.,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Hemicentetes semispinosus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Homo sapiens,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Hylobates lar,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Lagothrix lagothricha,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Lepilemur ruficaudatus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Lophocebus albigena,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Loris tardigradus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Microcebus murinus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Nasalis larvatus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Otolemur crassicaudatus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Pan troglodytes,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Papio anubis,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Perodicticus potto,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Piliocolobus badius,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Propithecus verreauxi,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Saguinus oedipus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Saimiri sciureus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Setifer setosus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Sorex araneus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Sorex minutus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Suncus murinus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Tarsius sp.,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Tenrec ecaudatus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Tupaia glis,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Ateles geoffroyi,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Avahi occidentalis,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Callithrix pygmaea,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Cebus albifrons,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Cercopithecus ascanius,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Cheirogaleus major,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Crocidura flavescens,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Crocidura russula,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Echinops telfairi,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Erinaceus europaeus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Eulemur fulvus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Galagoides demidoff,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Gorilla sp.,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Hemicentetes semispinosus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Homo sapiens,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Hylobates lar,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Lagothrix lagothricha,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Lepilemur ruficaudatus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Lophocebus albigena,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Loris tardigradus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Microcebus murinus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Nasalis larvatus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Otolemur crassicaudatus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
