"species_row","Species_Baron1996","auditory_nuclei_mm3","cochlear_nuclei_mm3","nucleus_cochlearis_dorsalis_mm3","nucleus_cochlearis_ventralis_mm3","complexus_olivaris_superior_mm3","source_pdf_page"
48,"Megaderma lyra",13.655,6.253,2.089,4.164,7.402,111
49,"Megaderma spasma",10.564,5.187,1.791,3.396,5.377,111
50,"Macroderma gigas",22.358,10.266,3.598,6.668,12.092,111
51,"Cardioderma cor",10.808,5.411,1.645,3.766,5.397,111
52,"Lavia frons",10.919,5.07,1.714,3.356,5.849,111
53,"Rhinolophus landeri",3.941,2.022,0.413,1.609,1.919,111
54,"Rhinolophus luctus",8.293,4.452,0.873,3.579,3.84,111
55,"Rhinolophus pusillus",2.409,1.153,0.231,0.922,1.257,111
56,"Hipposideros ater",3.735,1.965,0.385,1.581,1.769,111
57,"Hipposideros ater aruensis",3.098,1.643,0.356,1.287,1.455,111
58,"Hipposideros commersoni",8.786,4.431,0.736,3.695,4.355,111
59,"Hipposideros diadema",10.76,5.524,0.947,4.577,5.236,111
60,"Aselliscus stoliczkanus",2.926,1.271,0.29,0.981,1.655,111
61,"Aselliscus tricuspidatus",2.516,1.325,0.262,1.063,1.192,111
62,"Rhinonycteris aurantius",3.499,1.675,0.335,1.34,1.824,111
63,"Triaenops persicus",4.072,1.721,0.318,1.403,2.35,111
64,"Noctilio albiventris",7.269,3.526,0.293,3.233,3.743,112
65,"Noctilio leporinus",15.911,6.616,0.696,5.92,9.295,112
66,"Pteronotus personatus",4.877,1.816,0.29,1.526,3.061,112
67,"Pteronotus pamelli",6.156,2.395,0.435,1.959,3.761,112
68,"Mormoops megalophylla",5.332,2.279,0.447,1.832,3.053,112
69,"Micronycteris megalotis",4.197,1.851,0.427,1.425,2.345,112
70,"Micronycteris brachyotis",4.187,1.986,0.466,1.52,2.201,112
71,"Macrophyllum macrophyllum",6.223,2.605,0.275,2.33,3.618,112
72,"Tonatia bidens",13.371,6.428,2.001,4.427,6.943,112
73,"Mimon crenulatum",5.922,3.156,0.819,2.337,2.766,112
74,"Phyllostomus discolor",9.669,4.759,1.416,3.343,4.91,112
75,"Phyllostomus hastatus",15.816,7.964,2.238,5.726,7.852,112
76,"Phylloderma stenops",10.204,4.859,1.438,3.422,5.345,112
77,"Trachops cirrhosus",16.338,7.791,1.877,5.914,8.547,112
78,"Vampyrum spectrum",27.596,14.219,4.606,9.613,13.377,112
79,"Glossophaga soricina",3.744,2.022,0.613,1.409,1.722,112
80,"Leptonycteris curasoae",5.573,2.726,0.631,2.095,2.847,112
81,"Lionycteris spurrelli",3.705,1.737,0.433,1.304,1.968,112
82,"Anoura geoffroyi",5.199,2.635,0.747,1.888,2.563,112
83,"Carollia perspicillata",5.267,2.804,0.948,1.856,2.463,112
84,"Rhinophylla pumilio",4.567,2.252,0.622,1.63,2.315,112
85,"Stumira lilium",4.765,2.406,0.797,1.609,2.359,112
86,"Uroderma bilobatum",5.979,2.947,1,1.947,3.032,112
87,"Vampyrops vittatus",11.558,5.535,1.511,4.024,6.023,112
88,"Chiroderma villosum",7.945,4,1.357,2.643,3.945,112
89,"Artibeus cinereus",4.741,2.337,0.57,1.767,2.404,112
90,"Artibeus lituratus",9.68,5.001,1.345,3.656,4.678,112
91,"Brachyphylla cavemarum",8.631,4.747,1.107,3.64,3.884,112
92,"Desmodus rotundus",9.77,4.306,1.156,3.15,5.464,113
93,"Diphylla ecaudata",8.3,3.883,1.284,2.599,4.417,113
94,"Natalus tumidirostris",3.284,1.34,0.174,1.167,1.943,113
95,"Furipterus horrens",2.776,1.259,0.191,1.067,1.518,113
96,"Myotis albescens",2.262,1.067,0.189,0.878,1.195,113
97,"Myotis annectans",3.561,1.664,0.226,1.438,1.896,113
98,"Myotis dasycneme",6.36,3.022,0.314,2.708,3.338,113
99,"Myotis myotis",7.496,3.268,0.384,2.884,4.227,113
100,"Myotis siligorensis",2.015,0.875,0.1,0.776,1.14,113
101,"Pipistrellus ceylonicus",3.408,1.601,0.354,1.247,1.807,113
102,"Pipistrellus crassulus",2.273,1.043,0.199,0.844,1.23,113
103,"Pipistrellus javanicus",2.279,1.087,0.242,0.845,1.192,113
104,"Pipistrellus mimus",1.891,0.918,0.179,0.74,0.973,113
105,"Scotozous dormeri",3.037,1.251,0.2,1.051,1.786,113
106,"Nyctalus noctula",8.611,3.651,0.606,3.046,4.96,113
107,"Glischropus tylopus",2.124,0.909,0.127,0.783,1.215,113
108,"Eptesicus brasiliensis",3.47,1.414,0.26,1.153,2.056,113
109,"Eptesicus br. melanopterus",3.25,1.399,0.23,1.169,1.852,113
110,"Eptesicus flavescens",4.05,1.787,0.274,1.513,2.263,113
111,"Eptesicus pumilus",2.463,1.129,0.211,0.918,1.334,113
112,"Eptesicus serotinus andersoni",6.079,2.61,0.59,2.019,3.47,113
113,"Ia io",14.192,6.354,1.615,4.739,7.838,113
114,"Tylonycteris pachypus",1.749,0.817,0.164,0.653,0.933,113
115,"Tylonycteris robustula",2.261,1.071,0.218,0.853,1.19,113
116,"Hesperoptenus blanfordi",3.646,1.678,0.295,1.383,1.968,113
117,"Glauconycteris humeralis",3.325,1.484,0.278,1.206,1.841,113
118,"Chalinolobus gouldi",4.52,1.974,0.344,1.63,2.546,113
119,"Scotorepens sanborni",2.77,1.188,0.187,1,1.582,113
120,"Rhogeessa parvula",1.787,0.779,0.138,0.641,1.008,113
121,"Scotomanes ornatus",8.017,3.462,0.589,2.873,4.555,113
122,"Scotomanes sp.?",6.361,2.85,0.515,2.335,3.512,113
123,"Scotophilus dinganii",7.582,3.095,0.48,2.615,4.486,113
124,"Scotophilus heathi",8.809,3.668,0.584,3.084,5.141,113
125,"Lasiurus borealis",3.049,1.263,0.18,1.083,1.785,113
126,"Miniopterus australis",3.541,1.536,0.251,1.285,2.005,113
127,"Miniopterus magnater",5.985,2.431,0.355,2.077,3.554,113
128,"Miniopterus medius",4.765,2.132,0.349,1.783,2.633,113
129,"Miniopterus tristis",5.654,2.255,0.323,1.932,3.399,113
130,"Murina cyclotis cyclotis",3.759,1.769,0.371,1.399,1.99,114
131,"Murina c. peninsularis",4.282,1.957,0.383,1.574,2.325,114
132,"Murina huttoni rubella",4.331,1.995,0.409,1.586,2.336,114
133,"Murina tubinaris",2.829,1.281,0.26,1.021,1.548,114
134,"Harpiocephalus harpia",5.115,2.454,0.5,1.954,2.661,114
135,"Kerivoula papillosa",5.975,2.135,0.162,1.973,3.84,114
136,"Kerivoula pellucida",4.122,1.779,0.143,1.637,2.343,114
137,"Kerivoula phalaena",3.315,1.391,0.098,1.293,1.925,114
138,"Phoniscus atrox",3.569,1.448,0.094,1.354,2.121,114
139,"Nyctophilus geoffroyi",3.017,1.505,0.493,1.011,1.512,114
140,"Nyctophilus timoriensis",4.64,2.305,0.712,1.593,2.336,114
141,"Tadarida condylura",6.2,3.16,0.596,2.564,3.04,114
142,"Tadarida beccarii",4.121,2.305,0.467,1.839,1.816,114
143,"Tadarida jobensis",5.261,2.61,0.421,2.189,2.651,114
144,"Tadarida pumila",4.188,2.195,0.444,1.75,1.993,114
145,"Otomops martiensseni",11.406,5.548,1.256,4.292,5.858,114
146,"Molossops abrasus",7.193,3.566,0.744,2.822,3.627,114
147,"Molossops planirostris",3.564,1.712,0.315,1.397,1.851,114
148,"Molossus ater",8.625,4.504,0.834,3.669,4.121,114
149,"Molossus molossus",5.507,2.682,0.506,2.175,2.825,114
150,"Cheiromeles torquatus",13.203,6.423,1.372,5.052,6.78,114
