term,expansion,definition,kind,applies_to,common,source,note
WS,workspace,"The reachable manipulative workspace of the hand, as defined by Liu et al. 2016.",acronym,hand & limb morphology,FALSE,Liu_etal_2016/Liu_etal_2016_TableS1.README.md,Related to but distinct from Baker et al. 2025 peak_workspace (Feix et al. 2015 metric).
Area.cm2,area in cm2,Surface or sectional area of the structure in square centimetres.,measure_code,brain structure & size,FALSE,"_keys/variable_catalog.csv (Collins_etal_2016 ""cortical surface area of the region""); _keys/anatomy_reference.csv (V1)",
C.n,total number of cells,Total number of cells (neurons plus non-neuronal cells) in the structure.,measure_code,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""C"" = Total number of cells in the structure)",
I.n,number of microglia,Total number of microglial cells in the structure.,measure_code,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""I"" = Total number of microglia in the structure)","I is for Iba1, the antigen used to identify microglia in Dos Santos et al. 2020."
I.p.C,microglia per cell,Microglia-to-total-cell ratio for the structure.,measure_code,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""I/C"" = Microglia/Cell ratio)","Per that definitions file, I.p.C is the ORIGINAL measured quantity in the Dos Santos unpublished table; the other I.* measures are derived from it."
I.p.mg,microglia per milligram,Number of microglia per milligram of structure tissue.,measure_code,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""I/mg"" = Number of microglia per milligram of structure)",
I.p.N,microglia per neuron,Microglia-to-neuron ratio for the structure.,measure_code,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""I/N"" = Microglia/Neuron ratio)",
Length.mm,length in millimetres,Average length of the structure in millimetres.,measure_code,brain structure & size,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""Length"" = average length of the structure (in millimetres))",In this repo it carries spinal-cord length (Burish LSC).
Mass,mass (unit as printed),Mass of the structure in the unit the source paper printed; unit not fixed by the code.,measure_code,brain structure & size,FALSE,"_keys/Stephan/anatomy_key.csv (15 rows: Body_weight, Brain_weight)",Unit-agnostic legacy code. Check the source table before combining with Mass.g.
Mass.g,mass in grams,Mass of the structure (or of the body) in grams.,measure_code,brain structure & size; cellular composition; body size,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""Structure mass (g)"" -> Mass.g); _keys/HerculanoHouzel/anatomy_key.csv",The isotropic-fractionator tables report structure mass in g alongside cell counts.
Mass.kg,mass in kilograms,"Mass in kilograms, normally body mass as printed.",measure_code,body size,FALSE,"_keys/variable_catalog.csv (Collins_etal_2016 ""body weight""); _keys/anatomy_reference.csv",1 kg = 1000 g.
n,number of individuals,Number of individuals (specimens) analysed for that structure.,measure_code,brain structure & size; cellular composition,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""n"" = number of individuals analyzed); _keys/Stephan/anatomy_key.csv (35 rows)","Sample size, not a trait — role=info."
N.n,number of neurons,Total number of neurons in the structure.,measure_code,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""N"" = Total number of neurons in the structure); Burish_etal_2010/Burish_etal_2010_definitions.csv (""N"" = average number of neurons)","Reading VERIFIED from two independent per-paper definitions files: N = neurons. The trailing .n means ""a count""."
N.p.mg,neurons per milligram,Number of neurons per milligram of structure tissue (neuronal density).,measure_code,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""N/mg""); Burish_etal_2010/Burish_etal_2010_definitions.csv (""DN"" = average density of neurons per milligram of tissue)",""".p."" reads as ""per""."
O.n,number of other (non-neuronal) cells,"Total number of non-neuronal (""other"") cells in the structure.",measure_code,cellular composition,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""O"" = average number of other (nonneuronal) cells in the structure); _keys/HerculanoHouzel/anatomy_key.csv (""Amygdala_Non-neuronal cells"" -> O.n)","Reading VERIFIED: O = other / non-neuronal cells, not oligodendrocytes. Called ""other cells"" because the isotropic fractionator does not distinguish glia from endothelium."
O.p.mg,other cells per milligram,Number of non-neuronal cells per milligram of structure tissue.,measure_code,cellular composition,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""DO"" = average density of other (nonneuronal) cells per milligram); _keys/HerculanoHouzel/anatomy_key.csv",
O.p.N,other cells per neuron,Ratio of non-neuronal cells to neurons in the structure (the glia:neuron-like ratio of the isotropic-fractionator literature).,measure_code,cellular composition,FALSE,"_keys/HerculanoHouzel/anatomy_key.csv (""Amygdala_Non-neuronal cells/neuron"" -> O.p.N); _keys/variable_catalog.csv (Kazu_etal_2015 ""cerebellum other-cell / neuron ratio"")",Dimensionless. Not identical to a stereological glia:neuron ratio (see Glia_neuron_ratio).
p.C.Body.mass,percent of body mass,The structure's mass expressed as a percentage of whole-body mass.,measure_code,cellular composition; body size,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""%MBD"" = average structure mass fraction (expressed as percentage of the whole body mass))",In this repo it carries spinal cord as % of body mass.
p.C.Brain,percent of brain,The structure expressed as a percentage of the whole brain (volume fraction).,measure_code,brain structure & size; cellular composition,FALSE,"_keys/variable_catalog.csv (Kverkova_etal_2018) (""average structure volume fractions (expressed as percentage of the whole brain volume)"")","""p.C."" reads as ""percent"". Derived, not measured."
p.C.CNS.mass,percent of CNS mass,The structure's mass expressed as a percentage of central-nervous-system mass (brain + spinal cord).,measure_code,cellular composition,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""%MCNS"")",
p.C.CNS.neurons,percent of CNS neurons,The structure's neuron number expressed as a percentage of total CNS neuron number (brain + spinal cord).,measure_code,cellular composition,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""%NCNS"")",
p.C.N,percent neurons,Percentage of the cells in the structure that are neurons.,measure_code,cellular composition,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""%N""); _keys/variable_catalog.csv (HerculanoHouzel_etal_2015) (""number of neurons / (number of neurons + number of other cells) * 100"")",
ratio,ratio (dimensionless),"A dimensionless ratio of two measured quantities; which two is fixed by the source table, not by the code.",measure_code,brain structure & size,FALSE,"_keys/variable_catalog.csv (Weaver__2001 ""cerebellum-to-cerebrum volume ratio (derived)""); _keys/anatomy_reference.csv (FrontalGrey)",Unit-agnostic. Always read the source row for what is being divided by what.
S.n,number of samples,Number of samples of free nuclei prepared with the isotropic fractionator for that structure.,measure_code,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""No. of samples"")","Methodological effort, not a biological trait — role=info."
SD,standard deviation,Standard deviation of the accompanying measure across the individuals sampled.,measure_code,brain structure & size; cellular composition,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""SD"" = standard deviation)","Appears in _keys/anatomy_reference.csv as measures_seen for 54 ""<structure>_<measure>"" stub rows — those rows are the SD companion of a measure, not structures in their own right."
Source,source provenance,Which source publication or printing the accompanying value was taken from.,measure_code,all,FALSE,"_keys/HerculanoHouzel/anatomy_key.csv (""Cerebellum Source"", ""Cerebral cortex Source""); _keys/anatomy_reference.csv","Provenance metadata, not a measurement — role=info."
Vol.mm3,volume in mm3,Absolute volume of the structure in cubic millimetres.,measure_code,brain structure & size; cellular composition,FALSE,"_keys/variable_catalog.csv (327 rows, e.g. Stephan_etal_1982 ""absolute structure volumes in mm3""); _keys/anatomy_reference.csv",Dot notation reads as <quantity>.<unit>. The dominant volume code across the Stephan collection and the cell-count tables.
Volume.cm3,volume in cm3,Absolute volume of the structure in cubic centimetres.,measure_code,brain structure & size,FALSE,"_keys/variable_catalog.csv (69 rows, Collins_etal_2016 / Barger_etal_2007 ""structure volume"")",1 cm3 = 1000 mm3. Never pooled with Vol.mm3 without conversion.
Volume_mm3,volume in mm3,Absolute volume of the structure in cubic millimetres. Underscore spelling of Vol.mm3 used by the Stephan-collection anatomy key.,measure_code,brain structure & size,FALSE,_keys/Stephan/anatomy_key.csv (203 rows); _keys/anatomy_reference.csv,Same quantity as Vol.mm3; the two spellings coexist in the keys. Treat as a synonym.
BD,body,The whole body (used as the denominator in mass fractions).,structure_abbrev,body size,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""BD"")",
Br,whole brain,"Whole brain — the joint value of Cx, Cb and RoB.",structure_abbrev,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""Br"")",
BR,whole brain excluding olfactory bulb,Whole brain excluding the olfactory bulb.,structure_abbrev,cellular composition,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""BR"")",Burish's BR excludes the olfactory bulb; Dos Santos' Br does not make that exclusion. Different conventions in different collections.
CA1,cornu ammonis field 1,Hippocampal field CA1.,structure_abbrev,brain structure & size,FALSE,"_keys/variable_catalog.csv (Frahm_Zilles_1994) (""volume of hippocampal field CA1 in mm3"")","CA = cornu ammonis, the classical subdivision of the hippocampus proper."
CA2,cornu ammonis field 2,Hippocampal field CA2.,structure_abbrev,brain structure & size,FALSE,"_keys/variable_catalog.csv (Frahm_Zilles_1994) (""volume of hippocampal field CA2 in mm3"")",
CA3,cornu ammonis field 3,Hippocampal field CA3.,structure_abbrev,brain structure & size,FALSE,"_keys/variable_catalog.csv (Frahm_Zilles_1994) (""volume of hippocampal field CA3 in mm3 (CA4 cells of the hilus measured with the hilus region)"")","Frahm & Zilles measured the CA4 cells with the hilus, so there is no separate CA4 label."
Cb,cerebellum,Cerebellum.,structure_abbrev,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""Cb"")",
Ctx,cerebral cortex excluding hippocampus,"Cerebral cortex, grey and white matter, EXCLUDING hippocampus.",structure_abbrev,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""Ctx"")","Distinct from Cx, which INCLUDES hippocampus — the two must not be pooled."
Cx,cerebral cortex including hippocampus,"Cerebral cortex including grey matter, white matter and hippocampus.",structure_abbrev,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""Cx"")",
dp1,distal phalanx of digit 1,Distal (terminal) phalanx of the thumb (digit 1). Carried as log10_dp1_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_dpN_mm"" = log10 distal phalanx length of digit N (mm))",
dp2,distal phalanx of digit 2,Distal (terminal) phalanx of the forefinger (digit 2). Carried as log10_dp2_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_dpN_mm"" = log10 distal phalanx length of digit N (mm))",
dp3,distal phalanx of digit 3,Distal (terminal) phalanx of the digit 3. Carried as log10_dp3_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_dpN_mm"" = log10 distal phalanx length of digit N (mm))",
dp4,distal phalanx of digit 4,Distal (terminal) phalanx of the digit 4. Carried as log10_dp4_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_dpN_mm"" = log10 distal phalanx length of digit N (mm))",
dp5,distal phalanx of digit 5,Distal (terminal) phalanx of the digit 5. Carried as log10_dp5_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_dpN_mm"" = log10 distal phalanx length of digit N (mm))",
HP,pre-commissural hippocampus,The pre-commissural part of the hippocampus.,structure_abbrev,brain structure & size,FALSE,"_keys/variable_catalog.csv (Frahm_Zilles_1994) (HP_HS_fibers_mm3 = ""volume of pre- (HP) + supra-commissural (HS) hippocampus plus hippocampal fibres (mainly fimbria/fornix), in mm3"")",
Hp,hippocampus,Hippocampus.,structure_abbrev,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""Hp"")",
HP_HS_fibers,pre- + supra-commissural hippocampus plus hippocampal fibres,Combined volume of the pre-commissural (HP) and supra-commissural (HS) hippocampus together with the hippocampal fibre systems (mainly fimbria and fornix).,structure_abbrev,brain structure & size,FALSE,_keys/variable_catalog.csv (Frahm_Zilles_1994); _keys/anatomy_reference.csv,"A single compound structure in the anatomy reference, not three separable parts."
HS,supra-commissural hippocampus,The supra-commissural part of the hippocampus.,structure_abbrev,brain structure & size,FALSE,_keys/variable_catalog.csv (Frahm_Zilles_1994),
ip2,intermediate phalanx of digit 2,Intermediate (middle) phalanx of the forefinger (digit 2). Carried as log10_ip2_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_ipN_mm"" = log10 intermediate phalanx length of digit N (mm; digits 2-5))","There is no ip1: digit 1 (thumb) has no intermediate phalanx. That is why the set is 19 bones, not 20."
ip3,intermediate phalanx of digit 3,Intermediate (middle) phalanx of the digit 3. Carried as log10_ip3_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_ipN_mm"" = log10 intermediate phalanx length of digit N (mm; digits 2-5))","There is no ip1: digit 1 (thumb) has no intermediate phalanx. That is why the set is 19 bones, not 20."
ip4,intermediate phalanx of digit 4,Intermediate (middle) phalanx of the digit 4. Carried as log10_ip4_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_ipN_mm"" = log10 intermediate phalanx length of digit N (mm; digits 2-5))","There is no ip1: digit 1 (thumb) has no intermediate phalanx. That is why the set is 19 bones, not 20."
ip5,intermediate phalanx of digit 5,Intermediate (middle) phalanx of the digit 5. Carried as log10_ip5_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_ipN_mm"" = log10 intermediate phalanx length of digit N (mm; digits 2-5))","There is no ip1: digit 1 (thumb) has no intermediate phalanx. That is why the set is 19 bones, not 20."
LAM,lateral amygdala / cortico-basolateral group,The cortico-basolateral amygdaloid group: lateral + basal + cortical nuclei.,structure_abbrev,brain structure & size,FALSE,"_keys/variable_catalog.csv (Stephan_etal_1987 ""cortico-basolateral group / lateral amygdala (LAM) = lateral + basal + cortical nuclei"")",
LGN,lateral geniculate nucleus,The thalamic relay nucleus of the primary visual pathway.,structure_abbrev,brain structure & size,FALSE,"_keys/variable_catalog.csv (deSousa_etal_2010 ""lateral geniculate nucleus entire-structure volume; published bilateral estimate = 2 x measured left LGN"")",Latin-name equivalent in the Stephan volume tables: Corpus_geniculatum_laterale.
mc1,metacarpal of digit 1,Metacarpal bone of the thumb (digit 1). In this repo carried as log10_mc1_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_mcN_mm"" = log10 metacarpal length of digit N (mm))","Printed as MC1 in Liu et al. 2016 Table S1, where segment lengths are instead PROPORTIONS of combined thumb + forefinger length (dimensionless), not mm. Baker is the source the app label descends from."
mc2,metacarpal of digit 2,Metacarpal bone of the forefinger (digit 2). In this repo carried as log10_mc2_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_mcN_mm"" = log10 metacarpal length of digit N (mm))","Printed as MC2 in Liu et al. 2016 Table S1, where segment lengths are instead PROPORTIONS of combined thumb + forefinger length (dimensionless), not mm. Baker is the source the app label descends from."
mc3,metacarpal of digit 3,Metacarpal bone of the digit 3. In this repo carried as log10_mc3_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_mcN_mm"" = log10 metacarpal length of digit N (mm))","Printed as MC3 in Liu et al. 2016 Table S1, where segment lengths are instead PROPORTIONS of combined thumb + forefinger length (dimensionless), not mm. Baker is the source the app label descends from."
mc4,metacarpal of digit 4,Metacarpal bone of the digit 4. In this repo carried as log10_mc4_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_mcN_mm"" = log10 metacarpal length of digit N (mm))","Printed as MC4 in Liu et al. 2016 Table S1, where segment lengths are instead PROPORTIONS of combined thumb + forefinger length (dimensionless), not mm. Baker is the source the app label descends from."
mc5,metacarpal of digit 5,Metacarpal bone of the digit 5. In this repo carried as log10_mc5_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_mcN_mm"" = log10 metacarpal length of digit N (mm))","Printed as MC5 in Liu et al. 2016 Table S1, where segment lengths are instead PROPORTIONS of combined thumb + forefinger length (dimensionless), not mm. Baker is the source the app label descends from."
P+M,pons and medulla oblongata,Pons together with the medulla oblongata.,structure_abbrev,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""P+M"")",
pp1,proximal phalanx of digit 1,Proximal phalanx of the thumb (digit 1). Carried as log10_pp1_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_ppN_mm"" = log10 proximal phalanx length of digit N (mm))",
pp2,proximal phalanx of digit 2,Proximal phalanx of the forefinger (digit 2). Carried as log10_pp2_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_ppN_mm"" = log10 proximal phalanx length of digit N (mm))",
pp3,proximal phalanx of digit 3,Proximal phalanx of the digit 3. Carried as log10_pp3_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_ppN_mm"" = log10 proximal phalanx length of digit N (mm))",
pp4,proximal phalanx of digit 4,Proximal phalanx of the digit 4. Carried as log10_pp4_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_ppN_mm"" = log10 proximal phalanx length of digit N (mm))",
pp5,proximal phalanx of digit 5,Proximal phalanx of the digit 5. Carried as log10_pp5_mm — log10 of its length in mm.,structure_abbrev,hand & limb morphology,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""log10_ppN_mm"" = log10 proximal phalanx length of digit N (mm))",
RoB,rest of brain,"Whole brain minus cerebral cortex and cerebellum: pons, medulla oblongata, mesencephalon, diencephalon and striatum.",structure_abbrev,cellular composition,FALSE,"DosSantos_etal_2020/DosSantos_etal_2020_definitions.csv (""RoB"")",
SC,spinal cord,Spinal cord.,structure_abbrev,cellular composition; sensorimotor & motor pathways,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""SC"")",
V1,primary visual cortex,"The primary visual cortical area (striate cortex, Brodmann area 17).",structure_abbrev,brain structure & size; cellular composition,FALSE,Karl_etal_2024/Karl-2024-Invariance of Mitochondria and Synap.pdf (abstract); _keys/anatomy_reference.csv (V1),The Latin-name equivalent used by the Stephan-collection volume tables is Area_striata.
%,percent,Proportion expressed per hundred.,unit,all,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
C,degrees Celsius,Unit of temperature. Written _C in Torpor_Tb_min_C.,unit,sleep & torpor,TRUE,"Ruf_Geiser_2015/Ruf_Geiser_2015_Table1.ReadMe.md (""Tb min — minimum torpor body temperature (°C)"")",
cm3,cubic centimetre,Unit of volume; 1 cm3 = 1000 mm3.,unit,all,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
days,days,Unit of time.,unit,life history,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
g,gram,Unit of mass.,unit,all,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
h,hour,Unit of time.,unit,sleep & torpor; metabolism,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
ha,hectare,"Unit of area; 1 ha = 10,000 m2. Used for home-range size.",unit,diet & ecology,FALSE,"_keys/variable_catalog.csv (Lewitus_etal_2014 trait table, Max_home_range_ha)",
kg,kilogram,Unit of mass; 1 kg = 1000 g.,unit,all,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
log10,base-10 logarithm,"The value is the base-10 logarithm of the quantity, not the quantity itself; it has NOT been back-transformed.",unit,hand & limb morphology; brain structure & size,FALSE,"Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv (""Measurements are left in the paper's published units — log10 of length (mm), mass (g) or volume (cm3) — not back-transformed"", Baker_etal_2025_SupplementaryData1.README.md)",Applies to every log10_* label. Two log10 values must never be averaged with a raw value.
mg,milligram,Unit of mass; 1 mg = 0.001 g. The denominator of the cell-density codes N.p.mg / O.p.mg / I.p.mg.,unit,cellular composition,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
mL O2/h,millilitres of oxygen per hour,Unit of whole-animal metabolic rate (oxygen consumption).,unit,metabolism,FALSE,_keys/variable_canonical.csv (BMR_wholeanimal / BMR_massspecific canonical_unit),
mL O2/h/g,millilitres of oxygen per hour per gram,Unit of mass-specific metabolic rate.,unit,metabolism,FALSE,_keys/variable_canonical.csv (BMR_wholeanimal / BMR_massspecific canonical_unit),
mm,millimetre,Unit of length.,unit,all,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
mm2,square millimetre,Unit of area.,unit,all,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
mm3,cubic millimetre,Unit of volume; 1 mm3 = 1 microlitre.,unit,all,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
Mya,million years ago,Unit of geological/phylogenetic time.,unit,life history,FALSE,Eagleman_Vaughn_2021/Eagleman_Vaughn_2021_TABLE1.csv (column Phylogenetic_distance_Mya),
nm,nanometre,Unit of length; 1 nm = 1e-9 m. Used for PSD length.,unit,cellular composition,FALSE,Karl_etal_2024/Karl-2024-Invariance of Mitochondria and Synap.pdf (abstract) (postsynaptic density (PSD) length),
um,micrometre,Unit of length; 1 um = 1e-6 m. Written µm in the corticospinal fibre-diameter labels.,unit,sensorimotor & motor pathways,FALSE,"_keys/variable_catalog.csv (Heffner_Masterton_1983 ""average corticospinal fibre diameter in micrometres"")",
years,years,Unit of time.,unit,life history,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
yr,year,Unit of time; abbreviation used by the body & ecology merge (Maximum_longevity (yr)).,unit,life history,TRUE,_keys/anatomy_reference.csv / per-paper definitions files (unit as printed),
