"source","doi","source_table","taxon_level","species_printed","Species","specimen_id","observation_level","n_specimens","age_class","age_detail","sex","hemisphere","region_printed","region","m1_compatible","layer_printed","layer","layer_status","measure","statistic","value","unit","uncertainty_type","uncertainty_value","n_sampling_locations","sampling_detail","value_basis","source_location","curation_note","merge_default","status"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn giraffe","Giraffa camelopardalis","newborn_giraffe_1","single-specimen summary",1,"newborn","1 day old","female","right","Motor cortex","primary motor cortex",TRUE,"Layer IV","IV","absent","absolute thickness","mean",,"um",,,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed absence (-)","Table 1, PDF page 4","Layer IV explicitly absent in this region.",TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn giraffe","Giraffa camelopardalis","newborn_giraffe_1","single-specimen summary",1,"newborn","1 day old","female","right","Motor cortex","primary motor cortex",TRUE,"Layer V","V","present","absolute thickness","mean",484,"um","SD",18,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn giraffe","Giraffa camelopardalis","newborn_giraffe_1","single-specimen summary",1,"newborn","1 day old","female","right","Motor cortex","primary motor cortex",TRUE,"Layer VI","VI","present","absolute thickness","mean",537,"um","SD",17,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn giraffe","Giraffa camelopardalis","newborn_giraffe_1","single-specimen summary",1,"newborn","1 day old","female","right","Motor cortex","primary motor cortex",TRUE,"Gray/white matter junction","total cortex","not applicable","absolute thickness","mean",2859,"um","SD",152,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn elephant","Loxodonta africana","newborn_elephant_1","single-specimen summary",1,"newborn","stillborn","male","right","Motor cortex","primary motor cortex",TRUE,"Layer I","I","present","absolute thickness","mean",337,"um","SD",25,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn elephant","Loxodonta africana","newborn_elephant_1","single-specimen summary",1,"newborn","stillborn","male","right","Motor cortex","primary motor cortex",TRUE,"Layer II","II","present","absolute thickness","mean",144,"um","SD",24,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn elephant","Loxodonta africana","newborn_elephant_1","single-specimen summary",1,"newborn","stillborn","male","right","Motor cortex","primary motor cortex",TRUE,"Layer III","III","present","absolute thickness","mean",407,"um","SD",55,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn elephant","Loxodonta africana","newborn_elephant_1","single-specimen summary",1,"newborn","stillborn","male","right","Motor cortex","primary motor cortex",TRUE,"Layer IV","IV","absent","absolute thickness","mean",,"um",,,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed absence (-)","Table 1, PDF page 4","Layer IV explicitly absent in this region.",TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn elephant","Loxodonta africana","newborn_elephant_1","single-specimen summary",1,"newborn","stillborn","male","right","Motor cortex","primary motor cortex",TRUE,"Layer V","V","present","absolute thickness","mean",401,"um","SD",129,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn elephant","Loxodonta africana","newborn_elephant_1","single-specimen summary",1,"newborn","stillborn","male","right","Motor cortex","primary motor cortex",TRUE,"Layer VI","VI","present","absolute thickness","mean",625,"um","SD",53,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Jacobs_etal_2016_Table1","10.1002/cne.23841","Table 1","species","Newborn elephant","Loxodonta africana","newborn_elephant_1","single-specimen summary",1,"newborn","stillborn","male","right","Motor cortex","primary motor cortex",TRUE,"Gray/white matter junction","total cortex","not applicable","absolute thickness","mean",1913,"um","SD",86,10,"Mean and SD across 10 sampling locations in each region of interest; each species is represented by one newborn specimen.","printed value","Table 1, PDF page 4",,TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer I","I","present","absolute thickness","mean",346,"um","SD",32,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",,TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer II","II","present","absolute thickness","mean",160,"um","SD",16,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",,TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer III","III","present","absolute thickness","mean",824,"um","SD",44,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",,TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer IV","IV","absent","absolute thickness","mean",,"um",,,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed absence (-)","Table 1, PDF page 5","Layer IV explicitly absent in this region.",TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer V","V","present","absolute thickness","mean",371,"um","SD",40,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",,TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer VI","VI","present","absolute thickness","mean",538,"um","SD",81,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",,TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Siberian tiger","Panthera tigris altaica","ST","single-specimen summary",1,"adult","12 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Total","total cortex","not applicable","absolute thickness","mean",2239,"um","SD",228,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5",,TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer I","I","present","absolute thickness","mean",187,"um","SD",18,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses.",TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer II","II","present","absolute thickness","mean",172,"um","SD",21,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses.",TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer III","III","present","absolute thickness","mean",510,"um","SD",57,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses.",TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer IV","IV","absent","absolute thickness","mean",,"um",,,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed absence (-)","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses. Layer IV is explicitly absent in this region.",TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer V","V","present","absolute thickness","mean",449,"um","SD",15,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses.",TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Layer VI","VI","present","absolute thickness","mean",581,"um","SD",98,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses.",TRUE,"active"
"Johnson_etal_2016_Table1","10.1002/cne.24022","Table 1","species","Clouded leopard","Neofelis nebulosa",,"species summary",2,"adult","20 and 28 years","female","left","Primary motor cortex","primary motor cortex",TRUE,"Total","total cortex","not applicable","absolute thickness","mean",1898,"um","SD",45,10,"Mean and SD across 10 sampling locations in each region of interest; clouded-leopard values combine two specimens.","printed value","Table 1, PDF page 5","Clouded-leopard values represent two specimens; the paper does not expose specimen-level thicknesses.",TRUE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Thickness of the cortex","total cortex","not applicable","absolute thickness","point",1729,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer I","I","present","absolute thickness","point",289,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer II","II","present","absolute thickness","point",136,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer III","III","present","absolute thickness","point",508,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer V","V","present","absolute thickness","point",347,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer VI","VI","present","absolute thickness","point",449,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer 4","IV","absent","absolute thickness","point",,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","text-supported absence; Table 2 omits layer 4","Results and Table 2, PDF pages 5-6","Four observers identified five layers; layer IV is virtually absent in the sampled M1 region.",FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer I","I","present","proportional thickness","point",0.174,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer II","II","present","proportional thickness","point",0.081,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer III","III","present","proportional thickness","point",0.288,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer V","V","present","proportional thickness","point",0.214,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer VI","VI","present","proportional thickness","point",0.243,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Thickness of the cortex","total cortex","not applicable","absolute thickness","point",1818,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer I","I","present","absolute thickness","point",534,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer II","II","present","absolute thickness","point",188,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer III","III","present","absolute thickness","point",447,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer V","V","present","absolute thickness","point",335,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer VI","VI","present","absolute thickness","point",314,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer 4","IV","absent","absolute thickness","point",,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","text-supported absence; Table 2 omits layer 4","Results and Table 2, PDF pages 5-6","Four observers identified five layers; layer IV is virtually absent in the sampled M1 region.",FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer I","I","present","proportional thickness","point",0.282,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer II","II","present","proportional thickness","point",0.104,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer III","III","present","proportional thickness","point",0.257,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer V","V","present","proportional thickness","point",0.187,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_2","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer VI","VI","present","proportional thickness","point",0.17,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_3","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Thickness of the cortex","total cortex","not applicable","absolute thickness","point",1956,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_3","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer I","I","present","absolute thickness","point",446,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",,FALSE,"active"
