reference,canonical_structure,measure,anatomy_code,original_column
Pirlot_Jiao_1985,Neocortex,Volume_mm3,N,*_volume_mm3 (row N)
Pirlot_Jiao_1985,Rhinencephalon,Volume_mm3,RH,*_volume_mm3 (row RH)
Pirlot_Jiao_1985,Septum,Volume_mm3,S,*_volume_mm3 (row S)
Pirlot_Jiao_1985,Diencephalon,Volume_mm3,D,*_volume_mm3 (row D)
Pirlot_Jiao_1985,Striatum,Volume_mm3,ST,*_volume_mm3 (row ST)
Pirlot_Jiao_1985,Hippocampus,Volume_mm3,H,*_volume_mm3 (row H)
Pirlot_Jiao_1985,Mesencephalon,Volume_mm3,M,*_volume_mm3 (row M)
Pirlot_Jiao_1985,Cerebellum,Volume_mm3,C,*_volume_mm3 (row C)
Pirlot_Jiao_1985,Medulla_oblongata,Volume_mm3,O,*_volume_mm3 (row O)
Kamiya_Pirlot_1980,Neocortex,Volume_mm3 (also % + progression_index columns),N,"component=N [UNCONFIRMED - source PDF is an unreadable scan, definitions inferred by analogy to Kamiya_Pirlot_1988/Pirlot_Jiao_1985's identical code set - verify against a legible copy of Kamiya & Pirlot 1980 before use]"
Kamiya_Pirlot_1980,Rhinencephalon,Volume_mm3 (also % + progression_index columns),Rh,"component=Rh [UNCONFIRMED - source PDF is an unreadable scan, definitions inferred by analogy to Kamiya_Pirlot_1988/Pirlot_Jiao_1985's identical code set - verify against a legible copy of Kamiya & Pirlot 1980 before use]"
Kamiya_Pirlot_1980,Septum,Volume_mm3 (also % + progression_index columns),S,"component=S [UNCONFIRMED - source PDF is an unreadable scan, definitions inferred by analogy to Kamiya_Pirlot_1988/Pirlot_Jiao_1985's identical code set - verify against a legible copy of Kamiya & Pirlot 1980 before use]"
Kamiya_Pirlot_1980,Diencephalon,Volume_mm3 (also % + progression_index columns),D,"component=D [UNCONFIRMED - source PDF is an unreadable scan, definitions inferred by analogy to Kamiya_Pirlot_1988/Pirlot_Jiao_1985's identical code set - verify against a legible copy of Kamiya & Pirlot 1980 before use]"
Kamiya_Pirlot_1980,Striatum,Volume_mm3 (also % + progression_index columns),St,"component=St [UNCONFIRMED - source PDF is an unreadable scan, definitions inferred by analogy to Kamiya_Pirlot_1988/Pirlot_Jiao_1985's identical code set - verify against a legible copy of Kamiya & Pirlot 1980 before use]"
Kamiya_Pirlot_1980,Hippocampus,Volume_mm3 (also % + progression_index columns),H,"component=H [UNCONFIRMED - source PDF is an unreadable scan, definitions inferred by analogy to Kamiya_Pirlot_1988/Pirlot_Jiao_1985's identical code set - verify against a legible copy of Kamiya & Pirlot 1980 before use]"
Kamiya_Pirlot_1980,Mesencephalon,Volume_mm3 (also % + progression_index columns),M,"component=M [UNCONFIRMED - source PDF is an unreadable scan, definitions inferred by analogy to Kamiya_Pirlot_1988/Pirlot_Jiao_1985's identical code set - verify against a legible copy of Kamiya & Pirlot 1980 before use]"
Kamiya_Pirlot_1980,Cerebellum,Volume_mm3 (also % + progression_index columns),C,"component=C [UNCONFIRMED - source PDF is an unreadable scan, definitions inferred by analogy to Kamiya_Pirlot_1988/Pirlot_Jiao_1985's identical code set - verify against a legible copy of Kamiya & Pirlot 1980 before use]"
Kamiya_Pirlot_1980,Medulla_oblongata,Volume_mm3 (also % + progression_index columns),O,"component=O [UNCONFIRMED - source PDF is an unreadable scan, definitions inferred by analogy to Kamiya_Pirlot_1988/Pirlot_Jiao_1985's identical code set - verify against a legible copy of Kamiya & Pirlot 1980 before use]"
