source,table,printed_value,marker,marker_class,marker_meaning,legend_location,handled,handled_by_column,action
Lewitus_etal_2014,TableS1,"¶ See Table S2 for column definitions",,ingested_footnote_row,"source rows 105-106 land as species rows with all 39 trait fields NA",n/a,NO,,"GAP 3.2b: true species count is 102, not the 104 claimed by the CSV, public TSV, script comment and README; founder-TSV QA passes only because the founder carries the same phantom rows; does not reach gyrification_long/wide.csv"
Caspar_etal_2022,Table4 (NOT ingested),Macaca tonkeana dagger,dagger,symbol,"Ages unknown, sex derived from given names",Table 4 legend,n/a,,"NOT A GAP: the dagger is in Table 4 (study-sample composition), which the repo does not ingest; the built Table 1 prints no dagger. Caspar_etal_2022_exportMSexcel.xlsx mislabels the Table 4 OCR sheet as 'Table 1'"
Ashwell__2020,SupplementaryTable,Ornithorhynchus anatinus 1,1,specimen_code,individual specimen 1,column layout,yes,species_as_published + specimen_number + row_type,none
Ashwell__2020,SupplementaryTable,Ornithorhynchus anatinus 2,2,specimen_code,individual specimen 2,column layout,yes,species_as_published + specimen_number + row_type,none
Ashwell__2020,SupplementaryTable,Ornithorhynchus anatinus 3,3,specimen_code,individual specimen 3,column layout,yes,species_as_published + specimen_number + row_type,none
Ashwell__2020,SupplementaryTable,Tachyglossus aculeatus 1,1,specimen_code,individual specimen 1,column layout,yes,species_as_published + specimen_number + row_type,none
Ashwell__2020,SupplementaryTable,Tachyglossus aculeatus 2,2,specimen_code,individual specimen 2,column layout,yes,species_as_published + specimen_number + row_type,none
Ashwell__2020,SupplementaryTable,Tachyglossus aculeatus 3,3,specimen_code,individual specimen 3,column layout,yes,species_as_published + specimen_number + row_type,none
MacLeod_etal_2003,Table1,Homo sapiens 1-6,1-6,specimen_code,individual human specimens,column layout,yes,specimen,none
MacLeod_etal_2003,Table1,Cebus sp. 5,5,specimen_code,individual specimen,column layout,yes,specimen,none
Smaers_etal_2011,SupplementaryTable1,Gorilla gorilla 375,375,specimen_code,Stephan-collection accession number,column layout,yes,catalogue_number,"cross-ref: same brain as MacLeod_etal_2003 'Gorilla gorilla (A375)'"
Smaers_etal_2011,SupplementaryTable1,Homo sapiens 1696/2431/5694/6895,various,specimen_code,Stephan-collection accession numbers,column layout,yes,catalogue_number,none
Smaers_etal_2011,SupplementaryTable1,Hylobates lar 1203,1203,specimen_code,Stephan-collection accession number,column layout,yes,catalogue_number,"cross-ref: same brain as MacLeod_etal_2003 'Hylobates lar (1203)'"
Smaers_etal_2011,SupplementaryTable1,Alouatta seniculus1184,1184,specimen_code,Stephan-collection accession number (no space),column layout,yes,catalogue_number,none
Smaers_etal_2011,SupplementaryTable1,Pithecia monachus1180,1180,specimen_code,Stephan-collection accession number (no space),column layout,yes,catalogue_number,none
Baker_etal_2025,SupplementaryData1,Oreopithecus_bambolii_1,_1,specimen_code,individual/specimen identifier,column layout,yes,specimen ID column,none
Stephan_etal_1981,TableII,Stephan code 1-44,1-44,specimen_code,Stephan numeric species code,column layout,yes,code column,none
DeCasien_Higham_2019,Group Size Data (from 38),Alouatta_palliata12.2,12.2,composite_key,"group-size value concatenated into a dedup key; header reads 'KEY (species name & group size)'",column header,n/a,Taxon + Group Size are separate columns,"do NOT parse as specimen code or footnote (417 such values)"
Stephan_etal_1970,raw xlsx,Aclhcchinus algirus,,ocr_error,should be Aethechinus algirus,,raw layer only,,"OCR repair if this sheet is ever ingested"
Stephan_etal_1970,raw xlsx,Aotes trivirgarus,,ocr_error,should be Aotus trivirgatus,,raw layer only,,OCR repair if ingested
Matano_etal_1985_a,raw xlsx,Aorus trivirgatus,,ocr_error,should be Aotus trivirgatus,,raw layer only,,OCR repair if ingested
Iwaniuk_etal_2001,raw xlsx,Apodemus jlavicollis,,ocr_error,fl-ligature read as jl; should be Apodemus flavicollis,,raw layer only,,OCR repair if ingested
Iwaniuk_etal_2001,raw xlsx Table7,Callimico goeldii + spaces + 0,,ocr_error,merged-cell bleed: value 0 glued into species cell,,raw layer only,,OCR repair if ingested
various,raw extract,Cercocebus alb1gena,,ocr_error,i read as 1; should be Cercocebus albigena,,raw layer only,,OCR repair if ingested
various,raw extract,Nycriceb11s coi1ca11g,,ocr_error,should be Nycticebus coucang,,raw layer only,,OCR repair if ingested
