score,n_species,measure,tables,primary,review,indexed,id,cite,year,authors,title,journal,doi,groups,pdf,chars
167.0,40,216,11,1,0,True,5165,Edler 2007,2007,"Edler, Melissa",A comparative analysis of hippocampus size and ecological factors in primates,,,hippocampus; Hippocampus regions,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1381639125/Edler_Melissa_dissertation.pdf,134075
158.5,35,159,9,22,1,True,860,Chivers 1980,1980,"Chivers, D. J.; Hladik, C. M.",Morphology of the gastrointestinal tract in primates: comparisons with other mammals in relation to diet,J Morphol,10.1002/jmor.1051660306,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2478499907/Chivers-1980-Morphology of the ga.pdf,113540
152.0,42,70,4,5,0,True,2811,Leonard 2003,2003,"Leonard, W. R.; Robertson, M. L.; Snodgrass, J. J.; +1",Metabolic correlates of hominid brain evolution,Comp Biochem Physiol A Mol Integrative Physiol,10.1016/S1095-6433(03)00132-6,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0192433877/Leonard-2003-Metabolic correlates.pdf,41486
144.2,40,71,4,3,1,True,1023,Leonard 2007,2007,"Leonard, W. R.; Snodgrass, J. J.; Robertson, M. L.",Effects of brain evolution on human nutrition and metabolism,Annu Rev Nutr,10.1146/annurev.nutr.27.061406.093659,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0284327308/leonard_etal_2007.pdf,67265
143.0,38,100,4,0,2,True,522,Fish 2003,2003,"Fish, J. L.; Lockwood, C. A.",Dietary constraints on encephalization in primates,Am J Phys Anthropol,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3602063930/fish_lockwood_2003.pdf,37858
139.8,39,75,1,5,0,True,2574,Kruska 1988,1988,"Kruska, D.",Mammalian domestication and its effect on brain structure and behavior,Intelligence and Evolutionary Biology,10.1007/978-3-642-70877-0_13,brain structure size domestication,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4179937801/Kruska 1988 Poppi Mammalian.pdf,74352
138.0,34,60,4,76,0,True,4598,Bahney 2018,2018,"Bahney, J.; von Bartheld, C. S.",The Cellular Composition and Glia-Neuron Ratio in the Spinal Cord of a Human and a Nonhuman Primate: Comparison With Other Species and Brain Regions,Anat Rec (Hoboken),10.1002/ar.23728,traits evo M1,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1211270208/Bahney-2018-The Cellular Composition and Glia-.pdf,67770
129.0,27,114,3,43,0,True,6894,Haug 1987,1987,"Haug, H.","Brain sizes, surfaces, and neuronal sizes of the cortex cerebri: a stereological investigation of man and his variability and a comparison with some mammals (primates, whales, marsupials, insectivores, and one elephant)",Am J Anat,10.1002/aja.1001800203,brain structure size scaling; metabolic cost tissues,"/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1499833713/Haug-1987-Brain sizes, surface.pdf",73945
126.5,20,281,22,9,1,True,5998,Count 1947,1947,"Count, Earl W.",Brain and body weight in man: their antecendents in growth and evolution: A study in dynamic somatometry,Ann N Y Acad Sci,10.1111/j.1749-6632.1947.tb36165.x,Brain Size Scaling,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1206034303/Count-1947-Brain and body weigh.pdf,229772
126.2,31,67,9,10,2,True,1853,Plavcan 1992,1992,"Plavcan, J. M.; van Schaik, C. P.",Intrasexual competition and canine dimorphism in anthropoid primates,Am J Phys Anthropol,10.1002/ajpa.1330870407,mating system,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0431787582/Plavcan-1992-Intrasexual competit.pdf,68607
126.2,41,13,0,0,0,True,6090,Bauchot 1966,1966,"Bauchot, R.; Stephan, H.",Données nouvelles sur l’encéphalisation des Insectivores et des Prosimiens,Mammalia,10.1515/mamm.1966.30.1.160,Brain Size Measures; Brain Size Scaling,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0887815939/Bauchot-1966-Données nouvelles su.pdf,91747
121.8,35,31,0,26,4,True,756,Suwa 2009,2009,"Suwa, G.; Asfaw, B.; Kono, R. T.; +3",The Ardipithecus ramidus skull and its implications for hominid origins,Science,10.1126/science.1175825,endocranial refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2229656757/Suwa-2009-The Ardipithecus ram.pdf; /sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0670752506/SuwaSkullSuppSCI021009.pdf,92076
120.2,34,29,0,22,0,True,2198,Crile 1940,1940,"Crile, George; Quiring, Daniel P.",A Record of the Body Weight and Certain Organ and Gland Weights of 3690 Animals,Ohio J Sci,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3806182042/crile_quiring_1940.pdf,33884
115.5,38,6,0,0,0,True,5049,Koay 1998,1998,"Koay, G.; Heffner, R. S.; Heffner, H. E.",Hearing in a megachiropteran fruit bat (Rousettus aegyptiacus),J Comp Psychol,10.1037/0735-7036.112.4.371,auditory visual evolution data refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3787756342/koay_etal_1998.pdf,60072
111.2,35,11,3,0,1,True,2273,Komers 1997,1997,"Komers, P. E.; Brotherton, P. N. M.",Female space use is the best predictor of monogamy in mammals,Proc Biol Sci,,mating system,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3349369156/Komers-1997-Female space use is.pdf,44810
110.8,36,17,4,1,8,True,238,Kudo 2001,2001,"Kudo, H.; Dunbar, R. I. M.",Neocortex size and social network size in primates,Anim Behav,,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1364090032/kudo_dunbar_2001.pdf,61255
109.5,16,400,12,27,0,True,8944,Nudo 1995,1995,"Nudo, R. J.; Sutherland, D. P.; Masterton, R. B.",Variation and evolution of mammalian corticospinal somata with special reference to primates,J Comp Neurol,10.1002/cne.903580203,traits evo M1,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1795100205/Nudo-1995-Variation and evolution of mammalian.pdf,127798
104.8,25,101,3,0,0,True,1641,Harestad 1979,1979,"Harestad, A. S.; Bunnell, F. L.",Home Range and Body-Weight - Re-Evaluation,Ecology,10.2307/1937667,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1089966066/Harestad-1979-Home Range and Body-.pdf,66263
103.2,27,29,2,24,0,True,6610,Nimchinsky 1999,1999,"Nimchinsky, E. A.; Gilissen, E.; Allman, J. M.; +3",A neuronal morphologic type unique to humans and great apes,Proc Natl Acad Sci U S A,,VENs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0453173332/nimchinsky_etal_1999.pdf,31134
103.2,27,55,5,2,0,True,7447,Matano 1997,1997,"Matano, S.; Hirasaki, E.","Volumetric comparisons in the cerebellar complex of anthropoids, with special reference to locomotor types",Am J Phys Anthropol,,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3238408035/matano_hirasaki_1997.pdf,39284
101.2,30,39,1,0,0,True,1277,Grant 1992,1992,"Grant, J. W. A.; Chapman, C. A.; Richardson, K. S.","Defended versus undefended home range size of carnivores, ungulates and primates",Behav Ecol Sociobiol,,home range; hippocampus,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3080593843/grant_etal_1992.pdf,69183
101.0,21,138,4,10,3,True,480,Barrickman 2010,2010,"Barrickman, N. L.; Lin, M. J.","Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines",Am J Phys Anthropol,10.1002/ajpa.21354,brain structure metabolism data for comparing,"/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3515546606/Barrickman--Encephalization, exp.pdf",68077
101.0,24,80,4,6,0,True,4305,Zilles 1989,1989,"Zilles, K.; Armstrong, E.; Moser, K. H.; +2",Gyrification in the cerebral cortex of primates,Brain Behav Evol,,gyrification,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1762924391/zilles_etal_1989.pdf,35980
95.2,21,53,4,26,0,True,7362,Sherwood 2006,2006,"Sherwood, C. C.; Stimpson, C. D.; Raghanti, M. A.; +8",Evolution of increased glia-neuron ratios in the human frontal cortex,Proc Natl Acad Sci U S A,10.1073/pnas.0605843103,glia,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1224406045/Sherwood-2006-Evolution of increased glia-neur.pdf,39849
95.0,25,42,3,90,12,True,8137,Allman 2010,2010,"Allman, J. M.; Tetreault, N. A.; Hakeem, A. Y.; +6",The von Economo neurons in frontoinsular and anterior cingulate cortex in great apes and humans,Brain Struct Funct,10.1007/s00429-010-0254-0,VENs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2389393253/Allman-2010-The von Economo neurons in frontoi.pdf; /sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1505193507/allman_etal.pdf,191029
93.8,23,55,4,10,0,True,496,Reep 2007,2007,"Reep, R. L.; Finlay, B. L.; Darlington, R. B.",The limbic system in Mammalian brain evolution,Brain Behav Evol,10.1159/000101491,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3972183658/Reep_etal_2007.pdf,57178
93.5,25,50,4,0,0,True,227,Leonard 1994,1994,"Leonard, W. R.; Robertson, M. L.",Evolutionary Perspectives on Human-Nutrition - the Influence of Brain and Body-Size on Diet and Metabolism,Am J Hum Biol,10.1002/ajhb.1310060111,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1105816539/leonard_robertson_1994.pdf,44230
86.8,19,99,3,1,0,True,244,Leigh 1998,1998,"Leigh, S. R.; Park, P. B.",Evolution of human growth prolongation,Am J Phys Anthropol,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2367027914/Leigh-1998-Evolution of human g.pdf,75559
85.0,27,34,1,0,6,True,1626,Schillaci 2008,2008,"Schillaci, Michael A.",Primate mating systems and the evolution of neocortex size,J Mammal,10.1644/06-Mamm-a-417.1,mating system,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0129183331/Schillaci-2008-Primate mating syste.pdf,28409
82.0,11,149,3,29,0,True,5529,Schoenemann 2005,2005,"Schoenemann, P. T.; Sheehan, M. J.; Glotzer, L. D.",Prefrontal white matter volume is disproportionately larger in humans than in other primates,Nat Neurosci,,prefrontal,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3517333731/schoenemann05_s3.pdf; /sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1367430643/schoenemann05_s2.pdf; /sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3125950686/schoenemann_etal_2005.pdf; /sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1169924811/schoenemann05_s1.pdf,64970
79.2,23,37,1,1,1,True,1279,Nilsen 2006,2006,"Nilsen, Erlend B.; Linnell, John D. C.",Intra-specific variation and taxa-sampling affects the home range body mass relationship,Acta Theriologica,10.1007/bf03192674,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3182432945/Nilsen-2006-Intra-specific varia.pdf,29676
76.5,14,126,1,8,1,True,1776,Ventura-Antunes 2013,2013,"Ventura-Antunes, L.; Mota, B.; Herculano-Houzel, S.","Different scaling of white matter volume, cortical connectivity, and gyrification across rodent and primate brains",Front Neuroanat,10.3389/fnana.2013.00003,gyrification,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1994159651/Ventura-Antunes-2013-Different scaling of.pdf,59146
76.2,22,47,2,1,5,True,1625,Kruska 2005,2005,"Kruska, D. C.","On the evolutionary significance of encephalization in some eutherian mammals: effects of adaptive radiation, domestication, and feralization",Brain Behav Evol,10.1159/000082979,brain structure size domestication,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2864382147/kruska_2005.pdf,147833
76.0,26,4,1,1,5,True,7742,Heffner 2004,2004,"Heffner, R. S.",Primate hearing from a mammalian perspective,Anat Rec,10.1002/ar.a.20117,auditory visual evolution data refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3711102588/Heffner-2004-Primate hearing from.pdf,61394
75.0,23,14,0,7,1,True,8364,Preuss 2022,2022,"Preuss, T. M.; Wise, S. P.",Evolution of prefrontal cortex,Neuropsychopharmacology,10.1038/s41386-021-01076-5,evo M1 reading list,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3829176412/Preuss-2022-Evolution of prefrontal cortex.pdf,122048
74.0,2,1279,16,42,1,True,38,Valentin 2002,2002,"Valentin, J.",Basic anatomical and physiological data for use in radiological protection: reference values: ICRP Publication 89,Ann ICRP,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0352406219/valentin_2002_ICRP.pdf,586078
73.2,11,83,4,27,0,True,4875,Jacobs 2014,2014,"Jacobs, B.; Johnson, N. L.; Wahl, D.; +14","Comparative neuronal morphology of the cerebellar cortex in afrotherians, carnivores, cetartiodactyls, and primates",Front Neuroanat,10.3389/fnana.2014.00024,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1712268427/Jacobs-2014-Comparative neuronal morphology of.pdf,118410
71.2,18,53,3,1,1,True,2154,Dunbar 1998,1998,"Dunbar, R. I. M.; Bever, J.",Neocortex size predicts group size in carnivores and some insectivores,Ethology,10.1111/j.1439-0310.1998.tb00103.x,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2093882409/Dunbar-1998-Neocortex size predi.pdf,33722
70.5,16,52,4,13,3,True,2093,Slomianka 2013,2013,"Slomianka, L.; Drenth, T.; Cavegn, N.; +5","The hippocampus of the eastern rock sengi: cytoarchitecture, markers of neuronal function, principal cell numbers, and adult neurogenesis",Front Neuroanat,10.3389/fnana.2013.00034,Hippocampus regions,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1576184454/Slomianka-2013-The hippocampus of t.pdf,101366
70.5,18,24,7,0,0,True,228,Leonard 1992,1992,"Leonard, W. R.; Robertson, M. L.",Nutritional-Requirements and Human-Evolution - a Bioenergetics Model,Am J Hum Biol,10.1002/ajhb.1310040204,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2491428701/leonard_robertson_1992.pdf,65987
70.0,22,10,1,0,0,True,1522,Gittleman 1982,1982,"Gittleman, JohnL; Harvey, PaulH","Carnivore home-range size, metabolic needs and ecology",Behav Ecol Sociobiol,10.1007/BF00296396,home range; hippocampus,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2646913296/Gittleman-1982-Carnivore home-range.pdf,29613
69.8,17,61,0,7,0,True,2215,Stephan 1964,1964,"Stephan, H.; Andy, O. J.",Quantitative Comparisons of Brain Structures from Insectivores to Primates,Am Zool,"10.2307/388131410.1093/icb/4.1.59",brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2011882475/Stephan-1964-Quantitative Compari.pdf,36506
69.5,7,153,5,24,1,True,2372,West 1990,1990,"West, M. J.","Stereological studies of the hippocampus: a comparison of the hippocampal subdivisions of diverse species including hedgehogs, laboratory rodents, wild mice and men",Prog Brain Res,10.1016/S0079-6123(08)61238-8,Hippocampus regions,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0628175008/West-1990-Stereological studie.pdf,81753
67.5,12,116,2,1,1,True,2509,Healy 2013,2013,"Healy, K.; McNally, L.; Ruxton, G. D.; +2",Metabolic rate and body size are linked with perception of temporal information,Anim Behav,10.1016/j.anbehav.2013.06.018,sleep and AI etc,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1505193510/Healy-2013-Metabolic rate and b.pdf,71462
64.0,0,86,29,0,1,True,1587,Henry 2005,2005,"Henry, C. J.",Basal metabolic rate studies in humans: measurement and development of new equations,Public Health Nutr,10.1079/PHN2005801,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0707184679/henry_2005.pdf,91220
63.8,13,63,5,3,0,True,416,Changizi 2005,2005,"Changizi, M. A.; Shimojo, S.",Parcellation and area-area connectivity as a function of neocortex size,Brain Behav Evol,,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3490941562/changizi_shimojo_2005.pdf,46328
63.5,14,56,2,9,0,True,7352,Herculano-Houzel 2016,2016,"Herculano-Houzel, S.; Kaas, J. H.; de Oliveira-Souza, R.",Corticalization of motor control in humans is a consequence of brain scaling in primate evolution,J Comp Neurol,10.1002/cne.23792,traits evo M1; evo M1 reading list,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2047802363/Herculano-Houzel-2015-Corticalization of m.pdf,41499
62.5,7,102,3,23,0,True,2988,Eriksen 2007,2007,"Eriksen, N.; Pakkenberg, B.",Total neocortical cell number in the mysticete brain,Anat Rec (Hoboken),10.1002/ar.20404,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0639138263/Eriksen-2007-Total neocortical ce.pdf,45448
62.2,12,39,5,18,0,True,5879,P. D. Gingerich 1981,1981,P. D. Gingerich; R. D. Martin,Cranial morphology and adaptations in Eocene Adapinae. II. The Cambridge skulls of Adapis parisiensis,Am J Phys Anthropol,,Brain Size Measures,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1101331249/gingerich_martin_1981.pdf,69191
62.0,14,8,2,61,0,True,3242,Gilissen 2014,2014,"Gilissen, E. P.; Leroy, K.; Yilmaz, Z.; +8",A neuronal aging pattern unique to humans and common chimpanzees,Brain Struct Funct,10.1007/s00429-014-0931-5,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3265144703/Gilissen-2014-A neuronal aging pat.pdf,89107
62.0,7,70,7,32,2,True,5921,Hartwig-Scherer 1993,1993,"Hartwig-Scherer, S.","Body weight prediction in early fossil hominids: towards a taxon-""independent"" approach",Am J Phys Anthropol,10.1002/ajpa.1330920103,Brain Size Scaling,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2068668551/Hartwig-Scherer-1993-Body weight predicti.pdf,65508
61.2,18,7,1,12,2,True,636,Edelstein 2004,2004,"Edelstein, L. R.; Denaro, F. J.","The claustrum: a historical review of its anatomy, physiology, cytochemistry and functional significance",Cell Mol Biol (Noisy-le-grand),,claustrum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3194224870/Edelstein_Denaro_2004-The Claustrum - A Historical Review.pdf,176199
58.5,1,174,7,40,0,True,5561,Peters 1998,1998,"Peters, M.; Jancke, L.; Staiger, J. F.; +3",Unsolved problems in comparing brain sizes in Homo sapiens,Brain Cogn,10.1006/brcg.1998.0983,Brain Size Measures,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3522787129/Peters-1998-Unsolved Problems in.pdf,79009
58.2,5,81,6,62,1,True,709,Butti 2009,2009,"Butti, C.; Sherwood, C. C.; Hakeem, A. Y.; +2",Total number and volume of Von Economo neurons in the cerebral cortex of cetaceans,J Comp Neurol,10.1002/cne.22055,VENs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3169268460/Butti-2009-Total number and vol.pdf,68523
58.0,9,94,1,12,0,True,3091,Wang 2008,2008,"Wang, S. S.; Shultz, J. R.; Burish, M. J.; +5",Functional trade-offs in white matter axonal scaling,J Neurosci,10.1523/JNEUROSCI.5559-05.2008,brain structure metabolism data for comparing; metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2702421805/Wang-2008-Functional Trade-Off.pdf,60750
56.8,17,11,2,0,0,True,2298,Sawaguchi 1990,1990,"Sawaguchi, Toshiyuki; Kudo, Hiroko",Neocortical development and social structure in primates,Primates,10.1007/BF02380949,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0235601070/Sawaguchi-1990-Neocortical developm.pdf,21592
56.8,7,83,9,11,4,True,3040,Pirlot 1987,1987,"Pirlot, P.",Contemporary brain morphology in ecological and ethological perspectives,J Hirnforsch,,brain structure size data; Stephan Zilles collections,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3584530294/pirlot_1987.pdf,368560
56.5,8,60,6,17,0,True,1828,Leigh 2004,2004,"Leigh, S. R.","Brain growth, life history, and cognition in primate and human evolution",Am J Primatol,10.1002/ajp.20012,metabolic cost tissues,"/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0158535326/Leigh-2004-Brain growth, life h.pdf",71570
56.5,8,106,2,6,0,True,182,Mink 1981,1981,"Mink, J. W.; Blumenschine, R. J.; Adams, D. B.",Ratio of central nervous system to body metabolism in vertebrates: its constancy and functional basis,Am J Physiol,10.1152/ajpregu.1981.241.3.R203,brain structure metabolism data for comparing; metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2557028566/Mink-1981-Ratio of central nervous system to b.pdf,58542
55.8,5,103,8,6,0,True,5432,Uylings 1990,1990,"Uylings, H. B.; van Eden, C. G.","Qualitative and quantitative comparison of the prefrontal cortex in rat and in primates, including humans",Prog Brain Res,10.1016/S0079-6123(08)62675-8,prefrontal,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0264299454/Uylings-1990-Qualitative and quan.pdf,119180
54.5,12,66,0,4,0,True,5571,Riley 1928,1928,"Riley, Henry Alsop",The mammalian cerebellum: a comparative study of the arbor vitae and folial pattern,Arch Neurol Psychiat,10.1001/archneurpsyc.1928.02210170002001,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2402651811/Riley-1928-The mammalian cerebe.pdf,442208
53.2,10,49,3,13,0,True,2860,Smaers 2010,2010,"Smaers, J. B.; Schleicher, A.; Zilles, K.; +1",Frontal white matter volume is associated with brain enlargement and higher structural connectivity in anthropoid primates,PLoS One,10.1371/journal.pone.0009123,Stephan Zilles collections,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3618280169/smaers_etal_2010.pdf,39053
52.8,12,31,0,22,2,True,2888,Zilles 2011,2011,"Zilles, Karl; Amunts, Katrin; Smaers, Jeroen B.",Three brain collections for comparative neuroanatomy and neuroimaging,Ann N Y Acad Sci,10.1111/j.1749-6632.2011.05978.x,Stephan Zilles collections,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0266795366/Zilles-2011-Three brain collecti.pdf,48199
52.5,18,14,0,0,5,True,9615,Siegel 2022,2022,"Siegel, J. M.",Sleep function: an evolutionary perspective,Lancet Neurol,10.1016/S1474-4422(22)00210-1,sleep and AI etc,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0719885257/Siegel-2022-Sleep function_ an evolutionary pe.pdf,63044
52.5,1,116,7,20,0,True,6780,Köhler 2004,2004,"Köhler, M.; Moyà-Solà, S.",Reduction of brain and sense organs in the fossil insular bovid Myotragus,Brain Behav Evol,,brain structure size domestication,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0395071201/Köhler-2004-Reduction of brain a.pdf,67005
50.5,1,140,9,8,0,True,5735,Missler 1993,1993,"Missler, M.; Wolff, A.; Merker, H. J.; +1","Pre- and postnatal development of the primary visual cortex of the common marmoset. II. Formation, remodelling, and elimination of synapses as overlapping processes",J Comp Neurol,10.1002/cne.903330105,Visual Cortex,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0330588735/missler_etal_1993_II.pdf,76179
49.8,12,49,1,0,0,True,5811,Joffe 1997,1997,"Joffe, T. H.; Dunbar, R. I.",Visual and socio-cognitive information processing in primate brain evolution,Proc Biol Sci,,Visual Cortex,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2366408885/Joffe-1997-Visual and socio-cog.pdf,24345
49.5,3,141,7,2,1,True,6183,Aiello 1995,1995,"Aiello, L. C.; Wheeler, P.",The Expensive-Tissue Hypothesis - the Brain and the Digestive- System in Human and Primate Evolution,Curr Anthropol,10.1086/204350,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3276733659/aiello_wheeler_1995.pdf,121363
