"source_number","citation"
"39","Manske U, Schmidt, U (1976): Visual acuity of the vampire bat, Desmodus rotundus, and its dependence upon light intensity. Zeit Tierpsychol 42:215–221."
"40","Greenhall AM, Joermann G, Schmidt U, Seidel MR (1983): Desmodus rotundus. Mammalian Species 202:1–6."
"41","Bell GP, Fenton MB (1986): Visual acuity, sensitivity and binocularity in a gleaning insectivorous bat, Macrotus californicus (Chiroptera: Phyllostomidae). Anim Behav 34:409– 414."
"42","Koay G, Kearns D, Heffner HE, Heffner RS (1998): Passive sound-localization ability of the big brown bat (Eptesicus fuscus). Hear Res 119:37–48."
"43","Kurta A, Baker RH (1990): Eptesicus fuscus. Mammalian Species 356: 1–10."
"44","Bogdanowicz W (1994): Myotis daubentonii. Mammalian Species 475:1–9."
"45","Santos M, Aguirre LF, Vázquez LB, Ortega J (2003): Phyllostomus hastatus. Mammalian Species 722: 1–6."
"46","Müller B, Goodman SM, Peichl L (2007): Cone photoreceptor diversity in the retinas of fruit bats (Megachiroptera). Brain Behav Evol 70:90–104."
"47","MacKinnon JL, Hawkins CE, Racey PA (2003): Pteropididae; in Goodman SM, Benstead J (eds): In The Natural History of Madagascar. Chicago, University of Chicago Press, pp 1299–1302"
"48","Harman AM, Nelson JE, Crewther SG, Crewther DP (1986): Visual acuity of the northern native cat (Dasyurus hallucatus) - Behavioural and anatomical estimates. Behav Brain Res 22:211–216."
"49","Oakwood M (2002): Spatial and social organization of a carnivorous marsupial Dasyurus hallucatus (Marsupialia: Dasyuridae). J Zool 257:237–248."
"50","Arrese C, Archer M, Runham P, Dunlop SA, Beazley LD (2000): Visual system in a diurnal marsupial, the numbat (Myrmecobius fasciatus): retinal organization, visual acuity and visual fields. Brain Behav Evol 55:163–175."
"51","Cooper CE (2011): Myrmecobius fasciatus (Dasyuromorphia: Myrmecobiidae). Mammalian Species 43:129–140."
"52","Cooper CE, Withers PC (2004): Influence of season and weather on activity patterns of the numbat (Myrmecobius fasciatus) in captivity. Aust J Zool 52:475–485."
"53","Garland T, Geiser F, Baudinette RV: (1988) Comparative locomotor performance of marsupial and placental mammals. J Zool 215:505–522."
"54","Tancred E (1981): The distribution and sizes of ganglion cells in the retinas of five Australian marsupials. J Comp Neurol 196:585–603."
"55","Arrese C, Dunlop SA, Harman AM, Braekevelt CR, Ross WM, Shand J, Beazley LD (1999): Retinal structure and visual acuity in a polyprotodont marsupial, the fat-tailed dunnart (Sminthopsis crassicaudata). Brain Behav Evol 53:111–126."
"56","Silveira LC, Picanço-Diniz CW, Oswaldo-Cruz E (1982): Contrast sensitivity function and visual acuity of the opossum. Vision Res 22:1371–1377."
"57","Kolb H, Wang HH (1985): The distribution of photoreceptors, dopaminergic amacrine cells and ganglion cells in the retina of the north american opossum (Didelphis virginiana). Vision Res 25:1207–1221."
"58","Hemmi JM, Mark RF (1998): Visual acuity, contrast sensitivity and retinal magnification in a marsupial, the tammar wallaby (Macropus eugenii). J Comp Physiol A 183:379–387."
"59","Dunlop SA, Longley WA, Beazley LD (1987): Development of the area centralis and visual streak in the grey kangaroo Macropus fuliginosus. Vision Res 27:151–164."
"60","Schmid KL, Schmid LM, Wildsoet CF, Pettigrew JD (1992): Retinal topography in the koala (Phascolarctos cinereus). Brain Behav Evol 39:8–16."
"61","Hirst LW, Brown AS, Kempster R, Winney N (1992): Ophthalmologic examination of the normal eye of the koala. J Wildl Dis 28:419–423."
"62","Fleming PA, Harman AM, Beazley LD (1997): Changing topography of the RPE resulting from experimentally induced rapid eye growth. Vis Neurosci 14:449–461."
"63","Arrese C, Archer M, Beazley LD (2002): Visual capabilities in a crepuscular marsupial, the honey possum (Tarsipes rostratus): a visual approach to ecology. J Zool 256:151–158."
"64","Dunlop SA, Ross WM, Beazley LD (1994): The retinal ganglion cell layer and optic nerve in a marsupial, the honey possum (Tarsipes rostratus). Brain Behav Evol 44:307–323."
"65","Bradshaw SD, Bradshaw FJ (2002): Short-term movements and habitat use of the marsupial honey possum (Tarsipes rostratus). J Zool 258:343–348."
"66","Freeman B, Tancred E (1978): The number and distribution of ganglion cells in the retina of the brush-tailed possum, Trichosurus vulpecula. J Comp Neurol 177:557–567."
"67","Van Hof MW (1967): Visual acuity in the rabbit. Vision Res 7:749–751."
"68","Lombardi L, Fernández N, Moreno S, Villafuerte R (2003): Habitat-related differences in rabbit (Oryctolagus cuniculus) abundance, distribution, and activity. J Mammal 84:26–36."
"69","Garland T (1983): The relation between maximal running speed and body mass in terrestrial mammals. J Zool 199:157–170."
"70","Stone J (1983): Topographical organisation of the retina in a monotreme: Australian spiny anteater Tachyglossus aculeatus. Brain Behav Evol 22:175–184."
"71","Pettigrew JD, Manger PR (2008): Retinal ganglion cell density of the black rhinoceros (Diceros bicornis): calculating visual resolution. Vis Neurosci 25:215–220."
"72","Timney B, Keil K (1992): Visual acuity in the horse. Vision Res 32:2289–2293."
"73","Bennett D, Hoffmann RS (1999): Equus caballus. Mammalian Species 628:1–14."
"74","Franco ECS, Finlay BL, Silveira LCL, Yamada ES, Crowley JC (2000): Conservation of absolute foveal area in New World monkeys. Brain Behav Evol 56:276–286."
"75","Yamada ES, Silveira LCL, Perry VH, Franco ECS (2001): M and P retinal ganglion cells of the owl monkey: morphology, size and photoreceptor convergence. Vision Res 41:119–131."
"76","Jacobs GH (1977): Visual capacities of the owl monkey (Aotus trivirgatus)--II. Spatial contrast sensitivity. Vision Res 17:821–825."
"77","Troilo D, Howland HC, Judge SJ (1993): Visual optics and retinal cone topography in the common marmoset (Callithrix jacchus). Vision Res 33:1301–1310."
"78","Andrade da Costa BL, Hokoç JN (2000): Photoreceptor topography of the retina in the New World monkey Cebus apella. Vision Res 40:2395–2409."
"79","Perry VH, Cowey A (1985): The ganglion cell and cone distributions in the monkey’s retina: Implications for central magnification factors. Vision Res 25:1795–1810."
"80","Herbin M, Boire D, Ptito M (1997): Size and distribution of retinal ganglion cells in the St. Kitts green monkey (Cercopithecus aethiops sabeus). J Comp Neurol 383:459–472."
"81","Smith RJ, Jungers WL (1997): Body mass in comparative primatology. J Hum Evol 32:523– 559."
"82","De Valois RL, Morgan H, Snodderly DM (1974): Psychophysical studies of monkey vision. 3. Spatial luminance contrast sensitivity tests of macaque and human observers. Vision Res 14:75–81."
"83","Cowey A, Ellis CM (1967): Visual acuity of rhesus and squirrel monkeys. J Comp Physiol Psychol 64:80–84."
"84","Cavonius CR, Robbins DO (1973): Relationship between luminance and visual acuity in the rhesus monkey. J. Physiol (Lond.) 232:239–246."
"85","Spence KW (1934): Visual acuity and its relation to brightness in chimpanzee and man. J Comp Psychol 18:333–361."
"86","Veilleux CC, Kirk EC (2009): Visual acuity in the cathemeral strepsirrhine Eulemur macaco flavifrons. Am J Primatol 71:343–352."
"87","Gould L, Sauther M, Cameron A (2011): Lemuriformes; in Campbell CJ, Fuentes A, MacKinnon KC, Panger M, Bearder SK (eds): Primates in Perspective. Oxford, Oxford University Press, pp 55–79."
"88","Treff HA (1967) Tiefensehscharfe und sehscharfe beim galago (Galago senegalensis). Z. vergl Physiol 54:26–57."
"89","Larson CF, Dodson DL, Ward JP (1989): Hand preferences and Whole (Galago senegalensis). Brain Behav Evol 33:261–267."
"90","Neuringer M, Kosobud A, Cochrane G. (1981): Visual acuity of Lemur catta, a diurnal prosimian. Invest Ophthal Vis Sci 20:49."
"91","Dkhissi-Benyahya O, Szel A, Degrip WJ, Cooper HM (2001): Short and mid-wavelength cone distribution in a nocturnal Strepsirrhine primate (Microcebus murinus). J Comp Neurol 438:490–504."
"92","Langston A, Casagrande VA, Fox R (1986): Spatial resolution of the Galago. Vision Res 26:791–796."
"93","Nekaris KAI, Bearder SK (2011): Lorisiform primates of Asia and Africa; in Campbell CJ, Fuentes A, MacKinnon KC, Panger M, Bearder SK (eds): Primates in Perspective. Oxford, Oxford University Press, pp 34–54."
"94","Pettigrew JD, Bhagwandin A, Haagensen M, Manger PR (2010): Visual acuity and heterogeneities of retinal ganglion cell densities and the tapetum lucidum of the African elephant (Loxodonta africana). Brain Behav Evol 75:251–261."
"95","104 Silveira LCL, Picanço-Diniz CW, Oswaldo-Cruz E (1989): Distribution and size of ganglion cells in the retinae of large Amazon rodents. Visual Neurosci 2:221–235."
"96","Oswaldo-Cruz E, Picanço-Diniz CW, Silveira LCL (1985): Physiological optics of some Amazon rodents with contrasting life style. J Physiol (Lond) 267:18P."
"97","Herbin M, Repérant J, Cooper HM (1994): Visual system of the fossorial mole-lemmings, Ellobius talpinus and Ellobius lutescens. J Comp Neurol 346:253–275."
"98","Coşkun Y, Ulutürk S (2003): Observations on the mole vole, Ellobius lutescens Thomas 1897, (Mammalia: Rodentia) in Turkey. Turk J Zool 27:81–87."
"99","Heffner RS, Heffner HE (1993): Degenerate hearing and sound localization in naked mole rats (Heterocephalus glaber), with an overview of central auditory structures. J Comp Neurol 331:418–433."
"100","Hetling JR, Baig-Silva MS, Comer CM, Pardue MT, Samaan DY, Qtaishat NM, Pepperberg DR, Park TJ (2005): Features of visual function in the naked mole-rat Heterocephalus glaber. J Comp Physiol A 191:317–330."
"101","Rahmann VH, Esser M (1965): Bestimmung der Sehschärfe (Minimum separabile) sowie Dressurverhalten des skandinavischen Berglemmings (Lemmus lemmus L.). Z Saugetierkunde 30:47–53."
"102","Wilkinson F (1984): The development of visual acuity in the mongolian gerbil (Meriones unguiculatus). Behav Brain Res 13:83–94."
"103","Baker AG, Emerson VF (1983): Grating acuity of the Mongolian gerbil (Meriones unguiculatus). Behav Brain Res 8:195–209."
"104","Wilkinson F (1986): Eye and brain growth in the mongolian gerbil (Meriones unguiculatus). Behav Brain Res 19:59–69."
"105","Gulotta EF (1971): Meriones unguiculatus. Mammalian Species 3:1–5."
"106","Chappell MA, Garland T, Robertson GF, Saltzman W (2007): Relationships among running performance, aerobic physiology and organ mass in male Mongolian gerbils. J Exp Biol 210:4179–4197."
"107","Emerson VF (1980): Grating acuity of the golden hamster. The effects of stimulus orientation and luminance. Exp Brain Res 38:43–52."
"108","Lin H-J, Wan L, Chen W-C, Lin J-M, Lin C-J, Tsai F-J (2012): Muscarinic acetylcholine receptor 3 is dominant in myopia progression. Invest Ophthalmol Vis Sci 53:6519-6525."
"109","Prusky GT, West PW, Douglas RM (2000): Behavioral assessment of visual acuity in mice and rats. Vision Res 40:2201–2209.."
"110","Layne JN, Benton AH (1954): Some speeds of small mammals. J Mammal 35:103–104."
"111","Rahmann H, Rahmann M, King JA (1968): Comparative visual acuity (minimum separable) in five species and subspecies of deermice (Peromyscus). Physiol Zool 41:298–312."
"112","Drickamer LC (1970): Seed preferences in wild caught Peromyscus maniculatus bairdii and Peromyscus leucopus noveboracensis. J Mammal 51:191-194."
"113","Djawdan M, Garland T (1988): Maximal running speeds of bipedal and quadrupedal rodents. J Mammal 69:765-772."
"114","Seymoure P, Juraska JM (1997): Vernier and grating acuity in adult hooded rats: the influence of sex. Behav Neurosci 111:792–800."
"115","Jacobs GH, Birch DG, Blakeslee B (1982): Visual acuity and spatial contrast sensitivity in tree squirrels. Behav Proc 7:367–375."
"116","Koprowski JL (1994): Sciurus carolinensis. Mammalian Species 480:1–9."
"117","Koprowski JL (1994): Sciurus niger. Mammalian Species 479:1–9."
"118","Jacobs GH, Blakeslee B, McCourt ME, Tootell RBH (1980): Visual sensitivity of ground squirrels to spatial and temporal luminance variations. J Comp Physiol A 136:291–299."
"119","Petry HM, Fox R, Casagrande VA (1984): Spatial contrast sensitivity of the tree shrew. Vision Res 24:1037–1042."
"120","Kawamichi T, Kawamichi M (1981): Social organization of tree shrews; in Chiarelli AB, Corruccini RS (eds): Primate Behavior and Sociobiology. Berlin, Springer-Verlag, pp 1–17."
"121","Schäfer D (1969): Untersuchungen zur Sehphysiologie des Spitzhönchens Tupaia glis (Diard 1820). Z vergl Physiologie 63:204–226."
"122","Andrade-da-Costa BL, Pessoa VF, Bousfield JD, Clarke RJ (1989): Ganglion cell size and distribution in the retina of the two-toed sloth (Choloepus didactylus). Braz J Med Biol Res 22:233–236."
