Species,Variable,flag,detail
Indri indri,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Loris tardigradus,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Macaca maura,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Perodicticus potto,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Varecia variegata,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Alouatta caraya,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebus albifrons,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Colobus angolensis,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates lar,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Indri indri,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Loris tardigradus,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Macaca maura,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Perodicticus potto,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Varecia variegata,Dysgranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Dysgranular_insular_cortex_left_Vol.mm3 (only one side measured)
Alouatta caraya,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebus albifrons,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Colobus angolensis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates lar,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Indri indri,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Loris tardigradus,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Macaca maura,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Perodicticus potto,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Varecia variegata,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Alouatta caraya,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cebus albifrons,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Colobus angolensis,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Hylobates lar,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Indri indri,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Loris tardigradus,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Macaca maura,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Perodicticus potto,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Piliocolobus badius,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Pithecia pithecia,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Saguinus geoffroyi,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Saguinus oedipus,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Symphalangus syndactylus,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Trachypithecus francoisi,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Varecia variegata,Insula_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Insula_left_Vol.mm3 (only one side measured)
Sorex minutus,Complexus_vestibularis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Complexus_vestibularis_unilateral_Vol.mm3 (only one side measured)
Sorex minutus,Nucleus_vestibularis_descendens_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_descendens_unilateral_Vol.mm3 (only one side measured)
Sorex minutus,Nucleus_vestibularis_lateralis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_lateralis_unilateral_Vol.mm3 (only one side measured)
Sorex minutus,Nucleus_vestibularis_medialis_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_medialis_unilateral_Vol.mm3 (only one side measured)
Sorex minutus,Nucleus_vestibularis_superior_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Nucleus_vestibularis_superior_unilateral_Vol.mm3 (only one side measured)
Bassaricyon gabbii,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bassaricyon gabbii,Cerebellum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bassaricyon gabbii,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bassaricyon gabbii,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bassaricyon gabbii,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bassaricyon gabbii,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bassaricyon gabbii,Neocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bassaricyon gabbii,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bassaricyon gabbii,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bassaricyon gabbii,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bassaricyon gabbii,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bos indicus,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bos indicus,Cerebellum_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Ashwell; Reep) -- see laterality_known.csv"
Bos indicus,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bos indicus,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bos indicus,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bos indicus,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bos indicus,Neocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bos indicus,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bos indicus,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bos indicus,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Bos indicus,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Cerebellum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Neocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Callorhinus ursinus,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Cerebellum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Neocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Camelus dromedarius,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Canis latrans,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Canis latrans,Cerebellum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Canis latrans,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Canis latrans,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Canis latrans,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Canis latrans,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
