item,team,year,N_status,how_to_get_N,merged_tsv,cells_in_volumes_long,cells_where_averaging_happens,blocks_weighting,resolved_2026_08_19
Barger_etal_2007_TABLE1,Zilles,2007,C_derivable_from_specimen_rows,count rows per species on 'specimen' (12 specimen rows / 6 species),10.1002%2Fajpa.20684_TABLE1.tsv,36,5,,
Smaers_etal_2011_SupplementaryTable1,Zilles,2011,C_derivable_from_specimen_rows,count rows per species on 'catalogue_number' (26 specimen rows / 19 species),10.1159%2F000323671_SupplementaryTable1.tsv,38,0,,
Smaers_etal_2011_SupplementaryTable2,Zilles,2011,C_derivable_from_specimen_rows,count rows per species on 'catalogue_number' (26 specimen rows / 19 species),10.1159%2F000323671_SupplementaryTable2.tsv,114,0,,
Stephan_etal_1987_Table1,Stephan_collection,1987,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",PMID%3A3693895_Table1.tsv,422,4,YES,deprioritised
Zilles_Rehkämper_1988_Table12-2,Stephan_collection,1988,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",ISBN%3A9780195043716_Table12-2.tsv (audit resolver missed it; merge reads it),18,4,YES,deprioritised
Stephan_etal_1970_Table3,Stephan_collection,1970,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",ISBN%3A0390672505_TABLE3.tsv,16,2,YES,deprioritised
Stephan_etal_1970_Table2,Stephan_collection,1970,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",ISBN%3A0390672505_TABLE2.tsv,16,1,YES,deprioritised
Frahm_etal_1997_Table1,Stephan_collection,1997,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",PMID%3A9176733_Table1.tsv,21,1,YES,deprioritised
Stephan_etal_1970_Table1,Stephan_collection,1970,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",ISBN%3A0390672505_TABLE1.tsv,16,0,,deprioritised
Stephan_etal_1970_Table4,Stephan_collection,1970,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",ISBN%3A0390672505_TABLE4.tsv,34,0,,deprioritised
Stephan_etal_1970_Table5,Stephan_collection,1970,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",ISBN%3A0390672505_TABLE5.tsv,32,0,,deprioritised
Stephan_etal_1970_Table6,Stephan_collection,1970,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",ISBN%3A0390672505_TABLE6.tsv,33,0,,deprioritised
Frahm_Zilles_1994_Table1,Stephan_collection,1994,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",PMID%3A7983368_Table1.tsv,432,0,,deprioritised
Baron_etal_1987_Table1,Stephan_collection,1987,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",PMID%3A3116076_Table1.tsv,623,0,,deprioritised
Baron_etal_1988_Table1,Stephan_collection,1988,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",PMID%3A3216099_Table1.tsv,380,0,,deprioritised
Baron_etal_1990_Table1,Stephan_collection,1990,D_no_N_located,"Tier-1: resolved by recency not averaging, so N is documentation only. Inherit from the collection - see restricted ____Unpublished__Frahm_Stephan_individuals (96 specimen rows, names the animals; cannot reproduce published means)",PMID%3A2358663_Table1.tsv,78,0,,deprioritised
Kverkova_etal_2018_TableS1,Kverkova,2018,D_no_N_located,check paper PDF / methods text,10.1038%2Fs41598-018-26062-8_TableS1.tsv,176,0,,
Bush_Allman_2004_a_Table2,Bush,2004,E_resolved_from_specimen_workbook,"N=1 for 52 of 55 species; Aotus trivirgatus 2, Ateles sp. 2, Galago senegalensis 3 (published value = specimen mean). 200/200 cells reproduce the workbook at 2 dp",10.1073%2Fpnas.0305760101_Table2.tsv,220,87,,yes
Bush_Allman_2004_b_TABLE1,Bush,2004,E_resolved_from_specimen_workbook,"N=1 except Aotus trivirgatus 2, Ateles sp. 2, Galago senegalensis 3. 102/102 cells reproduce the workbook at 2 dp; contains NO Frahm 1984 data - no de-averaging needed",10.1002%2Far.a.20114_TABLE1.tsv,102,49,,yes
Bush_Allman_2003_Table1,Bush,2003,E_resolved_from_specimen_workbook,"N=1 except Aotus trivirgatus 2, Ateles sp. 2, Galago senegalensis 3; from Wisconsin specimen workbook (restricted). 3 s.f. printing; 11 cells differ from workbook, 2 materially (Papio -10%) -> prefer 2004a for Neocortex_*",10.1159%2F000068880_Table1.tsv,180,36,,yes
Ashwell__2020_SupplementaryTable,Ashwell,2020,C_derivable_from_specimen_rows,"DONE 2026-08-19: Ashwell__2020_SupplementaryTable.R rewritten to stop averaging at extraction. TSV is now 154 rows / 150 species with species_as_published, specimen_number, row_type, n_specimen_rows. N=3 for Ornithorhynchus anatinus and Tachyglossus aculeatus (count row_type=='specimen'); the other 148 are one printed row = N=1 as published, not stated. Ashwell's printed mean/SD rows moved to Ashwell__2020_published_mean_reconciliation.csv",10.1016%2Fj.zool.2020.125753_SupplementaryTable.tsv (154 rows),1348,97,,yes - source TSV rebuilt
