Species,Variable,Team,Source_skipped,Year_skipped,Value_skipped,flag,reason,evidence,Source_used,Year_used,outcome,more_recent
Homo sapiens,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,5439,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Hylobates lar,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,1176,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Lagothrix lagothricha,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,1226,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Lophocebus albigena,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,1411,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Miopithecus talapoin,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,709,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Pan troglodytes,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,4004,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Papio anubis,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,3740,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Piliocolobus badius,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,926,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Pithecia pithecia,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,451,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',NA,NA,dropped — no other source covers this cell,TRUE
Alouatta seniculus,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,12394,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Ateles geoffroyi,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,32933,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Cebus albifrons,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,21024,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Cercopithecus ascanius,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,16060,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Cercopithecus mitis,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,19385,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Gorilla sp.,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,125539,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Homo sapiens,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,271891,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Hylobates lar,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,28424,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Lagothrix lagothricha,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,24188,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Lophocebus albigena,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,29102,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Miopithecus talapoin,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,12218,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Pan troglodytes,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,112750,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Papio anubis,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,45240,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Piliocolobus badius,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,22629,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Pithecia pithecia,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,9242,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Pongo sp.,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,76924,derived_residual,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Alouatta seniculus,AssociationCortex_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,4212,derived_residual,other_association_white is the white-matter counterpart of the same derived residual (neocortex - frontal lobe - primary visual). Not a measurement; recompute from the primaries rather than importing it.,crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Ateles geoffroyi,AssociationCortex_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,10332,derived_residual,other_association_white is the white-matter counterpart of the same derived residual (neocortex - frontal lobe - primary visual). Not a measurement; recompute from the primaries rather than importing it.,crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Cebus albifrons,AssociationCortex_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,12053,derived_residual,other_association_white is the white-matter counterpart of the same derived residual (neocortex - frontal lobe - primary visual). Not a measurement; recompute from the primaries rather than importing it.,crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Cercopithecus ascanius,AssociationCortex_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,8297,derived_residual,other_association_white is the white-matter counterpart of the same derived residual (neocortex - frontal lobe - primary visual). Not a measurement; recompute from the primaries rather than importing it.,crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Cercopithecus mitis,AssociationCortex_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,9911,derived_residual,other_association_white is the white-matter counterpart of the same derived residual (neocortex - frontal lobe - primary visual). Not a measurement; recompute from the primaries rather than importing it.,crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Gorilla sp.,AssociationCortex_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,60386,derived_residual,other_association_white is the white-matter counterpart of the same derived residual (neocortex - frontal lobe - primary visual). Not a measurement; recompute from the primaries rather than importing it.,crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
Homo sapiens,AssociationCortex_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,258218,derived_residual,other_association_white is the white-matter counterpart of the same derived residual (neocortex - frontal lobe - primary visual). Not a measurement; recompute from the primaries rather than importing it.,crosspub_Smaers2017_FINDINGS.md,NA,NA,dropped — no other source covers this cell,TRUE
