Species,Variable,Team,Source,Year,Value,n_obs,status,flag,action,Source_used,Year_used,reason
Alouatta seniculus,Corpus_geniculatum_laterale_Vol.mm3,Selected_collection,Stephan_etal_1984_Table1,1984,87.4,1,USED,NA,use,Stephan_etal_1984_Table1,1984,NA
Alouatta seniculus,Corpus_geniculatum_laterale_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIX,1981,85.7,1,superseded (older),NA,use,Stephan_etal_1984_Table1,1984,NA
Alouatta seniculus,Corpus_pineal_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXVI,1981,0.254,1,USED,NA,use,Stephan_etal_1981_TableXVI,1981,NA
Alouatta seniculus,Corpus_subcommissurale_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXVI,1981,0.402,1,USED,NA,use,Stephan_etal_1981_TableXVI,1981,NA
Alouatta seniculus,Corpus_subfornicale_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXVI,1981,0.372,1,USED,NA,use,Stephan_etal_1981_TableXVI,1981,NA
Alouatta seniculus,Diencephalon_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,3344,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Alouatta seniculus,FrontalMotor_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,1077,1,USED,unverifiable,review,Smaers_etal_2017_TableS1part1,2017,"frontal_motor_gray is the only genuinely 2017-unique numeric column, so it is kept - but it is the POSTERIOR section-5 of 20 frontal sections and was never published anywhere else, so it cannot be checked against any public table. It is a biased anterior/posterior proxy, not the true premotor border. Treat as provisional."
Alouatta seniculus,FrontalMotor_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,866,1,USED,unverifiable,review,Smaers_etal_2017_TableS1part1,2017,"frontal_motor_white is the white-matter counterpart of the same unpublished posterior section-5 partition: 2017-unique, kept, but unverifiable against any public table and a proxy rather than a true premotor border."
Alouatta seniculus,Hippocampus_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,1320,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Alouatta seniculus,Interpositus_cerebellar_nuclei_Vol.mm3,Selected_collection,Matano_etal_1985_a_Table1,1985,26.57,1,USED,NA,use,Matano_etal_1985_a_Table1,1985,NA
Alouatta seniculus,Lateral_cerebellar_nuclei_Vol.mm3,Selected_collection,Matano_etal_1985_a_Table1,1985,59.75,1,USED,NA,use,Matano_etal_1985_a_Table1,1985,NA
Alouatta seniculus,Lobus_piriformis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,827,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Alouatta seniculus,Medial_cerebellar_nuclei_Vol.mm3,Selected_collection,Matano_etal_1985_a_Table1,1985,27.47,1,USED,NA,use,Matano_etal_1985_a_Table1,1985,NA
Alouatta seniculus,Medulla_oblongata_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,1593,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Alouatta seniculus,Mesencephalon_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,986,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Alouatta seniculus,Neocortex_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,31660,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
Alouatta seniculus,Neocortex_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,31660,1,superseded (older),NA,use,Frahm_etal_1982_Table2,1982,NA
Alouatta seniculus,Neocortex_grey_matter_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,21791,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
Alouatta seniculus,Neocortex_lamina_1_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,2918,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
Alouatta seniculus,Neocortex_laminae_2_6_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,18874,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
Alouatta seniculus,Neocortex_white_matter_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,9869,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
Alouatta seniculus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,30.7,1,USED,NA,use,Stephan_etal_1981_TableXI,1981,NA
Alouatta seniculus,Nucleus_habenularis_medialis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXVI,1981,3.3,1,USED,NA,use,Stephan_etal_1981_TableXVI,1981,NA
Alouatta seniculus,Nucleus_septalis_triangularis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXVI,1981,1.72,1,USED,NA,use,Stephan_etal_1981_TableXVI,1981,NA
Alouatta seniculus,Nucleus_tractus_olfactorius_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,0,1,USED,zero_sentinel,review,Stephan_etal_1981_TableXI,1981,"Stephan 1981 prints 0 for the nucleus tractus olfactorius in several catarrhines. Per the Stephan 1987 data dictionary a printed 0 means 'not determinable with certainty', not a true zero - volumes_compiled.R maps it to NA for the 1987 table but leaves the 1981 zeros standing, and so does this script (5 species end up with NTO = 0). Decide whether the 1981 zeros are sentinels too before using this variable; contrast Bulbus_olfactorius_accessorius, whose zeros in catarrhines are real absences."
Alouatta seniculus,Palaeocortex_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,488,1,USED,NA,use,Stephan_etal_1981_TableXI,1981,NA
Alouatta seniculus,PrefrontalCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,1015,1,skipped (flagged),secondary_compilation,skip,NA,NA,"Smaers 2017 prefrontal_gray is Smaers et al. 2011 Suppl. Table 2 republished (anterior section-5, summed L+R; human = mean of 8), 19/11 spp within 2%. Add Smaers_etal_2011_SupplementaryTable1 to the selection if you want prefrontal volumes; do not date this measurement 2017."
Alouatta seniculus,PrefrontalCortex_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,177,1,skipped (flagged),secondary_compilation,skip,NA,NA,"Smaers 2017 prefrontal_white is Smaers et al. 2011 Suppl. Table 2 republished, same as the grey-matter column. Use the 2011 raw table as the source if prefrontal volumes are wanted."
Alouatta seniculus,Schizo_cortex_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,510,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Alouatta seniculus,Septum_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,200,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Alouatta seniculus,Striatum_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,2829,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Alouatta seniculus,Telencephalon_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,37388,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Alouatta seniculus,Total_brain_net_volume_Vol.mm3,Selected_collection,MacLeod_etal_2003_Table2,2003,37400,1,USED,NA,use,MacLeod_etal_2003_Table2,2003,NA
Alouatta seniculus,Total_brain_net_volume_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,49009,1,superseded (older),NA,use,MacLeod_etal_2003_Table2,2003,NA
Alouatta seniculus,Ventral_pons_Vol.mm3,Selected_collection,Matano_etal_1985_b_Table1,1985,394.3,1,USED,NA,use,Matano_etal_1985_b_Table1,1985,NA
Alouatta seniculus,Ventricles_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,616,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Amygdala_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,201,1,USED,NA,use,Stephan_etal_1981_TableXI,1981,NA
Aotus trivirgatus,Area_striata_Vol.mm3,Selected_collection,Frahm_etal_1984_Table1,1984,1203,1,USED,NA,use,Frahm_etal_1984_Table1,1984,NA
Aotus trivirgatus,Area_striata_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIX,1981,1144,1,superseded (older),NA,use,Frahm_etal_1984_Table1,1984,NA
Aotus trivirgatus,Area_striata_grey_matter_Vol.mm3,Selected_collection,Frahm_etal_1984_Table1,1984,996,1,USED,NA,use,Frahm_etal_1984_Table1,1984,NA
Aotus trivirgatus,Area_striata_lamina_1_Vol.mm3,Selected_collection,Frahm_etal_1984_Table1,1984,113,1,USED,NA,use,Frahm_etal_1984_Table1,1984,NA
Aotus trivirgatus,Area_striata_laminae_2_6_Vol.mm3,Selected_collection,Frahm_etal_1984_Table1,1984,883,1,USED,NA,use,Frahm_etal_1984_Table1,1984,NA
Aotus trivirgatus,Area_striata_white_matter_Vol.mm3,Selected_collection,Frahm_etal_1984_Table1,1984,207,1,USED,NA,use,Frahm_etal_1984_Table1,1984,NA
Aotus trivirgatus,Body_Mass.g,Selected_collection,Stephan_etal_1988_TABLE1,1988,830,1,superseded (older),NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Body_Mass.g,Selected_collection,Matano_etal_1985_a_Table1,1985,830,1,superseded (older),NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Body_Mass.g,Selected_collection,Matano_etal_1985_b_Table1,1985,830,1,superseded (older),NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Body_Mass.g,Selected_collection,Stephan_etal_1981_TableIII,1981,830,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Brain_Mass.mg,Selected_collection,Stephan_etal_1988_TABLE1,1988,17100,1,superseded (older),NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Brain_Mass.mg,Selected_collection,Stephan_etal_1981_TableIII,1981,17100,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Bulbus_olfactorius_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,56,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Aotus trivirgatus,Bulbus_olfactorius_accessorius_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,0.222,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Aotus trivirgatus,CerebellarHemisphere_Vol.mm3,Selected_collection,MacLeod_etal_2003_Table2,2003,950,1,USED,NA,use,MacLeod_etal_2003_Table2,2003,NA
Aotus trivirgatus,CerebellarVermis_Vol.mm3,Selected_collection,MacLeod_etal_2003_Table2,2003,900,1,USED,NA,use,MacLeod_etal_2003_Table2,2003,NA
Aotus trivirgatus,Cerebellar_nuclei_total_Vol.mm3,Selected_collection,Matano_etal_1985_a_Table1,1985,41.45,1,USED,NA,use,Matano_etal_1985_a_Table1,1985,NA
Aotus trivirgatus,Cerebellum_Vol.mm3,Selected_collection,MacLeod_etal_2003_Table2,2003,1750,1,USED,NA,use,MacLeod_etal_2003_Table2,2003,NA
Aotus trivirgatus,Cerebellum_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,1873,1,superseded (older),NA,use,MacLeod_etal_2003_Table2,2003,NA
Aotus trivirgatus,Complexus_centromedialis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,54.5,1,USED,NA,use,Stephan_etal_1981_TableXI,1981,NA
Aotus trivirgatus,Complexus_corticobasolateralis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,147,1,USED,NA,use,Stephan_etal_1981_TableXI,1981,NA
Aotus trivirgatus,Corpus_geniculatum_laterale_Vol.mm3,Selected_collection,Stephan_etal_1984_Table1,1984,32.9,1,USED,NA,use,Stephan_etal_1984_Table1,1984,NA
Aotus trivirgatus,Corpus_geniculatum_laterale_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIX,1981,36,1,superseded (older),NA,use,Stephan_etal_1984_Table1,1984,NA
Aotus trivirgatus,Corpus_pineal_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXVI,1981,1.55,1,USED,NA,use,Stephan_etal_1981_TableXVI,1981,NA
Aotus trivirgatus,Corpus_subcommissurale_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXVI,1981,0.14,1,USED,NA,use,Stephan_etal_1981_TableXVI,1981,NA
Aotus trivirgatus,Corpus_subfornicale_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXVI,1981,0.162,1,USED,NA,use,Stephan_etal_1981_TableXVI,1981,NA
Aotus trivirgatus,Diencephalon_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,1098,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Hippocampus_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,539,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Aotus trivirgatus,Interpositus_cerebellar_nuclei_Vol.mm3,Selected_collection,Matano_etal_1985_a_Table1,1985,11.42,1,USED,NA,use,Matano_etal_1985_a_Table1,1985,NA
Aotus trivirgatus,Lateral_cerebellar_nuclei_Vol.mm3,Selected_collection,Matano_etal_1985_a_Table1,1985,17.02,1,USED,NA,use,Matano_etal_1985_a_Table1,1985,NA
Aotus trivirgatus,Lobus_piriformis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,394,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Aotus trivirgatus,Medial_cerebellar_nuclei_Vol.mm3,Selected_collection,Matano_etal_1985_a_Table1,1985,13.01,1,USED,NA,use,Matano_etal_1985_a_Table1,1985,NA
Aotus trivirgatus,Medulla_oblongata_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,686,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Mesencephalon_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,409,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Neocortex_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,9950,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
Aotus trivirgatus,Neocortex_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,9950,1,superseded (older),NA,use,Frahm_etal_1982_Table2,1982,NA
Aotus trivirgatus,Neocortex_grey_matter_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,7776,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
Aotus trivirgatus,Neocortex_lamina_1_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,1039,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
Aotus trivirgatus,Neocortex_laminae_2_6_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,6737,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
Aotus trivirgatus,Neocortex_white_matter_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,2174,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
Aotus trivirgatus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,15.7,1,USED,NA,use,Stephan_etal_1981_TableXI,1981,NA
Aotus trivirgatus,Nucleus_habenularis_medialis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXVI,1981,3.21,1,USED,NA,use,Stephan_etal_1981_TableXVI,1981,NA
Aotus trivirgatus,Nucleus_septalis_triangularis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXVI,1981,0.964,1,USED,NA,use,Stephan_etal_1981_TableXVI,1981,NA
Aotus trivirgatus,Nucleus_tractus_olfactorius_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,0.201,1,USED,zero_sentinel,review,Stephan_etal_1981_TableXI,1981,"Stephan 1981 prints 0 for the nucleus tractus olfactorius in several catarrhines. Per the Stephan 1987 data dictionary a printed 0 means 'not determinable with certainty', not a true zero - volumes_compiled.R maps it to NA for the 1987 table but leaves the 1981 zeros standing, and so does this script (5 species end up with NTO = 0). Decide whether the 1981 zeros are sentinels too before using this variable; contrast Bulbus_olfactorius_accessorius, whose zeros in catarrhines are real absences."
Aotus trivirgatus,Palaeocortex_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,203,1,USED,NA,use,Stephan_etal_1981_TableXI,1981,NA
Aotus trivirgatus,Schizo_cortex_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,243,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Aotus trivirgatus,Septum_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,83.8,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Aotus trivirgatus,Striatum_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,862,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Aotus trivirgatus,Telencephalon_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,12128,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,Selected_collection,MacLeod_etal_2003_Table2,2003,19125,1,USED,NA,use,MacLeod_etal_2003_Table2,2003,NA
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,16195,1,superseded (older),NA,use,MacLeod_etal_2003_Table2,2003,NA
Aotus trivirgatus,Ventral_pons_Vol.mm3,Selected_collection,Matano_etal_1985_b_Table1,1985,112.1,1,USED,NA,use,Matano_etal_1985_b_Table1,1985,NA
Aotus trivirgatus,Ventricles_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,105,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Atelerix algirus,Body_Mass.g,Selected_collection,Stephan_etal_1981_TableI,1981,790,1,USED,NA,use,Stephan_etal_1981_TableI,1981,NA
Atelerix algirus,Brain_Mass.mg,Selected_collection,Stephan_etal_1981_TableI,1981,3200,1,USED,NA,use,Stephan_etal_1981_TableI,1981,NA
Atelerix algirus,Bulbus_olfactorius_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIV,1981,285,1,USED,NA,use,Stephan_etal_1981_TableIV,1981,NA
Atelerix algirus,Bulbus_olfactorius_accessorius_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIV,1981,1.93,1,USED,NA,use,Stephan_etal_1981_TableIV,1981,NA
Atelerix algirus,Cerebellum_Vol.mm3,Selected_collection,Stephan_etal_1981_TableI,1981,358,1,USED,NA,use,Stephan_etal_1981_TableI,1981,NA
Atelerix algirus,Corpus_geniculatum_laterale_Vol.mm3,Selected_collection,Stephan_etal_1984_Table1,1984,5.02,1,USED,NA,use,Stephan_etal_1984_Table1,1984,NA
Atelerix algirus,Corpus_pineal_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXIV,1981,0.297,1,USED,NA,use,Stephan_etal_1981_TableXIV,1981,NA
Atelerix algirus,Corpus_subcommissurale_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXIV,1981,0.0222,1,USED,NA,use,Stephan_etal_1981_TableXIV,1981,NA
Atelerix algirus,Corpus_subfornicale_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXIV,1981,0.0621,1,USED,NA,use,Stephan_etal_1981_TableXIV,1981,NA
Atelerix algirus,Diencephalon_Vol.mm3,Selected_collection,Stephan_etal_1981_TableI,1981,246,1,USED,NA,use,Stephan_etal_1981_TableI,1981,NA
Atelerix algirus,Hippocampus_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIV,1981,227,1,USED,NA,use,Stephan_etal_1981_TableIV,1981,NA
Atelerix algirus,Lobus_piriformis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIV,1981,459,1,USED,NA,use,Stephan_etal_1981_TableIV,1981,NA
Atelerix algirus,Medulla_oblongata_Vol.mm3,Selected_collection,Stephan_etal_1981_TableI,1981,336,1,USED,NA,use,Stephan_etal_1981_TableI,1981,NA
Atelerix algirus,Mesencephalon_Vol.mm3,Selected_collection,Stephan_etal_1981_TableI,1981,153,1,USED,NA,use,Stephan_etal_1981_TableI,1981,NA
Atelerix algirus,Neocortex_Vol.mm3,Selected_collection,Frahm_etal_1982_Table2,1982,500.3,1,USED,NA,use,Frahm_etal_1982_Table2,1982,NA
