Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note,actual_source,actual_source_citation,actual_source_repo_folder,actual_source_evidence
Age_at_first_breeding_days,Age at first breeding days,"Mapped to S2's 'Age at first birth': age at which females give birth to their first litter (eutherians), or their young attach to teats (metatherians) or hatch out (monotremes); non-captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: days.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,"Column name differs from S2's printed label ('Age at first birth'); mapping inferred by unit (days) and by elimination against 'Age at first breeding (females)' (months), not asserted by S2 itself.",Table S2 (pbio.1002000.s014.xlsx),,,,
Female_sexual_maturity_days,Female sexual maturity days,"Age when females are first physically capable of reproducing, defined as either physically sexually mature, age at first mating or unspecified, age at first oestrus, or age at first pregnancy; captive, wild, provisioned, or unspecified populations; all measures of central tendency; all localities. Unit per S2: days.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Male_sexual_maturity_days,Male sexual maturity days,"Age when [sic, S2 prints 'females'] are first physically capable of reproducing, defined as either physically sexually mature, age at first mating or unspecified, age at first spermatogenesis, or age at testes descent; captive, wild, provisioned, or unspecified populations; all measures of central tendency; all localities. Unit per S2: days.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,S2's own prose for 'Male sexual maturity' says 'age when FEMALES are first physically capable...' — an apparent copy-paste artifact from the female-sexual-maturity entry in the source. Transcribed verbatim per house convention (never silently corrected); the spermatogenesis/testes-descent clause makes clear the intended subject is males.,Table S2 (pbio.1002000.s014.xlsx),,,,
Gestation_days,Gestation days,"Length of time of non-inactive fetal growth; captive, wild, provisioned, or unspecified populations; all measures of central tendency; all localities. Measured between specified start point (conception, fertilization, first observed copulation, implantation, laying, palpably pregnant, removal of pouch young, capture [except marsupials], or unspecified) and end point (birth, hatching, or unspecified). Unit per S2: days.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Litter_size,Litter size,"Number of offspring born per litter per female, counted before, at, or after birth; captive, wild, provisioned or unspecified populations; male, female or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: No. of offspring.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Litters_per_year,Litters per year,"Number of litters per female per year; non-captive, wild, provisioned or unspecified populations; male, female or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: No. of litters.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Inter-litter_interval_days,Inter-litter interval days,"Length of time between successive births of the same female(s) after a successful or unspecified litter; non-captive, wild, provisioned, or unspecified populations; all measures of central tendency; all localities. Unit per S2: days.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Weaning_period_days,Weaning period days,"Age when primary nutritional dependency on the mother ends and independent foraging begins to make a major contribution to the offspring's energy requirements; measured as weaning/lactation length, nutritionally independent, first solid food, last observed nursing, age at first flight (bats only), age at pouch exit, or length of teat attachment (marsupials only), or unspecified definition; captive, wild, provisioned, or unspecified populations; all measures of central tendency; all localities. Unit per S2: days.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Weight_at_birth_g,Weight at birth g,"Mass of live or freshly-killed specimens of infants at near-term embryonic stage, birth, immediately after birth, or up to 7 days after birth; captive, wild, provisioned, or unspecified populations; male, female or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: g.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Weight_at_weaning_g,Weight at weaning g,"Mass of live or freshly-killed specimens of weanlings; captive, wild, provisioned or unspecified populations; male, female or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: g.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Juvenility_primates_years,Juvenility primates years,Juvenility – primates: the interval between infancy (physical dependence of the infant on the mother) and the onset of puberty. Unit per S2: years.,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Juvenility_days,Juvenility days,Juvenility: the length of time between the weaning age and the age of first reproduction; calculated as the difference between the categories 'Age at first birth' and 'Weaning age'. Unit per S2: days.,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Max_home_range_ha,Max home range ha,"Size of the area within which everyday activities of individuals or groups (of any type) are typically restricted, estimated by direct observation, radio telemetry, trapping, or unspecified methods, over any duration of time; non-captive populations; male, female or sex unspecified individuals; all measures of central tendency; all localities.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,UNIT MISMATCH: S2 states the unit as km2; this column is headed '_ha' (hectares). Not silently converted/corrected here — check which unit the analysis CSV values actually carry before using.,Table S2 (pbio.1002000.s014.xlsx),,,,
% Fruit and seeds,% Fruit and seeds,The percent of fruit and seeds typically in a species' diet. Unit per S2: %.,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Activity_timing,Activity timing,"Activity cycle of each species measured for non-captive populations; adult or age unspecified individuals, male, female, or sex unspecified individuals; all measures of central tendency; all localities.",,,info,Mammals,Lewitus_etal_2014_TableS1,"States per S2: (1) nocturnal only; (2) nocturnal/crepuscular, cathemeral, crepuscular or diurnal/crepuscular; (3) diurnal only.",Table S2 (pbio.1002000.s014.xlsx),,,,
Diet_breadth,Diet breadth,"Number of dietary categories eaten by each species, measured using any qualitative or quantitative dietary measure, over any period of time, using any assessment method; non-captive or non-provisioned populations; adult or age unspecified individuals, male, female, or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: No. of diet categories.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,Categories per S2: (1) vertebrate; (2) invertebrate; (3) fruit; (4) flowers/nectar/pollen; (5) leaves/branches/bark; (6) seeds; (7) grass; (8) roots/tubers.,Table S2 (pbio.1002000.s014.xlsx),,,,
Trophic_level,Trophic level,"Trophic level of each species measured using any qualitative or quantitative dietary measure, over any period of time, using any assessment method; non-captive or non-provisioned populations; adult or age unspecified individuals; male, female or sex unspecified individuals; all measures of central tendency; all localities.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,States per S2: (1) herbivore; (2) omnivore; (3) carnivore.,Table S2 (pbio.1002000.s014.xlsx),,,,
Population_group_size,Population group size,"Number of individuals, adults or definition unspecified, in a group that spends the majority of their time in a 24-hour cycle together; measured over any duration of time; non-captive populations; male, female or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: No. of individuals.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Social_group_size,Social group size,"Number of individuals, adults, or definition unspecified, in a group that spends the majority of their time in a 24-hour cycle together where there is some indication these individuals form a socially cohesive unit; measured over any duration of time; non-captive populations; male, female or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: No. of individuals.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Adult_head_body_length_mm,Adult head body length mm,"Total length from tip of nose to anus or base of tail of adult (or age unspecified) live, freshly-killed, or museum specimens; captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: mm.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Age_at_eye_opening_days,Age at eye opening days,"Age at which both eyes are fully open after birth; captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: days.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Altricial_precocial,Altricial precocial,"Category describing the developmental stage of a neonate, based on whether the eyes are open or closed after birth; NA for monotremes and metatherians.",,,info,Mammals,Lewitus_etal_2014_TableS1,States per S2: (1) altricial; (2) precocial.,Table S2 (pbio.1002000.s014.xlsx),,,,
Basal_metabolic_rate,"Basal metabolic rate (journal header typo ""Basal_metaboic_rate"" corrected)","Basal metabolic rate of adult (or age unspecified) individual(s); captive, wild, provisioned, or unspecified populations; all measures of central tendency; all localities. Measured when individual(s) were experiencing neither heat nor cold stress, resting and calm, and post-absorptive (not digesting or absorbing a meal). Unit per S2: mL(O2)/h.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Dispersal_age_days,Dispersal age days,"Age at which young permanently leave the parent, parental group, social group, or any associated territories; non-captive, wild, non-provisioned, or unspecified populations; male, female or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: days.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Habitat_breadth,Habitat breadth,"Number of habitat layers used by each species, measured using any qualitative or quantitative time measure; non-captive populations; adult or age unspecified individuals, male, female or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: No. of habitat layers.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,Layers per S2: (1) above-ground dwelling; (2) aquatic; (3) fossorial; (4) ground dwelling.,Table S2 (pbio.1002000.s014.xlsx),,,,
Social_system,Social system,Social system classified following Smuts et al. 1987.,,,info,Mammals,Lewitus_etal_2014_TableS1,States per S2: (1) solitary; (2) monogamous; (3) multi-male; (4) harem.,Table S2 (pbio.1002000.s014.xlsx),,,,
Glia_neuron_ratio,Glia:neuron ratio,Ratio of glia to neuron cells in adult visual cortex.,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Neuronal_density,"Neuronal density in neocortex (journal header typo ""Neuronal_denisty"" corrected)","Neuronal density, adult visual cortex. Unit per S2: cells per mm3.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Glial_cell_density,"Glial cell density (journal header typo ""Glial_cell_denisty"" corrected)","Glial cell density, adult visual cortex. Unit per S2: cells per mm3.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Neurogenic_period_days,Neurogenic period days,Calculated as the period between the onset of neurogenesis in the subplate and the end of neurogenesis in layers II/III. Unit per S2: days.,value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Phylo_rank,Phylo rank,,,,info,Mammals,Lewitus_etal_2014_TableS1,"Not a Table S2 variable; appears to be a rank/index field added during compilation, not defined by the source paper.",Table S2 (pbio.1002000.s014.xlsx) — absent,,,,
Method:typo_fix,"Corrected 3 journal header typos in the analysis output (denisty->density, metaboic->metabolic); snapshot keeps the printed spelling",,,,method,Mammals,Lewitus_etal_2014_TableS1,see README,,,,,
