source_publication,item_reference,code,species_as_printed,n,canonical_specimen,decision,rationale
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3249,Indri indri,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3251,Daubentonia madagasc.,1,STEPHAN-DAUBMADA-3251,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-DAUBMADA-3251.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3253,Loris tardigradus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3255,Nycticebus coucang,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3259,Perodicticus potto,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3265,Galago senegalensis,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3267,Otolemur crassicaudatus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3275,Galagoides demidoff,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3282,Tarsius spp.,4,,pooled_accession_excluded,n=4 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3287,Callithrix jacchus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3289,Cebuella pygmaea,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3305,Saguinus midas,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3311,Saguinus oedipus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3317,Cebus albifrons,1,BAUERNFEIND-CEBUS-3317,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen BAUERNFEIND-CEBUS-3317. Only a lettered Tier-Nr. variant exists in the crosswalk for this code; match recorded as 'probable'.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3325,Aotus trivirgatus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3327,Callicebus moloch,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3335,Saimiri sciureus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3341,Pithecia monachus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3363,Alouatta seniculus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3371,Ateles geoffroyi,1,STEPHAN-ATELGEOF-3371,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-ATELGEOF-3371.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3379,Lagothrix lagothricha,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3391,Macaca mulatta,2,,pooled_accession_excluded,"n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen. (Applies to Matano_etal_1985_a only; Baron_etal_1983 and Stephan et al. 1984/1988 report n=1 for the same Art. Nr., a cross-source accession-size conflict flagged here.)"
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3407,Cercocebus albigena,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3415,Papio anubis,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3433,Cercopithecus ascanius,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3453,Cercopithecus mitis,1,STEPHAN-CERCMITI-3453,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-CERCMITI-3453.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3469,Miopithecus talapoin,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3473,Erythrocebus patas,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3477,Colobus badius,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3493,Pygathrix nemaeus,1,STEPHAN-PYGANEMA-3493,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-PYGANEMA-3493.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3499,Nasalis larvatus,1,STEPHAN-NASALARV-3499,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-NASALARV-3499.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3539,Hylobates lar,1,HIRN-UNKNOWN-3539,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen HIRN-UNKNOWN-3539.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3549,Pan troglodytes,1,HIRN-PANTRO-3549,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen HIRN-PANTRO-3549.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3551,Gorilla gorilla,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_a,Matano_etal_1985_a_Table1,3553,Homo sapiens,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,577,Tenrec ecaudatus,1,STEPHAN-TENRECAU-577,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-TENRECAU-577.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,585,Echinops telfairi,1,STEPHAN-ECHITELF-585,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-ECHITELF-585.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,1263,Tupaia glis,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,1289,Urogale everetti,1,STEPHAN-UROGEVER-1289,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-UROGEVER-1289.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3199,Microcebus murinus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3203,Cheirogaleus major,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3205,Cheirogaleus medius,1,STEPHAN-CHEIMEDI-3205,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-CHEIMEDI-3205.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3215,Lemur fulvus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3227,Varecia variegata,1,STEPHAN-VAREVARI-3227,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-VAREVARI-3227.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3239,Lepilemur ruficaudatus,1,STEPHAN-LEPIRUFI-3239,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-LEPIRUFI-3239.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3243,Avahi laniger laniger,1,STEPHAN-AVAHLANI-3243,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-AVAHLANI-3243.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3244,Avahi l. occidentalis,1,BAUERNFEIND-AVAHI-3244,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen BAUERNFEIND-AVAHI-3244. Only a lettered Tier-Nr. variant exists in the crosswalk for this code; match recorded as 'probable'.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3247,Propithecus verreauxi,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3249,Indri indri,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3251,Daubentonia madagasc.,1,STEPHAN-DAUBMADA-3251,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-DAUBMADA-3251.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3253,Loris tardigradus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3255,Nycticebus coucang,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3259,Perodicticus potto,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3265,Galago senegalensis,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3267,Otolemur crassicaudatus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3275,Galagoides demidoff,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3282,Tarsius spp.,4,,pooled_accession_excluded,n=4 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3287,Callithrix jacchus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3289,Cebuella pygmaea,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3305,Saguinus midas,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3311,Saguinus oedipus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3317,Cebus albifrons,1,BAUERNFEIND-CEBUS-3317,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen BAUERNFEIND-CEBUS-3317. Only a lettered Tier-Nr. variant exists in the crosswalk for this code; match recorded as 'probable'.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3325,Aotus trivirgatus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3327,Callicebus moloch,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3335,Saimiri sciureus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3341,Pithecia monachus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3363,Alouatta seniculus,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3371,Ateles geoffroyi,1,STEPHAN-ATELGEOF-3371,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-ATELGEOF-3371.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3379,Lagothrix lagothricha,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3391,Macaca mulatta,2,,pooled_accession_excluded,"n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen. (Applies to Matano_etal_1985_a only; Baron_etal_1983 and Stephan et al. 1984/1988 report n=1 for the same Art. Nr., a cross-source accession-size conflict flagged here.)"
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3407,Cercocebus albigena,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3415,Papio anubis,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3433,Cercopithecus ascanius,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3453,Cercopithecus mitis,1,STEPHAN-CERCMITI-3453,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-CERCMITI-3453.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3469,Miopithecus talapoin,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3473,Erythrocebus patas,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3477,Colobus badius,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3493,Pygathrix nemaeus,1,STEPHAN-PYGANEMA-3493,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-PYGANEMA-3493.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3499,Nasalis larvatus,1,STEPHAN-NASALARV-3499,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen STEPHAN-NASALARV-3499.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3539,Hylobates lar,1,HIRN-UNKNOWN-3539,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen HIRN-UNKNOWN-3539.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3549,Pan troglodytes,1,HIRN-PANTRO-3549,registered_individual,n=1 at this Art. Nr. accession -> single-animal accession; appended to canonical_specimen HIRN-PANTRO-3549.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3551,Gorilla gorilla,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
Matano_etal_1985_b,Matano_etal_1985_b_Table1,3553,Homo sapiens,2,,pooled_accession_excluded,n=2 at this Art. Nr. accession -> pooled/multi-animal; not registered as an individual specimen.
