canonical_specimen,record_type,specimen_kind,access_class,evidence_source_ids,specimen_name,primary_identifier,alternate_identifiers,collection,source_publication,item_reference,printed_name,published_taxon,resolved_taxon,taxon_concept,taxon_conflict,match,sex,note
La Chapelle-aux-Saints 1,specimen,fossil_specimen,public,PUB_KOCHIYAMA_2018,La Chapelle-aux-Saints 1,La Chapelle-aux-Saints 1,,"fossil hominin (La Chapelle-aux-Saints, France)",Kochiyama_etal_2018,Kochiyama_etal_2018_FossilSpecimensText,Neanderthal,Homo neanderthalensis,Homo neanderthalensis,Homo neanderthalensis,FALSE,matched,,"Neanderthal. Date ~47-56 ka (mean 51.5 ka). Kochiyama cerebrum 1159 cc, cerebellum 140 cc. Also in Weaver A-15 (group 12-LAH)."
La Chapelle-aux-Saints 1,specimen,fossil_specimen,public,PUB_WEAVER_2001,La Chapelle-aux-Saints 1,La Chapelle-aux-Saints 1,,"fossil hominin (La Chapelle-aux-Saints, France)",Weaver__2001,Weaver__2001_TableA-15,Neanderthal (Late Archaic Homo),Homo neanderthalensis,Homo neanderthalensis,Homo neanderthalensis,FALSE,matched,,Weaver group 12-LAH ('La Chapelle I'). Cerebellum 119.01 cc from virtual endocast; brain mass 1516.76 g.
La Ferrassie 1,specimen,fossil_specimen,public,PUB_KOCHIYAMA_2018,La Ferrassie 1,La Ferrassie 1,,"fossil hominin (La Ferrassie, France)",Kochiyama_etal_2018,Kochiyama_etal_2018_FossilSpecimensText,Neanderthal,Homo neanderthalensis,Homo neanderthalensis,Homo neanderthalensis,FALSE,matched,,"Neanderthal. Date ~43-45 ka (mean 44 ka). Kochiyama cerebrum 1268 cc, cerebellum 166 cc. Also in Weaver A-15 (group 12-LAH)."
La Ferrassie 1,specimen,fossil_specimen,public,PUB_WEAVER_2001,La Ferrassie 1,La Ferrassie 1,,"fossil hominin (La Ferrassie, France)",Weaver__2001,Weaver__2001_TableA-15,Neanderthal (Late Archaic Homo),Homo neanderthalensis,Homo neanderthalensis,Homo neanderthalensis,FALSE,matched,,Weaver group 12-LAH ('La Ferrassie I'). Cerebellum 118.33 cc from virtual endocast; brain mass 1575.83 g.
Gibraltar 1 (Forbes' Quarry 1),specimen,fossil_specimen,public,PUB_KOCHIYAMA_2018,Gibraltar 1 (Forbes' Quarry 1),Gibraltar 1,Forbes' Quarry 1,"fossil hominin (Forbes' Quarry, Gibraltar)",Kochiyama_etal_2018,Kochiyama_etal_2018_FossilSpecimensText,Neanderthal,Homo neanderthalensis,Homo neanderthalensis,Homo neanderthalensis,FALSE,matched,,"Neanderthal. No dating information in Kochiyama. Kochiyama cerebrum 912 cc, cerebellum 106 cc (printed 'Forbes' Quarry 1'). Also in Weaver A-15 (group 12-LAH)."
Gibraltar 1 (Forbes' Quarry 1),specimen,fossil_specimen,public,PUB_WEAVER_2001,Gibraltar 1 (Forbes' Quarry 1),Gibraltar 1,Forbes' Quarry 1,"fossil hominin (Forbes' Quarry, Gibraltar)",Weaver__2001,Weaver__2001_TableA-15,Neanderthal (Late Archaic Homo),Homo neanderthalensis,Homo neanderthalensis,Homo neanderthalensis,FALSE,matched,,Weaver group 12-LAH ('Gibraltar/Forbes Quarry'). Cerebellum 81.71 cc from virtual endocast; brain mass 1185.58 g.
PONGO-YN85-38,specimen,historical_biological_specimen,public,PUB_SMAERS_2011;PUB_MACLEOD_2000,,YN85-38,YN85-38; Smaers catalogue 'yn85 38',Zilles/Semendeferi (ex Yerkes; Kanting),Smaers_etal_2011,Smaers_etal_2011_SupplementaryTable1,Pongo pygmaeus (yn85 38),Pongo pygmaeus,Pongo abelii,Pongo pygmaeus (s.l.),TRUE,matched,M,"This is the Pongo specimen that enters volumes_compiled_select.R as FrontalCortex_grey_matter under the lumped label 'Pongo sp.'. The printed YN85-38 identifier links it to MacLeod 2000 using public sources; brain mass and total-brain volume are also consistent. n=1, so this is a specimen measurement, not a pooled s.l. mean, and it is reassignable to Pongo abelii under the consumer contract."
PONGO-YN85-38,specimen,historical_biological_specimen,public,PUB_SMAERS_2017;PUB_SMAERS_2011;PUB_MACLEOD_2000,,YN85-38,YN85-38; via Smaers 2011 Suppl. Table 2 sec5,Zilles/Semendeferi (ex Yerkes; Kanting),Smaers_etal_2017,Smaers_etal_2017_TableS1part1,Pongo_pygmaeus,Pongo pygmaeus,Pongo abelii,Pongo pygmaeus (s.l.),TRUE,matched,M,"Smaers 2017 carries the same animal forward: its Pongo prefrontal_gray 8.596 cm3 = Smaers 2011 Suppl. Table 2 sec5_grey_total 8.60 for 'yn85 38'. So the FrontalMotor_grey/white value already in volumes_wide_select.csv under 'Pongo sp.' is also this Sumatran (P. abelii) individual, not a Bornean or pooled orangutan."
UW-WELKER-63-307,specimen,historical_biological_specimen,public,WEB_BRAINMUSEUM,,63-307,,Welker / University of Wisconsin comparative collection (NMHM/AFIP),Brainmuseum.org,brainmuseum_chimpanzee_page,Pan troglodytes,Pan troglodytes,Pan troglodytes,,FALSE,Brainmuseum-only,,"Public Brainmuseum chimpanzee atlas prints accession 63-307. Bush workbook and Reader sheet independently print 63-397. Treat as a separate provisional canonical specimen (or unresolved accession typo), never a silent alias."
ZILLES-HOMO-14686,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,hs14,14686,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Homo sapiens hs14,Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,M,"Dissertation Table 5.1 code hs14; public de Sousa 2010 Table 1 supplies archive label '14686'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HOMO-1696,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,hs16,1696,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Homo sapiens hs16,Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,M,"Dissertation Table 5.1 code hs16; public de Sousa 2010 Table 1 supplies archive label '1696'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HOMO-18992,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,hs18,18992,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Homo sapiens hs18,Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,M,"Dissertation Table 5.1 code hs18; public de Sousa 2010 Table 1 supplies archive label '18992'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HOMO-20784,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,hs20,20784,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Homo sapiens hs20,Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,M,"Dissertation Table 5.1 code hs20; public de Sousa 2010 Table 1 supplies archive label '20784'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HOMO-28193,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,hs28,28193,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Homo sapiens hs28,Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,M,"Dissertation Table 5.1 code hs28; public de Sousa 2010 Table 1 supplies archive label '28193'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HOMO-295,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,hs29,295,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Homo sapiens hs29,Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,F,"Dissertation Table 5.1 code hs29; public de Sousa 2010 Table 1 supplies archive label '295'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HOMO-SN382-81,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,,hs38,SN382/81,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Homo sapiens hs38,Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,F,"Dissertation Table 5.1 code hs38; public de Sousa 2010 Table 1 supplies archive label 'SN382/81'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HOMO-54491,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,hs5,54491,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Homo sapiens hs5,Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,F,"Dissertation Table 5.1 code hs5; public de Sousa 2010 Table 1 supplies archive label '54491'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HOMO-5694,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,hs56,5694,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Homo sapiens hs56,Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,F,"Dissertation Table 5.1 code hs56; public de Sousa 2010 Table 1 supplies archive label '5694'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HOMO-6895,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,hs6,6895,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Homo sapiens hs6,Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,F,"Dissertation Table 5.1 code hs6; public de Sousa 2010 Table 1 supplies archive label '6895'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-PAN-1548,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,,ptd,1548,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pan troglodytes ptd,Pan troglodytes,Pan troglodytes,,FALSE,matched,,"Dissertation Table 5.1 code ptd; public de Sousa 2010 Table 1 supplies archive label '1548'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-PAN-WPZ-486,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,Bathsheba,ptb,Bathsheba 4/97,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pan troglodytes ptb,Pan troglodytes,Pan troglodytes,,FALSE,matched,F,"Dissertation Table 5.1 code ptb; public de Sousa 2010 Table 1 supplies archive label 'Bathsheba 4/97'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-PAN-PAN1,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,Schimp,pt1,Schimp 1,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pan troglodytes pt1,Pan troglodytes,Pan troglodytes,,FALSE,matched,F,"Dissertation Table 5.1 code pt1; public de Sousa 2010 Table 1 supplies archive label 'Schimp 1'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-PAN-YN89-278,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,,pty,YN89-278,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pan troglodytes pty,Pan troglodytes,Pan troglodytes,,FALSE,matched,M,"Dissertation Table 5.1 code pty; public de Sousa 2010 Table 1 supplies archive label 'YN89-278'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
YAKOVLEV-PAN-3.1.1.0.1,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,ptc1,3.1.1.0.1,Yakovlev-Haleem,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pan troglodytes ptc1,Pan troglodytes,Pan troglodytes,,FALSE,matched,F,"Dissertation Table 5.1 code ptc1; public de Sousa 2010 Table 1 supplies archive label '3.1.1.0.1'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
YAKOVLEV-PAN-3.1.1.0.3,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,ptc3,3.1.1.0.3,Yakovlev-Haleem,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pan troglodytes ptc3,Pan troglodytes,Pan troglodytes,,FALSE,matched,M,"Dissertation Table 5.1 code ptc3; public de Sousa 2010 Table 1 supplies archive label '3.1.1.0.3'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
WELKER-PAN-56-49,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,ptw1,56_49,Welker,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pan troglodytes ptw1,Pan troglodytes,Pan troglodytes,,FALSE,matched,,"Dissertation Table 5.1 code ptw1; public de Sousa 2010 Table 1 supplies archive label '56_49'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-PANPAN-YN86-137,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,,ppy,YN86-137,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pan paniscus ppy,Pan paniscus,Pan paniscus,,FALSE,matched,F,"Dissertation Table 5.1 code ppy; public de Sousa 2010 Table 1 supplies archive label 'YN86-137'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-PANPAN-ZAHLIA,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,Zahlia,ppz,Zahlia 1/97,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pan paniscus ppz,Pan paniscus,Pan paniscus,,FALSE,matched,F,"Dissertation Table 5.1 code ppz; public de Sousa 2010 Table 1 supplies archive label 'Zahlia 1/97'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
GWU-PANPAN-MCZ-2007-52,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,ppm,MCZ-2007-52,GWU,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pan paniscus ppm,Pan paniscus,Pan paniscus,,FALSE,matched,F,"Dissertation Table 5.1 code ppm; public de Sousa 2010 Table 1 supplies archive label 'MCZ-2007-52'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-GORILLA-YN82-140,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,,ggy,YN82-140,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Gorilla gorilla ggy,Gorilla gorilla,Gorilla gorilla,,FALSE,matched,F,"Dissertation Table 5.1 code ggy; public de Sousa 2010 Table 1 supplies archive label 'YN82-140'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
STEPHAN-GORILLA-A375,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,,gga,A375,Stephan,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Gorilla gorilla gga,Gorilla gorilla,,Gorilla sp. (indet.),TRUE,matched,M,"Dissertation Table 5.1 code gga; public de Sousa 2010 Table 1 supplies archive label 'A375'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
PONGO-HARRY,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,Harry,ouh,Harry 2/97,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pongo pygmaeus ouh,Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,matched,M,"Dissertation Table 5.1 code ouh; public de Sousa 2010 Table 1 supplies archive label 'Harry 2/97'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
PONGO-YN85-38,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,,ouy,YN85-38,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pongo pygmaeus ouy,Pongo pygmaeus,Pongo abelii,Pongo pygmaeus (s.l.),TRUE,matched,M,"Dissertation Table 5.1 code ouy; public de Sousa 2010 Table 1 supplies archive label 'YN85-38'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
PONGO-BRIGGS,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,Briggs,oub,Briggs 5/97,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Pongo pygmaeus oub,Pongo pygmaeus,,Pongo pygmaeus (s.l.),FALSE,matched,M,"Dissertation Table 5.1 code oub; public de Sousa 2010 Table 1 supplies archive label 'Briggs 5/97'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HYLOBATES-YN81-146,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,,hly,YN81-146,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Hylobates lar hly,Hylobates lar,Hylobates lar,,FALSE,matched,F,"Dissertation Table 5.1 code hly; public de Sousa 2010 Table 1 supplies archive label 'YN81-146'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HYLOBATES-GPZ-5542,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010;PUB_MACLEOD_2000,Disco,hld,Disco 3/97,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Hylobates lar hld,Hylobates lar,,,TRUE,matched,F,"Dissertation Table 5.1 code hld; public de Sousa 2010 Table 1 supplies archive label 'Disco 3/97'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
GWU-SYMPHALANGUS-880804,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,ss1,880804,GWU,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Symphalagus syndactylus ss1,Symphalangus syndactylus,Symphalangus syndactylus,,FALSE,matched,M,"Dissertation Table 5.1 code ss1; public de Sousa 2010 Table 1 supplies archive label '880804'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-MACACA-MA22,specimen,historical_biological_specimen,public,PUB_DESOUSA_DISSERTATION_2008;PUB_DESOUSA_2010,,mf2,ma22,Zilles,deSousa_dissertation_2008,deSousa_dissertation_2008_Table5.1,Macaca fascicularis mf2,Macaca fascicularis,Macaca fascicularis,,FALSE,matched,M,"Dissertation Table 5.1 code mf2; public de Sousa 2010 Table 1 supplies archive label 'ma22'. V1/LGN are de Sousa measurements; neocortex, where present, was supplied by Carol MacLeod."
ZILLES-HOMO-14686,specimen,historical_biological_specimen,public,PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008,,14686,hs14,Zilles,deSousa_etal_2010,deSousa_etal_2010_Table1,Homo sapiens (14686),Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,M,Public Table 1 archive label; same specimen as dissertation code hs14. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod.
ZILLES-HOMO-1696,specimen,historical_biological_specimen,public,PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008,,1696,hs16,Zilles,deSousa_etal_2010,deSousa_etal_2010_Table1,Homo sapiens (1696),Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,M,Public Table 1 archive label; same specimen as dissertation code hs16. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod.
ZILLES-HOMO-18992,specimen,historical_biological_specimen,public,PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008,,18992,hs18,Zilles,deSousa_etal_2010,deSousa_etal_2010_Table1,Homo sapiens (18992),Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,M,Public Table 1 archive label; same specimen as dissertation code hs18. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod.
ZILLES-HOMO-20784,specimen,historical_biological_specimen,public,PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008,,20784,hs20,Zilles,deSousa_etal_2010,deSousa_etal_2010_Table1,Homo sapiens (20784),Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,M,Public Table 1 archive label; same specimen as dissertation code hs20. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod.
ZILLES-HOMO-28193,specimen,historical_biological_specimen,public,PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008,,28193,hs28,Zilles,deSousa_etal_2010,deSousa_etal_2010_Table1,Homo sapiens (28193),Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,M,Public Table 1 archive label; same specimen as dissertation code hs28. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod.
ZILLES-HOMO-295,specimen,historical_biological_specimen,public,PUB_DESOUSA_2010;PUB_DESOUSA_DISSERTATION_2008,,295,hs29,Zilles,deSousa_etal_2010,deSousa_etal_2010_Table1,Homo sapiens (295),Homo sapiens,Homo sapiens,Homo sapiens (living/extant),FALSE,matched,F,Public Table 1 archive label; same specimen as dissertation code hs29. Preserve measure-level provenance: V1/LGN de Sousa; neocortex where present MacLeod.
