stephan_art_nr,in_1984_table,in_1988_table,n_at_accession,printed_species_1984,printed_species_1988,accepted_taxon,classification,canonical_specimen,source_tables,treatment
1269,True,True,2,Tupaia minor,Tupaia minor,Tupaia minor,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
1289,True,True,1,Urogale everetti,Urogale everetti,Urogale everetti,specimen,STEPHAN-UROGEVER-1289,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3199,True,True,5,Microcebus murinus,Microcebus murinus,Microcebus murinus,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=5 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3203,True,True,2,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3205,True,True,2,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3215,True,False,2,Lemur albifrons,,Eulemur fulvus,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3216,False,True,unknown,,Lemur fulvus,Eulemur fulvus,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1988_Table1,"NOT registered as individual -- accession appears only in Stephan et al. 1988 Table 1, which carries no n column; n is undocumented for this accession and is not conservatively assumed to be 1"
3227,True,True,1,Varecia variegata,Varecia variegata,Varecia variegata,specimen,STEPHAN-VAREVARI-3227,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3239,True,True,3,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=3 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3243,True,True,1,Avahi l. laniger,Avahi laniger laniger,Avahi laniger,specimen,STEPHAN-AVAHLANI-3243,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3244,True,True,2,Avahi l. occidentalis,Avahi l. occidentalis,Avahi occidentalis,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3247,True,True,2,Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3249,True,True,2,Indri indri,Indri indri,Indri indri,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3251,True,True,1,Daubentonia madagascar.,Daubentonia madagascariensis,Daubentonia madagascariensis,specimen,STEPHAN-DAUBMADA-3251,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3253,True,True,1,Loris tardigradus,Loris tardigradus,Loris tardigradus,specimen,STEPHAN-LORITARD-3253,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3255,True,True,1,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,specimen,STEPHAN-NYCTCOUC-3255,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3259,True,True,2,Perodicticus potto,Perodicticus potto,Perodicticus potto,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3265,True,True,1,Galago senegalensis,Galago senegalensis,Galago senegalensis,specimen,STEPHAN-GALASENE-3265,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3267,True,True,1,Otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,specimen,STEPHAN-OTOLCRAS-3267,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3275,True,True,2,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3282,True,True,2,Tarsius spp.,Tarsius spp.,Tarsius sp.,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3287,True,True,2,Callithrix jacchus,Callithrix jacchus,Callithrix jacchus,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3289,False,True,unknown,,Cebuella pygmaea,Cebuella pygmaea,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1988_Table1,"NOT registered as individual -- accession appears only in Stephan et al. 1988 Table 1, which carries no n column; n is undocumented for this accession and is not conservatively assumed to be 1"
3305,False,True,unknown,,Saguinus midas,Saguinus midas,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1988_Table1,"NOT registered as individual -- accession appears only in Stephan et al. 1988 Table 1, which carries no n column; n is undocumented for this accession and is not conservatively assumed to be 1"
3311,True,True,1,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,specimen,STEPHAN-SAGUOEDI-3311,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3315,False,True,unknown,,Callimico goeldii,Callimico goeldii,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1988_Table1,"NOT registered as individual -- accession appears only in Stephan et al. 1988 Table 1, which carries no n column; n is undocumented for this accession and is not conservatively assumed to be 1"
3317,False,True,unknown,,Cebus albifrons,Cebus albifrons,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1988_Table1,"NOT registered as individual -- accession appears only in Stephan et al. 1988 Table 1, which carries no n column; n is undocumented for this accession and is not conservatively assumed to be 1"
3324,True,False,2,Cebus spp.,,Cebus albifrons,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3325,True,True,2,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3327,True,True,1,Callicebus moloch,Callicebus moloch,Callicebus moloch,specimen,STEPHAN-CALLMOLO-3327,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3335,True,True,1,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,specimen,STEPHAN-SAIMSCIU-3335,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3341,True,True,1,Pithecia monachus,Pithecia monachus,Pithecia monachus,specimen,STEPHAN-PITHMONA-3341,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3363,False,True,unknown,,Alouatta seniculus,Alouatta seniculus,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1988_Table1,"NOT registered as individual -- accession appears only in Stephan et al. 1988 Table 1, which carries no n column; n is undocumented for this accession and is not conservatively assumed to be 1"
3366,True,False,1,Alouatta spp.,,Alouatta seniculus,specimen,STEPHAN-ALOUSENI-3366,Stephan_etal_1984_Table1,registered as individual specimen (new canonical_specimen minted)
3371,True,True,1,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,specimen,STEPHAN-ATELGEOF-3371,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3379,True,True,1,Lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,specimen,STEPHAN-LAGOLAGO-3379,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3391,True,True,1,Macaca mulatta,Macaca mulatta,Macaca mulatta,specimen,STEPHAN-MACAMULA-3391,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3407,True,True,1,Cercocebus albigena,Cercocebus albigena,Lophocebus albigena,specimen,STEPHAN-LOPHALBI-3407,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3415,True,True,1,Papio anubis,Papio anubis,Papio anubis,specimen,STEPHAN-PAPIANUB-3415,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3433,True,True,1,Cercopithecus ascanius,Cercopithecus ascanius,Cercopithecus ascanius,specimen,STEPHAN-CERCASCA-3433,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3453,True,True,1,Cercopithecus mitis,Cercopithecus mitis,Cercopithecus mitis,specimen,STEPHAN-CERCMITI-3453,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3469,True,True,1,Miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,specimen,STEPHAN-MIOPTALA-3469,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3473,False,True,unknown,,Erythrocebus patas,Erythrocebus patas,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1988_Table1,"NOT registered as individual -- accession appears only in Stephan et al. 1988 Table 1, which carries no n column; n is undocumented for this accession and is not conservatively assumed to be 1"
3477,True,True,2,Colobus badius,Colobus badius,Piliocolobus badius,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,NOT registered as individual -- Art. Nr. accession pools n=2 animals per Stephan et al. 1984 Table 1; no Tier Nr. breakdown available in either source table to resolve to one physical animal (never pick an animal)
3493,False,True,unknown,,Pygathrix nemaeus,Pygathrix nemaeus,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1988_Table1,"NOT registered as individual -- accession appears only in Stephan et al. 1988 Table 1, which carries no n column; n is undocumented for this accession and is not conservatively assumed to be 1"
3499,False,True,unknown,,Nasalis larvatus,Nasalis larvatus,specimen (unresolved to individual),NOT_REGISTERED,Stephan_etal_1988_Table1,"NOT registered as individual -- accession appears only in Stephan et al. 1988 Table 1, which carries no n column; n is undocumented for this accession and is not conservatively assumed to be 1"
3539,True,True,1,Hylobates lar,Hylobates lar,Hylobates lar,specimen,HIRN-UNKNOWN-3539,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (corroborates existing canonical_specimen)
3549,True,True,1,Pan troglodytes,Pan troglodytes,Pan troglodytes,specimen,HIRN-PANTRO-3549,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (corroborates existing canonical_specimen)
3551,True,True,1,Gorilla gorilla,Gorilla gorilla,Gorilla sp.,specimen,STEPHAN-GORISP-3551,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
3553,True,True,1,Homo sapiens,Homo sapiens,Homo sapiens,specimen,STEPHAN-HOMOSAPI-3553,Stephan_etal_1984_Table1;Stephan_etal_1988_Table1,registered as individual specimen (new canonical_specimen minted)
