species_row	Species_Baron1996	nucleus_dorsalis_motorius_nervi_vagi_mm3	nucleus_nervi_hypoglossi_mm3	nucleus_reticularis_lateralis_mm3	complexus_olivaris_inferior_mm3	nucleus_prepositus_hypoglossi_mm3	source_pdf_page
67	Pteronotus parnelli	0.107	0.267	0.344	0.884	0.233	88
68	Mormoops megalophylla	0.077	0.174	0.302	0.881	0.274	88
69	Micronycteris megalotis	0.065	0.116	0.262	0.68	0.235	88
70	Micronycteris brachyotis	0.086	0.182	0.351	0.756	0.245	88
71	Macrophyllum macrophyllum	0.073	0.145	0.377	0.674	0.296	88
72	Tonatia bidens	0.153	0.357	0.524	1.252	0.532	88
73	Mimon crenulatum	0.068	0.203	0.214	0.728	0.236	88
74	Phyllostomus discolor	0.216	0.607	0.818	1.389	0.474	88
75	Phyllostomus hastatus	0.262	0.793	1.09	2.133	0.751	88
76	Phylloderma stenops	0.191	0.473	0.932	1.394	0.546	88
77	Trachops cirrhosus	0.197	0.431	0.704	1.778	1.002	88
78	Vampyrum spectrum	0.611	0.841	1.948	3.052	1.331	88
79	Glossophaga soricina	0.075	0.222	0.291	0.62	0.274	88
80	Leptonycteris curasoae	0.11	0.428	0.369	1.077	0.34	88
81	Lionycteris spurrelli	0.077	0.211	0.251	0.588	0.245	88
82	Anoura geoffroyi	0.1	0.324	0.344	0.897	0.337	88
83	Carollia perspicillata	0.096	0.286	0.394	0.9	0.356	88
84	Rhinophylla pumilio	0.075	0.188	0.232	0.45	0.239	88
85	Sturnira lilium	0.084	0.345	0.314	0.766	0.309	88
86	Uroderma bilobatum	0.112	0.378	0.355	0.867	0.365	88
87	Vampyrops vittatus	0.159	0.546	0.599	1.821	0.565	88
88	Chiroderma villosum	0.138	0.42	0.595	1.118	0.489	88
89	Artibeus cinereus	0.086	0.203	0.36	0.669	0.283	88
90	Artibeus lituratus	0.217	0.534	0.765	1.668	0.548	88
91	Brachyphylla cavernarum	0.203	0.558	0.827	1.668	0.482	88
92	Desmodus rotundus	0.159	0.542	0.646	1.394	0.423	89
93	Diphylla ecaudata	0.122	0.443	0.497	1.225	0.395	89
94	Natalus tumidirostris	0.058	0.182	0.153	0.458	0.207	89
95	Furipterus horrens	0.035	0.086	0.161	0.27	0.133	89
96	Myotis albescens	0.049	0.096	0.132	0.337	0.124	89
97	Myotis annectans	0.081	0.164	0.197	0.401	0.145	89
98	Myotis dasycneme	0.118	0.241	0.274	0.957	0.26	89
99	Myotis myotis	0.125	0.289	0.353	0.974	0.384	89
100	Myotis siligorensis	0.033	0.074	0.095	0.249	0.107	89
101	Pipistrellus ceylonicus	0.05	0.135	0.208	0.335	0.161	89
102	Pipistrellus crassulus	0.048	0.086	0.128	0.26	0.14	89
103	Pipistrellus javanicus	0.04	0.088	0.113	0.233	0.132	89
104	Pipistrellus mimus	0.025	0.063	0.115	0.23	0.105	89
105	Scotozous dormeri	0.054	0.111	0.192	0.327	0.185	89
106	Nyctalus noctula	0.153	0.298	0.458	0.899	0.396	89
107	Glischropus tylopus	0.035	0.079	0.094	0.228	0.126	89
108	Eptesicus brasiliensis	0.062	0.141	0.158	0.399	0.229	89
109	Eptesicus br. melanopterus	0.068	0.139	0.202	0.42	0.237	89
110	Eptesicus flavescens	0.088	0.172	0.255	0.498	0.247	89
111	Eptesicus pumilus	0.038	0.09	0.103	0.279	0.145	89
112	Eptesicus serotinus andersoni	0.105	0.23	0.274	0.597	0.305	89
113	Ia io	0.222	0.4	0.575	1.584	0.564	89
114	Tylonycteris pachypus	0.033	0.097	0.083	0.168	0.103	89
115	Tylonycteris robustula	0.043	0.104	0.113	0.257	0.136	89
116	Hesperoptenus blanfordi	0.051	0.103	0.185	0.447	0.138	89
117	Glauconycteris humeralis	0.059	0.121	0.138	0.38	0.179	89
118	Chalinolobus gouldi	0.069	0.142	0.224	0.54	0.274	89
119	Scotorepens sanborni	0.045	0.106	0.144	0.307	0.173	89
120	Rhogeessa parvula	0.027	0.081	0.111	0.194	0.068	89
121	Scotomanes ornatus	0.121	0.302	0.52	0.787	0.376	89
122	Scotomanes sp.?	0.079	0.204	0.387	0.576	0.297	89
123	Scotophilus dinganii	0.133	0.263	0.492	0.674	0.358	89
124	Scotophilus heathi	0.185	0.357	0.658	0.791	0.422	89
125	Lasiurus borealis	0.049	0.146	0.169	0.395	0.181	89
126	Miniopterus australis	0.066	0.127	0.218	0.389	0.195	89
127	Miniopterus magnater	0.113	0.194	0.31	0.689	0.266	89
128	Miniopterus medius	0.078	0.157	0.295	0.597	0.27	89
129	Miniopterus tristis	0.119	0.238	0.352	0.671	0.311	89
130	Murina cyclotis cyclotis	0.07	0.143	0.163	0.483	0.283	90
131	Murina c. peninsularis	0.075	0.15	0.155	0.559	0.273	90
132	Murina huttoni rubella	0.082	0.172	0.211	0.57	0.244	90
133	Murina tubinaris	0.075	0.145	0.178	0.441	0.229	90
134	Harpiocephalus harpia	0.074	0.226	0.21	0.712	0.29	90
135	Kerivoula papillosa	0.045	0.163	0.188	0.517	0.319	90
136	Kerivoula pellucida	0.022	0.075	0.164	0.337	0.207	90
137	Kerivoula phalaena	0.023	0.088	0.117	0.281	0.183	90
138	Phoniscus atrox	0.024	0.105	0.116	0.308	0.185	90
139	Nyctophilus geoffroyi	0.035	0.097	0.107	0.344	0.138	90
140	Nyctophilus timoriensis	0.041	0.123	0.155	0.499	0.236	90
141	Tadarida condylura	0.152	0.178	0.5	0.716	0.246	90
142	Tadarida beccarii	0.066	0.128	0.244	0.451	0.161	90
143	Tadarida jobensis	0.12	0.169	0.374	0.604	0.247	90
144	Tadarida pumila	0.061	0.129	0.333	0.526	0.191	90
145	Otomops martiensseni	0.198	0.373	0.73	1.586	0.402	90
146	Molossops abrasus	0.148	0.207	0.539	0.783	0.398	90
147	Molossops planirostris	0.049	0.108	0.2	0.383	0.158	90
148	Molossus ater	0.131	0.211	0.544	1.068	0.398	90
149	Molossus molossus	0.066	0.148	0.373	0.585	0.231	90
150	Cheiromeles torquatus	0.243	0.538	1.318	1.658	0.776	90
