"Animal_Nudo1995"	"animal_common_Nudo1995"	"gs_initials_Nudo1995"	"Order_Nudo1995"	"Order_resolved"	"species_sci"	"CS_profiles_contralateral"	"CS_profiles_ipsilateral"	"CS_profiles_bracket_printed"	"CS_profiles_used"	"hemisphere_used"	"soma_diameter.um"	"correction_term"	"CS_somata_total"	"CS_somata_A"	"CS_somata_pct_A"	"CS_somata_B"	"CS_somata_pct_B"	"CS_somata_C"	"CS_somata_pct_C"	"CS_somata_Cprime"	"CS_somata_pct_Cprime"	"CS_somata_other"	"CS_somata_pct_other"	"method"	"parse_flags"
"Least shrew/C.p./Insectivora"	"Least shrew"	"C.p."	"Insectivora"	"Insectivora"	"Cryptotis parva"	474	NA	""	474	"contralateral"	12.08	0.892	423	348	82.3	75	17.7	0	0	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Marmoset/C.j./Primates"	"Marmoset"	"C.j."	"Primates"	"Primates"	"Callithrix jacchus"	31540	NA	""	31540	"contralateral"	21.06	0.826	26052	23890	91.7	1693	6.5	469	1.8	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Mole/S.a./Insectivora"	"Mole"	"S.a."	"Insectivora"	"Insectivora"	"Scalopus aquaticus"	5900	14210	"()"	14210	"ipsilateral"	11.01	0.901	12803	9730	76	3073	24	0	0	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Monkey/C.a./Primates"	"Monkey"	"C.a."	"Primates"	"Primates"	"Chlorocebus aethiops"	75310	NA	""	75310	"contralateral"	27.14	0.787	59269	55179	93.1	2252	3.8	1600	2.7	0	0	237	0.4	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	"regions sum to 59268 but corrected #CSN is 59269"
"Monkey/M.f./Primates"	"Monkey"	"M.f."	"Primates"	"Primates"	"Macaca fascicularis"	46260	NA	""	46260	"contralateral"	31.01	0.763	35296	32331	91.6	1588	4.5	1377	3.9	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Monkey/M.m./Primates"	"Monkey"	"M.m."	"Primates"	"Primates"	"Macaca mulatta"	113230	NA	""	113230	"contralateral"	34.5	0.743	84130	82447	98	1094	1.3	589	0.7	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Monkey/S.s./Primates"	"Monkey"	"S.s."	"Primates"	"Primates"	"Saimiri sciureus"	50080	NA	""	50080	"contralateral"	23.4	0.81	40565	36792	90.7	2272	5.6	1420	3.5	0	0	81	0.2	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Opossum/D.v./Marsupialia"	"Opossum"	"D.v."	"Marsupialia"	"Marsupialia"	"Didelphis virginiana"	10095	NA	""	10095	"contralateral"	17.03	0.854	8621	8207	95.2	379	4.4	0	0	0	0	35	0.4	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Opossum/M.d./Marsupialia"	"Opossum"	"M.d."	"Marsupialia"	"Marsupialia"	"Monodelphis domestica"	550	NA	""	550	"contralateral"	12.31	0.89	490	397	81.1	93	18.9	0	0	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	"%A printed 81.1 but 397/490 = 81.0; %B printed 18.9 but 93/490 = 19.0"
"Rabbit/O.c./Lagamorpha"	"Rabbit"	"O.c."	"Lagamorpha"	"Lagomorpha"	"Oryctolagus cuniculus"	6780	NA	""	6780	"contralateral"	22.7	0.815	5526	4227	76.5	663	12	0	0	636	11.5	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	"order printed 'Lagamorpha' - typographic error for 'Lagomorpha'"
"Raccoon/P.l./Carnivora"	"Raccoon"	"P.l."	"Carnivora"	"Carnivora"	"Procyon lotor"	127670	NA	""	127670	"contralateral"	22.22	0.818	104434	101928	97.6	2402	2.3	0	0	0	0	104	0.1	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Slow loris/N.c./Primates"	"Slow loris"	"N.c."	"Primates"	"Primates"	"Nycticebus coucang"	26360	NA	""	26360	"contralateral"	23.14	0.812	21404	20013	93.5	1049	4.9	342	1.6	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Tree shrew/T.g./Scandentia"	"Tree shrew"	"T.g."	"Scandentia"	"Scandentia"	"Tupaia glis"	8394	NA	""	8394	"contralateral"	20.8	0.828	6950	6672	96	278	4	0	0	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Vole/P.p./Rodentia"	"Vole"	"P.p."	"Rodentia"	"Rodentia"	"Microtus pinetorum"	7120	NA	""	7120	"contralateral"	14.74	0.872	6209	4483	72.2	459	7.4	0	0	1267	20.4	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
