"Record_ID"	"species_sci"	"Species"	"Order"	"Locomotor_habit"	"Justification"
107	"Camelus dromedarius"	"Camelus dromedarius"	"Artiodactyla"	"Cursorial"	"Dromedaries are desert-adapted cursorial mammals capable of efficient long-distance travel."
108	"Camelus dromedarius"	"Camelus dromedarius"	"Artiodactyla"	"Cursorial"	"Dromedaries are desert-adapted cursorial mammals capable of efficient long-distance travel."
109	"Camelus bactrianus"	"Camelus bactrianus"	"Artiodactyla"	"Cursorial"	"Bactrian camels are adapted for long-distance movement in rocky and arid terrain."
110	"Camelus dromedarius"	"Camelus dromedarius"	"Artiodactyla"	"Cursorial"	"Dromedaries are desert-adapted cursorial mammals capable of efficient long-distance travel."
111	"Lama glama"	"Lama glama"	"Artiodactyla"	"Cursorial"	"Llamas are adapted for endurance walking and trotting on uneven terrain."
112	"Elephas maximus"	"Elephas maximus"	"Proboscidea"	"Terrestrial"	"Asian elephants are large-bodied terrestrial walkers with low-speed endurance locomotion."
113	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
114	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
115	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
116	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
117	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
118	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
119	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
120	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
121	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
122	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
123	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
124	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
125	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
126	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
127	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
128	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
129	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
130	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
131	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
132	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
133	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
134	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
135	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
136	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
137	"Sus scrofa domestica"	"Sus scrofa domestica"	"Artiodactyla"	"Terrestrial"	"Domestic pigs are ground-based generalists capable of running but primarily walk and forage on land."
138	"Sus scrofa domestica"	"Sus scrofa domestica"	"Artiodactyla"	"Terrestrial"	"Domestic pigs are ground-based generalists capable of running but primarily walk and forage on land."
139	"Sus scrofa domestica"	"Sus scrofa domestica"	"Artiodactyla"	"Terrestrial"	"Domestic pigs are ground-based generalists capable of running but primarily walk and forage on land."
140	"Sus scrofa domestica"	"Sus scrofa domestica"	"Artiodactyla"	"Terrestrial"	"Domestic pigs are ground-based generalists capable of running but primarily walk and forage on land."
141	"Tapirus terrestris"	"Tapirus terrestris"	"Perissodactyla"	"Terrestrial"	"Tapirs are mainly terrestrial forest-dwellers capable of moderate-speed movement."
142	"Tapirus indicus"	"Tapirus indicus"	"Perissodactyla"	"Terrestrial"	"Malayan tapirs prefer dense tropical forests and are capable swimmers."
143	"Ceratotherium simum"	"Ceratotherium simum"	"Perissodactyla"	"Terrestrial"	"White rhinoceroses are heavy terrestrial grazers capable of fast running over short distances."
144	"Hippopotamus amphibius"	"Hippopotamus amphibius"	"Artiodactyla"	"Terrestrial"	"Hippopotamuses are aquatic grazers that move efficiently underwater and walk on land."
145	"Pudu puda"	"Pudu puda"	"Artiodactyla"	"Scansorial"	"Pudus inhabit dense forests and are agile over rough, forested terrain."
146	"Bos primigenius indicus"	"Bos primigenius indicus"	"Artiodactyla"	"Terrestrial"	"Zebu cattle are large grazers with terrestrial habits and moderate cursorial ability."
147	"Giraffa camelopardalis"	"Giraffa camelopardalis"	"Artiodactyla"	"Cursorial"	"Giraffes use long-limbed gaits to walk and gallop; adapted to open savanna locomotion."
148	"Giraffa camelopardalis"	"Giraffa camelopardalis"	"Artiodactyla"	"Cursorial"	"Giraffes use long-limbed gaits to walk and gallop; adapted to open savanna locomotion."
149	"Capreolus capreolus"	"Capreolus capreolus"	"Artiodactyla"	"Cursorial"	"Roe deer are agile and capable of swift terrestrial movements through complex terrain."
150	"Diceros bicornis"	"Diceros bicornis"	"Perissodactyla"	"Terrestrial"	"Black rhinos are solitary browsers adapted to terrestrial movement with running capacity."
151	"Loxodonta africana"	"Loxodonta africana"	"Proboscidea"	"Terrestrial"	"African elephants are strictly terrestrial and capable of fast walking."
152	"Elephas maximus"	"Elephas maximus"	"Proboscidea"	"Terrestrial"	"Asian elephants are large-bodied terrestrial walkers with low-speed endurance locomotion."
153	"Bubalus bubalis"	"Bubalus bubalis"	"Artiodactyla"	"Terrestrial"	"Water buffaloes are large-bodied terrestrial grazers that prefer marshy, wet environments."
154	"Sus scrofa"	"Sus scrofa"	"Artiodactyla"	"Terrestrial"	"Domestic pigs are ground-based generalists capable of running but primarily walk and forage on land."
155	"Ovis aries"	"Ovis aries"	"Artiodactyla"	"Cursorial"	"Domestic sheep are agile on rocky slopes and adapted for both running and climbing."
156	"Equus caballus"	"Equus caballus"	"Perissodactyla"	"Cursorial"	"Horses are obligate cursorial grazers adapted for efficient running in open environments."
157	"Equus caballus"	"Equus caballus"	"Perissodactyla"	"Cursorial"	"Horses are obligate cursorial grazers adapted for efficient running in open environments."
158	"Equus caballus"	"Equus caballus"	"Perissodactyla"	"Cursorial"	"Horses are obligate cursorial grazers adapted for efficient running in open environments."
159	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
160	"Taurotragus oryx"	"Taurotragus oryx"	"Artiodactyla"	"Cursorial"	"Elands are large antelope with cursorial adaptations for running in savannas."
161	"Bos primigenius taurus"	"Bos primigenius taurus"	"Artiodactyla"	"Terrestrial"	"Domestic cattle are ground-based grazers with modest cursorial ability."
162	"Capra aegagrus hircus"	"Capra aegagrus hircus"	"Artiodactyla"	"Scansorial"	"Domestic goats are expert climbers adapted to mountainous terrain, but can run efficiently."
163	"Equus ferus caballus"	"Equus ferus caballus"	"Perissodactyla"	"Cursorial"	"Domestic horses are obligate cursorial mammals with extreme specialisations for high-speed endurance running. They possess elongated distal limbs, reduced lateral digits, and strong axial stability—all traits of highly adapted runners on firm ground."
164	"Cervus canadensis"	"Cervus canadensis"	"Artiodactyla"	"Cursorial"	"Elk (wapiti) are strong runners in forests and plains, with some climbing capacity."
165	"Camelus bactrianus"	"Camelus bactrianus"	"Artiodactyla"	"Cursorial"	"Bactrian camels are adapted for long-distance movement in rocky and arid terrain."
166	"Sus scrofa domestica"	"Sus scrofa domestica"	"Artiodactyla"	"Terrestrial"	"Domestic pigs are ground-based generalists capable of running but primarily walk and forage on land."
167	"Bison bison"	"Bison bison"	"Artiodactyla"	"Cursorial"	"Bison are powerful grazers with strong limb bones and can run at high speeds."
168	"Eudorcas thomsonii"	"Eudorcas thomsonii"	"Artiodactyla"	"Cursorial"	"Thomson’s gazelles are lightweight antelopes adapted for speed and agility on open plains."
169	"Lama guanicoe"	"Lama guanicoe"	"Artiodactyla"	"Cursorial"	"Guanacos are South American camelids with adaptations for endurance walking in mountains."
170	"Cervus elaphus"	"Cervus elaphus"	"Artiodactyla"	"Cursorial"	"Red deer are strong runners and adapted to forested and open terrain."
171	"Choloepus didactylus"	"Choloepus didactylus"	"Pilosa"	"Arboreal"	"Two-toed sloths are slow arboreal mammals with suspensory locomotion in trees."
172	"Choloepus didactylus"	"Choloepus didactylus"	"Pilosa"	"Arboreal"	"Two-toed sloths are slow arboreal mammals with suspensory locomotion in trees."
173	"Choloepus didactylus"	"Choloepus didactylus"	"Pilosa"	"Arboreal"	"Two-toed sloths are slow arboreal mammals with suspensory locomotion in trees."
174	"Gorilla gorilla"	"Gorilla gorilla"	"Primates"	"Terrestrial"	"Gorillas are mainly ground-dwelling knuckle-walkers but can climb when needed."
175	"Gorilla gorilla"	"Gorilla gorilla"	"Primates"	"Terrestrial"	"Gorillas are mainly ground-dwelling knuckle-walkers but can climb when needed."
176	"Gorilla gorilla"	"Gorilla gorilla"	"Primates"	"Terrestrial"	"Gorillas are mainly ground-dwelling knuckle-walkers but can climb when needed."
177	"Myrmecophaga tridactyla"	"Myrmecophaga tridactyla"	"Pilosa"	"Terrestrial"	"Giant anteaters walk with specialised claws and dig for insects; obligate terrestrial."
