label,authority,basis,status,n_producers,all_producers,other_producers,note
Amygdala_Vol.mm3,__merging_volumes,adjudicated,active,2,__merging_cellcounts; __merging_volumes,__merging_cellcounts,"RULE-1 2026-09-22: for a structure volume emitted by both the volumes merge and the cell-counts tables, __merging_volumes is authoritative. It resolves across teams/sources and carries the laterality and select-value machinery; the cell-counts copy is a by-product of the isotropic-fractionator tables. Matches the Neocortex_Vol.mm3 decision already recorded in variable_canonical.csv."
Angular_utilization_index_FL (percent),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Angular_utilization_index_HL (percent),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Arboreal_terrestrial (category),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Arboreality,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Area of tract mmˆ2,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Area_10_right_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Area_13_right_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Area_striata_grey_matter_left_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Area_striata_grey_matter_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Area_striata_lamina_1_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Area_striata_laminae_2_6_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Area_striata_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Area_striata_white_matter_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Audible_freq_high_60dB.kHz,__merging_sensory,auto_single_producer,active,1,__merging_sensory,,
Audible_freq_low_60dB.kHz,__merging_sensory,auto_single_producer,active,1,__merging_sensory,,
Auditory_cortex_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Average fiber size x 10ˆ5 K,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Basal_forebrain_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Basal_ganglia_CBF (mL/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Basal_ganglia_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Basal_ganglia_CMRO2 (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Binocular_field.deg,__merging_sensory,auto_single_producer,active,1,__merging_sensory,,
BMR_massspecific (mL O2/h/g),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
BMR_wholeanimal (mL O2/h),__merging_body_ecology,adopted_from_variable_canonical,active,2,____EvoM1_TraitTable (melted); __merging_body_ecology,____EvoM1_TraitTable (melted),authority already declared by superseded_by; adopted unchanged
Body_Mass (g),__merging_body_ecology,adopted_from_variable_canonical,active,3,____EvoM1_TraitTable (melted); __merging_body_ecology; __merging_volumes,____EvoM1_TraitTable (melted); __merging_volumes,authority already declared by superseded_by; adopted unchanged
Brain_Mass_excl_olfactory_bulb (g),__merging_brain_mass,adopted_from_variable_canonical,active,2,__merging_brain_mass; __merging_cellcounts,__merging_cellcounts,authority already declared by superseded_by; adopted unchanged
Brain_Mass_from_volume_or_ecv (g),__merging_brain_mass,auto_single_producer,active,1,__merging_brain_mass,,
Brain_Mass_mass_or_volume (g),__merging_brain_mass,auto_single_producer,active,1,__merging_brain_mass,,
Brain_Mass_measured (g),__merging_brain_mass,adopted_from_variable_canonical,active,3,____EvoM1_TraitTable (melted); __merging_brain_mass; __merging_volumes,____EvoM1_TraitTable (melted); __merging_volumes,authority already declared by superseded_by; adopted unchanged
Brain_size_sum_of_structures (g),__merging_brain_mass,auto_single_producer,active,1,__merging_brain_mass,,
Brain_stem_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Bulbus_olfactorius_accessorius_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Bulbus_olfactorius_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
CA1_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
CA2_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
CA3_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Capsula_interna_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Capsula_interna_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Caudate_nucleus_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Centrum_semiovale_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Cerebellar_cortex_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Cerebellar_nuclei_total_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Cerebellar_section_area (mm2),__merging_cerebellar_folding,auto_single_producer,active,1,__merging_cerebellar_folding,,
Cerebellar_section_length (mm),__merging_cerebellar_folding,auto_single_producer,active,1,__merging_cerebellar_folding,,
CerebellarCortex_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
CerebellarHemisphere_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
CerebellarVermis_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Cerebellum_C.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cerebellum_CBF (mL/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Cerebellum_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Cerebellum_CMRO2 (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Cerebellum_grey_matter_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Cerebellum_I.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cerebellum_I.p.C,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cerebellum_I.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cerebellum_Mass (g),__merging_weights,adopted_from_variable_canonical,active,2,__merging_cellcounts; __merging_weights,__merging_cellcounts,authority already declared by superseded_by; adopted unchanged
Cerebellum_N.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cerebellum_N.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cerebellum_O.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cerebellum_O.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cerebellum_O.p.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cerebellum_p.C.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cerebellum_Vol.mm3,__merging_volumes,adjudicated,active,2,__merging_cellcounts; __merging_volumes,__merging_cellcounts,"RULE-1 2026-09-22: for a structure volume emitted by both the volumes merge and the cell-counts tables, __merging_volumes is authoritative. It resolves across teams/sources and carries the laterality and select-value machinery; the cell-counts copy is a by-product of the isotropic-fractionator tables. Matches the Neocortex_Vol.mm3 decision already recorded in variable_canonical.csv."
Cerebellum_white_matter_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Cerebral_hemispheres_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Cerebral_section_area (mm2),__merging_cerebellar_folding,auto_single_producer,active,1,__merging_cerebellar_folding,,
Cerebral_section_length (mm),__merging_cerebellar_folding,auto_single_producer,active,1,__merging_cerebellar_folding,,
CerebralCortex_C.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortex_I.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortex_I.p.C,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortex_I.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortex_Mass (g),__merging_weights,adopted_from_variable_canonical,active,2,__merging_cellcounts; __merging_weights,__merging_cellcounts,authority already declared by superseded_by; adopted unchanged
CerebralCortex_N.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortex_N.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortex_O.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortex_O.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortex_O.p.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortex_p.C.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexGrey_C.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexGrey_Mass.g,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexGrey_N.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexGrey_N.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexGrey_O.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexGrey_O.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexGrey_O.p.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexGrey_p.C.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexNoHippocampus_I.p.C,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexWhite_C.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexWhite_Mass.g,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexWhite_N.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexWhite_N.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexWhite_O.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexWhite_O.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexWhite_O.p.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
CerebralCortexWhite_p.C.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Cingulate_cortex_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
CM_connection_inference (category),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Colliculus_inferior_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Colliculus_superior_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Commissura_anterior_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Complexus_centromedialis_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Complexus_corticobasolateralis_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Complexus_sensorius_trigeminalis_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Complexus_vestibularis_unilateral_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Complexus_vestibularis_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Corpus_geniculatum_laterale_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Corpus_geniculatum_laterale_left_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Corpus_geniculatum_laterale_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Corpus_geniculatum_mediale_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Corpus_pineal_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Corpus_subcommissurale_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Corpus_subfornicale_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
CorticalExposedSurface_Area.mm2,__merging_cortical_areas,auto_single_producer,active,1,__merging_cortical_areas,,
CorticalSurface_Area.mm2,__merging_cortical_areas,auto_single_producer,active,1,__merging_cortical_areas,,
CorticalThickness.mm,__merging_cortical_areas,auto_single_producer,active,1,__merging_cortical_areas,,
CST_termination_grade (ordinal 0-2),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Depth,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Dexterity (1-7 scale),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Diencephalon_excluding_globus_pallidus_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Diencephalon_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
DiencephalonStriatum_C.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
DiencephalonStriatum_Mass.g,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
DiencephalonStriatum_N.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
DiencephalonStriatum_N.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
DiencephalonStriatum_O.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
DiencephalonStriatum_O.p.mg,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
DiencephalonStriatum_O.p.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
DiencephalonStriatum_p.C.N,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Diet,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Diet_breadth (count),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_dominant (category),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_Fruit (%),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_Inv (%),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_Nect (%),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_PlantO (%),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_Scav (%),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_Seed (%),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_Vect (%),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_Vend (%),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_Vfish (%),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Diet_Vunk (%),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Dispersal_age_days,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Duty_Factor (percent),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Dysgranular_insular_cortex_left_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Dysgranular_insular_cortex_right_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Dysgranular_insular_cortex_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Endocranial_volume (mL),__merging_endocranial_volume,auto_single_producer,active,1,__merging_endocranial_volume,,
Endocranial_volume_female (mL),__merging_endocranial_volume,auto_single_producer,active,1,__merging_endocranial_volume,,
EntorhinalCortex_Mass (g),__merging_weights,auto_single_producer,active,1,__merging_weights,,
EntorhinalCortex_Vol.mm3,__merging_volumes,adjudicated,active,2,__merging_cellcounts; __merging_volumes,__merging_cellcounts,"RULE-1 2026-09-22: for a structure volume emitted by both the volumes merge and the cell-counts tables, __merging_volumes is authoritative. It resolves across teams/sources and carries the laterality and select-value machinery; the cell-counts copy is a by-product of the isotropic-fractionator tables. Matches the Neocortex_Vol.mm3 decision already recorded in variable_canonical.csv."
Epithalamus_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Extractive_foraging (category),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Extractive_foraging_reduced_report_count (reports),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Extractive_foraging_report_count (reports),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Facial_motor_nucleus_left_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Fascia_dentata_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Female_sexual_maturity (days),__merging_body_ecology,adopted_from_variable_canonical,active,2,____EvoM1_TraitTable (melted); __merging_body_ecology,____EvoM1_TraitTable (melted),authority already declared by superseded_by; adopted unchanged
Field_of_best_vision.deg,__merging_sensory,auto_single_producer,active,1,__merging_sensory,,
FlocculonodularLobe_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
FoldingIndex_MHH,__merging_cortical_areas,auto_single_producer,active,1,__merging_cortical_areas,,
Folial_perimeter_median (mm),__merging_cerebellar_folding,auto_single_producer,active,1,__merging_cerebellar_folding,,
Folial_width_median (mm),__merging_cerebellar_folding,auto_single_producer,active,1,__merging_cerebellar_folding,,
Foot_Posture (category),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
ForStrat_stratum (category),__merging_body_ecology,auto_single_producer,active,1,__merging_body_ecology,,
Fossil_BGU (umol/min) - Boyer_ACA_scaled,__merging_fossil_brain_glucose,auto_single_producer,active,1,__merging_fossil_brain_glucose,,
Fossil_BGU (umol/min) - s4_volume,__merging_fossil_brain_glucose,auto_single_producer,active,1,__merging_fossil_brain_glucose,,
Fossil_BGU (umol/min) - Seymour_flow,__merging_fossil_brain_glucose,auto_single_producer,active,1,__merging_fossil_brain_glucose,,
Fossil_BGU_Ratio_MH - Boyer_ACA_scaled,__merging_fossil_brain_glucose,auto_single_producer,active,1,__merging_fossil_brain_glucose,,
Fossil_BGU_Ratio_MH - s4_volume,__merging_fossil_brain_glucose,auto_single_producer,active,1,__merging_fossil_brain_glucose,,
Fossil_BGU_Ratio_MH - Seymour_flow,__merging_fossil_brain_glucose,auto_single_producer,active,1,__merging_fossil_brain_glucose,,
Frontal_cortex_CMRgl (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
Frontal_cortex_CMRO2 (umol/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
FrontalCortex_grey_matter_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
FrontalCortex_white_matter_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
FrontalMotor_Surface_Area.mm2,__merging_cortical_areas,auto_single_producer,active,1,__merging_cortical_areas,,
fronto_insular_cortex_left_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
fronto_insular_cortex_right_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
fronto_insular_cortex_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Gait (category),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Gestation (days),__merging_body_ecology,adopted_from_variable_canonical,active,2,____EvoM1_TraitTable (melted); __merging_body_ecology,____EvoM1_TraitTable (melted),authority already declared by superseded_by; adopted unchanged
GI,__merging_gyrification,auto_single_producer,active,1,__merging_gyrification,,
GLI_area10_all_layers (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area10_granular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area10_infragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area10_supragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area13_all_layers (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area13_granular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area13_infragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area13_supragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area23_posterior_cingulate_granular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area23_posterior_cingulate_infragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area23_posterior_cingulate_supragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area29_posterior_cingulate_infragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area29_posterior_cingulate_supragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area30_posterior_cingulate_infragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area30_posterior_cingulate_supragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area31_posterior_cingulate_granular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area31_posterior_cingulate_infragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area31_posterior_cingulate_supragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area4_M1_all_layers (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area4_M1_infragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area4_M1_supragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area44_all_layers (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area44_granular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area44_infragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area44_supragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area45_all_layers (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area45_granular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area45_infragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
GLI_area45_supragranular (%),__merging_GLI,auto_single_producer,active,1,__merging_GLI,,
Glia_neuron_ratio,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Glial_cell_density,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Granular_insular_cortex_left_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Granular_insular_cortex_right_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Granular_insular_cortex_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Habitat_breadth,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Hand–eye,____EvoM1_TraitTable (melted),auto_single_producer,active,1,____EvoM1_TraitTable (melted),,
Handedness_index_mean (HI),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Handedness_strength_mean (abs(HI)),__merging_behaviour,auto_single_producer,active,1,__merging_behaviour,,
Hearing_range.octaves,__merging_sensory,auto_single_producer,active,1,__merging_sensory,,
Hilus_Vol.mm3,__merging_volumes,auto_single_producer,active,1,__merging_volumes,,
Hippocampus_C.n,__merging_cellcounts,auto_single_producer,active,1,__merging_cellcounts,,
Hippocampus_CBF (mL/100g/min),__merging_cerebral_metabolic_rate,auto_single_producer,active,1,__merging_cerebral_metabolic_rate,,
