label,domain,measure_class,Structure,Measure,Unit,is_measurement,definition,definition_kind,definition_source,matched_code,glossary_terms
Social_system,behaviour & cognition,sociality,,SocialSystem,category,TRUE,Social system,source_definition,Lewitus_etal_2014/reference_tables/Lewitus_etal_2014_TableS1_definitions.csv,Social_system,
VocalRepertoire (count),behaviour & cognition,vocalization,,VocalRepertoire,count,TRUE,"Number of distinct vocalization types recorded for the species. Resolved from Schniter 2026 (primary) with ManyPrimates 2022 as secondary; both descend from McComb & Semple 2005, so they are resolved by priority and never averaged.",glossary_definition,_keys/glossary.csv,VocalRepertoire,VocalRepertoire
Adult_head_body_length_mm,body size,body_length,Body,Length.mm,mm,TRUE,Adult head body length mm,source_definition,Lewitus_etal_2014/reference_tables/Lewitus_etal_2014_TableS1_definitions.csv,Adult_head_body_length_mm,
Body weight kg,body size,mass,Body,Mass.kg,kg,TRUE,body weight in kilograms,source_definition,Heffner_Masterton_1975/reference_tables/Heffner_Masterton_1975_TableI_definitions.csv,Body weight kg,
Body_Mass (g),body size,mass,Body,Mass.g,g,TRUE,Whole-animal body mass in grams. Authoritative pooled value from the body/ecology merge; the per-paper body-mass columns are superseded by it and kept only as a fallback for species the merge does not cover.,glossary_definition,_keys/glossary.csv,Body_Mass,Mass
Body_weight,body size,mass,Body,Mass.g,g,TRUE,body weight,source_definition,Stephan_etal_1981/reference_tables/Stephan_etal_1981_TablesI-VI_definitions.csv,Body_weight,
Brain_Mass (g),brain structure & size,mass,WholeBrain,Mass.g,g,TRUE,Whole-brain mass in grams. Authoritative pooled value from the brain-mass merge; per-paper brain-mass columns are superseded by it and kept only as a fallback.,glossary_definition,_keys/glossary.csv,Brain_Mass,Mass
Brain_weight_g,brain structure & size,mass,WholeBrain,Mass.g,g,TRUE,Brain weight g,source_definition,Lewitus_etal_2014/reference_tables/Lewitus_etal_2014_TableS1_definitions.csv,Brain_weight_g,
Neonate_brain_weight_g,brain structure & size,mass,WholeBrain,Mass.g,g,TRUE,Neonate brain weight g,source_definition,Lewitus_etal_2014/reference_tables/Lewitus_etal_2014_TableS1_definitions.csv,Neonate_brain_weight_g,
SpinalCord_p.C.CNS.mass,brain structure & size,structure_fraction,SpinalCord,p.C.CNS.mass,%,TRUE,SpinalCord: percent of CNS mass,composed,_keys/glossary.csv + _keys/variable_domain.csv,,p.C.CNS.mass
SpinalCord_Length.mm,brain structure & size,structure_length,SpinalCord,Length.mm,mm,TRUE,SpinalCord: length in millimetres,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Length.mm
Amygdala_Mass.g,brain structure & size,structure_mass,Amygdala,Mass.g,g,TRUE,Amygdala: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
Body_Mass.g,brain structure & size,structure_mass,Body,Mass.g,g,TRUE,body mass in project units (g),source_definition,Weaver_2001/reference_tables/Weaver__2001_TableA-15_definitions.csv,Body_Mass.g,Mass.g
Brain_Mass.mg,brain structure & size,structure_mass,WholeBrain,Mass.mg,mg,TRUE,brain mass in project units (mg),source_definition,Weaver_2001/reference_tables/Weaver__2001_TableA-15_definitions.csv,Brain_Mass.mg,Mass
Cerebellum_Mass.g,brain structure & size,structure_mass,Cerebellum,Mass.g,g,TRUE,cerebellum mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,Cerebellum_Mass.g,Mass.g
CerebralCortex_Mass.g,brain structure & size,structure_mass,CerebralCortex,Mass.g,g,TRUE,cerebral cortex mass (grey matter + white matter + hippocampus),source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,CerebralCortex_Mass.g,Mass.g
CerebralCortexGrey_Mass.g,brain structure & size,structure_mass,CerebralCortexGrey,Mass.g,g,TRUE,CerebralCortexGrey: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
CerebralCortexWhite_Mass.g,brain structure & size,structure_mass,CerebralCortexWhite,Mass.g,g,TRUE,CerebralCortexWhite: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
DiencephalonStriatum_Mass.g,brain structure & size,structure_mass,DiencephalonStriatum,Mass.g,g,TRUE,diencephalon + basal ganglia mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,DiencephalonStriatum_Mass.g,Mass.g
Hippocampus_Mass.g,brain structure & size,structure_mass,Hippocampus,Mass.g,g,TRUE,hippocampus mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,Hippocampus_Mass.g,Mass.g
Medulla_Mass.g,brain structure & size,structure_mass,Medulla,Mass.g,g,TRUE,Medulla: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
Mesencephalon_Mass.g,brain structure & size,structure_mass,Mesencephalon,Mass.g,g,TRUE,mesencephalon mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,Mesencephalon_Mass.g,Mass.g
MesencephalonDiencephalonStriatum_Mass.g,brain structure & size,structure_mass,MesencephalonDiencephalonStriatum,Mass.g,g,TRUE,MesencephalonDiencephalonStriatum: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
OlfactoryBulb_Mass.g,brain structure & size,structure_mass,OlfactoryBulb,Mass.g,g,TRUE,olfactory bulb mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,OlfactoryBulb_Mass.g,Mass.g
Pons_Mass.g,brain structure & size,structure_mass,Pons,Mass.g,g,TRUE,Pons: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
PonsMedulla_Mass.g,brain structure & size,structure_mass,PonsMedulla,Mass.g,g,TRUE,pons + medulla mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,PonsMedulla_Mass.g,Mass.g
RoB_Mass.g,brain structure & size,structure_mass,RoB,Mass.g,g,TRUE,rest-of-brain mass,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,RoB_Mass.g,Mass.g|RoB
SpinalCord_Mass.g,brain structure & size,structure_mass,SpinalCord,Mass.g,g,TRUE,SpinalCord: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
WholeBrain_Mass.g,brain structure & size,structure_mass,WholeBrain,Mass.g,g,TRUE,whole-brain mass excluding the olfactory bulb,source_definition,Kazu_etal_2014/reference_tables/Kazu_etal_2014_Table1_definitions.csv,WholeBrain_Mass.g,Mass.g
WholeBrainOlfactoryBulb_Mass.g,brain structure & size,structure_mass,WholeBrainOlfactoryBulb,Mass.g,g,TRUE,WholeBrainOlfactoryBulb: mass in grams,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Mass.g
AccessoryOlfactoryBulb_layer_6_Vol.mm3,brain structure & size,structure_volume,AccessoryOlfactoryBulb,Vol.mm3,mm3,TRUE,AccessoryOlfactoryBulb: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,brain structure & size,structure_volume,AccessoryOlfactoryBulb,Vol.mm3,mm3,TRUE,AccessoryOlfactoryBulb: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,brain structure & size,structure_volume,AccessoryOlfactoryBulb,Vol.mm3,mm3,TRUE,AccessoryOlfactoryBulb: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
AccessoryOlfactoryBulb_Vol.mm3,brain structure & size,structure_volume,AccessoryOlfactoryBulb,Vol.mm3,mm3,TRUE,AccessoryOlfactoryBulb: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Agranular_insular_cortex_left_Vol.mm3,brain structure & size,structure_volume,Agranular_insular_cortex,Vol.mm3,mm3,TRUE,Agranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Agranular_insular_cortex_right_Vol.mm3,brain structure & size,structure_volume,Agranular_insular_cortex,Vol.mm3,mm3,TRUE,Agranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Agranular_insular_cortex_Vol.mm3,brain structure & size,structure_volume,Agranular_insular_cortex,Vol.mm3,mm3,TRUE,Agranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Amygdala_accessory_basal_nucleus_Vol.mm3,brain structure & size,structure_volume,amygdala accessory basal nucleus,Vol.mm3,mm3,TRUE,amygdala accessory basal nucleus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Amygdala_basal_nucleus_Vol.mm3,brain structure & size,structure_volume,amygdala basal nucleus,Vol.mm3,mm3,TRUE,amygdala basal nucleus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Amygdala_basolateral_division_Vol.mm3,brain structure & size,structure_volume,BasolateralDivision,Vol.mm3,mm3,TRUE,BasolateralDivision: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Amygdala_lateral_nucleus_Vol.mm3,brain structure & size,structure_volume,amygdala lateral nucleus,Vol.mm3,mm3,TRUE,amygdala lateral nucleus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Amygdala_Vol.mm3,brain structure & size,structure_volume,Amygdala,Vol.mm3,mm3,TRUE,Amygdala: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_10_right_Vol.mm3,brain structure & size,structure_volume,Area10,Vol.mm3,mm3,TRUE,Area10: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_13_right_Vol.mm3,brain structure & size,structure_volume,Area13,Vol.mm3,mm3,TRUE,Area13: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_grey_matter_left_Vol.mm3,brain structure & size,structure_volume,Area_striata,Vol.mm3,mm3,TRUE,Area striata: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_grey_matter_Vol.mm3,brain structure & size,structure_volume,Area_striata_grey_matter,Vol.mm3,mm3,TRUE,Area striata grey matter: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_lamina_1_Vol.mm3,brain structure & size,structure_volume,Area_striata_lamina_1,Vol.mm3,mm3,TRUE,Area striata lamina 1: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_laminae_2_6_Vol.mm3,brain structure & size,structure_volume,Area_striata_laminae_2_6,Vol.mm3,mm3,TRUE,Area striata laminae 2 6: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_Vol.mm3,brain structure & size,structure_volume,Area_striata,Vol.mm3,mm3,TRUE,Area striata: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Area_striata_white_matter_Vol.mm3,brain structure & size,structure_volume,Area_striata_white_matter,Vol.mm3,mm3,TRUE,Area striata white matter: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Bulbus_olfactorius_accessorius_Vol.mm3,brain structure & size,structure_volume,Bulbus_olfactorius_accessorius,Vol.mm3,mm3,TRUE,Bulbus olfactorius accessorius: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Bulbus_olfactorius_Vol.mm3,brain structure & size,structure_volume,Bulbus_olfactorius,Vol.mm3,mm3,TRUE,Bulbus olfactorius: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
CA1_Vol.mm3,brain structure & size,structure_volume,CA1,Vol.mm3,mm3,TRUE,cornu ammonis field 1: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3|CA1
CA2_Vol.mm3,brain structure & size,structure_volume,CA2,Vol.mm3,mm3,TRUE,cornu ammonis field 2: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3|CA2
CA3_Vol.mm3,brain structure & size,structure_volume,CA3,Vol.mm3,mm3,TRUE,cornu ammonis field 3: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3|CA3
Capsula_interna_Vol.mm3,brain structure & size,structure_volume,Capsula_interna,Vol.mm3,mm3,TRUE,Capsula interna: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Cerebellar_nuclei_total_Vol.mm3,brain structure & size,structure_volume,Cerebellar_nuclei_total,Vol.mm3,mm3,TRUE,Cerebellar nuclei total: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
CerebellarCortex_Vol.mm3,brain structure & size,structure_volume,CerebellarCortex,Vol.mm3,mm3,TRUE,CerebellarCortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
CerebellarHemisphere_Vol.mm3,brain structure & size,structure_volume,CerebellarHemisphere,Vol.mm3,mm3,TRUE,CerebellarHemisphere: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
CerebellarVermis_Vol.mm3,brain structure & size,structure_volume,CerebellarVermis,Vol.mm3,mm3,TRUE,CerebellarVermis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Cerebellum_grey_matter_Vol.mm3,brain structure & size,structure_volume,Cerebellum,Vol.mm3,mm3,TRUE,Cerebellum: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Cerebellum_Vol.mm3,brain structure & size,structure_volume,Cerebellum,Vol.mm3,mm3,TRUE,cerebellar volume in project units,source_definition,Kochiyama_etal_2018/reference_tables/Kochiyama_etal_2018_FossilSpecimensText_definitions.csv,Cerebellum_Vol.mm3,Vol.mm3
Cerebellum_white_matter_Vol.mm3,brain structure & size,structure_volume,Cerebellum,Vol.mm3,mm3,TRUE,Cerebellum: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Cerebral_hemispheres_Vol.mm3,brain structure & size,structure_volume,cerebral hemispheres,Vol.mm3,mm3,TRUE,cerebral hemispheres: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Commissura_anterior_Vol.mm3,brain structure & size,structure_volume,Commissura_anterior,Vol.mm3,mm3,TRUE,Commissura anterior: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Complexus_centromedialis_Vol.mm3,brain structure & size,structure_volume,Complexus_centromedialis,Vol.mm3,mm3,TRUE,Complexus centromedialis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Complexus_corticobasolateralis_Vol.mm3,brain structure & size,structure_volume,Complexus_corticobasolateralis,Vol.mm3,mm3,TRUE,Complexus corticobasolateralis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Complexus_sensorius_trigeminalis_Vol.mm3,brain structure & size,structure_volume,Complexus_sensorius_trigeminalis,Vol.mm3,mm3,TRUE,Complexus sensorius trigeminalis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Complexus_vestibularis_unilateral_Vol.mm3,brain structure & size,structure_volume,Complexus_vestibularis,Vol.mm3,mm3,TRUE,Complexus vestibularis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Complexus_vestibularis_Vol.mm3,brain structure & size,structure_volume,Complexus_vestibularis,Vol.mm3,mm3,TRUE,Complexus vestibularis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Corpus_geniculatum_laterale_left_Vol.mm3,brain structure & size,structure_volume,Corpus_geniculatum_laterale,Vol.mm3,mm3,TRUE,Corpus geniculatum laterale: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Corpus_geniculatum_laterale_Vol.mm3,brain structure & size,structure_volume,Corpus_geniculatum_laterale,Vol.mm3,mm3,TRUE,Corpus geniculatum laterale: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Corpus_pineal_Vol.mm3,brain structure & size,structure_volume,Corpus_pineal,Vol.mm3,mm3,TRUE,Corpus pineal: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Corpus_subcommissurale_Vol.mm3,brain structure & size,structure_volume,Corpus_subcommissurale,Vol.mm3,mm3,TRUE,Corpus subcommissurale: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Corpus_subfornicale_Vol.mm3,brain structure & size,structure_volume,Corpus_subfornicale,Vol.mm3,mm3,TRUE,Corpus subfornicale: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Diencephalon_excluding_globus_pallidus_Vol.mm3,brain structure & size,structure_volume,Diencephalon excluding globus pallidus,Vol.mm3,mm3,TRUE,Diencephalon excluding globus pallidus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Diencephalon_Vol.mm3,brain structure & size,structure_volume,Diencephalon,Vol.mm3,mm3,TRUE,Diencephalon: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Dysgranular_insular_cortex_left_Vol.mm3,brain structure & size,structure_volume,Dysgranular_insular_cortex,Vol.mm3,mm3,TRUE,Dysgranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Dysgranular_insular_cortex_right_Vol.mm3,brain structure & size,structure_volume,Dysgranular_insular_cortex,Vol.mm3,mm3,TRUE,Dysgranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Dysgranular_insular_cortex_Vol.mm3,brain structure & size,structure_volume,Dysgranular_insular_cortex,Vol.mm3,mm3,TRUE,Dysgranular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
EntorhinalCortex_Vol.mm3,brain structure & size,structure_volume,EntorhinalCortex,Vol.mm3,mm3,TRUE,EntorhinalCortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Epithalamus_Vol.mm3,brain structure & size,structure_volume,Epithalamus,Vol.mm3,mm3,TRUE,Epithalamus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Facial_motor_nucleus_left_Vol.mm3,brain structure & size,structure_volume,Facial_motor_nucleus,Vol.mm3,mm3,TRUE,Facial motor nucleus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Fascia_dentata_Vol.mm3,brain structure & size,structure_volume,Fascia_dentata,Vol.mm3,mm3,TRUE,Fascia dentata: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
FlocculonodularLobe_Vol.mm3,brain structure & size,structure_volume,FlocculonodularLobe,Vol.mm3,mm3,TRUE,FlocculonodularLobe: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
FrontalCortex_grey_matter_Vol.mm3,brain structure & size,structure_volume,FrontalCortex,Vol.mm3,mm3,TRUE,FrontalCortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
FrontalCortex_white_matter_Vol.mm3,brain structure & size,structure_volume,FrontalCortex,Vol.mm3,mm3,TRUE,FrontalCortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
fronto_insular_cortex_left_Vol.mm3,brain structure & size,structure_volume,fronto_insular_cortex,Vol.mm3,mm3,TRUE,fronto insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
fronto_insular_cortex_right_Vol.mm3,brain structure & size,structure_volume,fronto_insular_cortex,Vol.mm3,mm3,TRUE,fronto insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
fronto_insular_cortex_Vol.mm3,brain structure & size,structure_volume,fronto_insular_cortex,Vol.mm3,mm3,TRUE,fronto insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Granular_insular_cortex_left_Vol.mm3,brain structure & size,structure_volume,Granular_insular_cortex,Vol.mm3,mm3,TRUE,Granular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Granular_insular_cortex_right_Vol.mm3,brain structure & size,structure_volume,Granular_insular_cortex,Vol.mm3,mm3,TRUE,Granular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Granular_insular_cortex_Vol.mm3,brain structure & size,structure_volume,Granular_insular_cortex,Vol.mm3,mm3,TRUE,Granular insular cortex: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Hilus_Vol.mm3,brain structure & size,structure_volume,Hilus,Vol.mm3,mm3,TRUE,Hilus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Hippocampus_retrocommissuralis_Vol.mm3,brain structure & size,structure_volume,Hippocampus_retrocommissuralis,Vol.mm3,mm3,TRUE,Hippocampus retrocommissuralis: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Hippocampus_Vol.mm3,brain structure & size,structure_volume,Hippocampus,Vol.mm3,mm3,TRUE,Hippocampus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
HP_HS_fibers_Vol.mm3,brain structure & size,structure_volume,HP_HS_fibers,Vol.mm3,mm3,TRUE,pre- + supra-commissural hippocampus plus hippocampal fibres: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3|HP|HS
Hypoglossal_nucleus_left_Vol.mm3,brain structure & size,structure_volume,Hypoglossal_nucleus,Vol.mm3,mm3,TRUE,Hypoglossal nucleus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Hypothalamus_Vol.mm3,brain structure & size,structure_volume,Hypothalamus,Vol.mm3,mm3,TRUE,Hypothalamus: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Insula_left_Vol.mm3,brain structure & size,structure_volume,Insula,Vol.mm3,mm3,TRUE,Insula: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Insula_right_Vol.mm3,brain structure & size,structure_volume,Insula,Vol.mm3,mm3,TRUE,Insula: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
Insula_Vol.mm3,brain structure & size,structure_volume,Insula,Vol.mm3,mm3,TRUE,insula volume,source_definition,Semendeferi_Damasio_2000/reference_tables/Semendeferi_Damasio_2000_Table2_definitions.csv,Insula_Vol.mm3,Vol.mm3
Interpositus_cerebellar_nuclei_Vol.mm3,brain structure & size,structure_volume,Interpositus_cerebellar_nuclei,Vol.mm3,mm3,TRUE,Interpositus cerebellar nuclei: volume in mm3,composed,_keys/glossary.csv + _keys/variable_domain.csv,,Vol.mm3
